State,Year,datetime,Coal,Hydro,Natural Gas,Nuclear,Other,Other Renewables,Solar,Wind,index (g/kWh),final CO2 (kg)
AK,2001,2001-01-01,46903.0,104549.0,367521.0,0.0,71085.0,0.0,0.0,87.0,600.293442993,354260173.915
AK,2001,2001-02-01,54056.0,90111.0,334016.0,0.0,67910.0,0.0,0.0,74.0,661.971216661,361546833.49
AK,2001,2001-03-01,51920.0,99843.0,343858.0,0.0,91413.0,0.0,0.0,81.0,664.696930261,390253538.21
AK,2001,2001-04-01,37590.0,84615.0,290050.0,0.0,76372.0,0.0,0.0,71.0,620.075841225,303029823.455
AK,2001,2001-05-01,40986.0,85130.0,283468.0,0.0,75034.0,0.0,0.0,69.0,619.840220637,300428497.02
AK,2001,2001-06-01,39411.0,118354.0,272074.0,0.0,58095.0,0.0,0.0,70.0,601.734451982,293648819.505
AK,2001,2001-07-01,55082.0,120671.0,314583.0,0.0,63515.0,0.0,0.0,74.0,631.801808467,349970816.755
AK,2001,2001-08-01,65143.0,123284.0,331115.0,0.0,67181.0,0.0,0.0,73.0,679.520066275,398739656.81
AK,2001,2001-09-01,58910.0,154816.0,355210.0,0.0,71144.0,0.0,0.0,86.0,578.3080829190001,370213172.21
AK,2001,2001-10-01,38751.0,134918.0,314444.0,0.0,91507.0,0.0,0.0,83.0,614.414220083,356177766.625
AK,2001,2001-11-01,37497.0,102481.0,325654.0,0.0,98718.0,0.0,0.0,86.0,612.652128328,345802916.705
AK,2001,2001-12-01,38344.0,126892.0,363575.0,0.0,105016.0,0.0,0.0,97.0,580.404881468,367932584.08
AK,2002,2002-01-01,51623.0,118944.0,366390.0,0.0,108569.0,1092.0,0.0,0.0,550.484758389,355953353.5
AK,2002,2002-02-01,44698.0,111686.0,296649.0,0.0,96178.0,921.0,0.0,0.0,559.804127255,307966164.135
AK,2002,2002-03-01,48946.0,114826.0,322785.0,0.0,98049.0,1002.0,0.0,0.0,578.7148696309999,338900057.375
AK,2002,2002-04-01,43484.0,111309.0,313978.0,0.0,69661.0,952.0,0.0,0.0,543.610602168,293214861.04
AK,2002,2002-05-01,48711.0,108504.0,301216.0,0.0,71159.0,1003.0,0.0,0.0,560.788001962,297550188.325
AK,2002,2002-06-01,35819.0,116831.0,271101.0,0.0,99827.0,747.0,0.0,0.0,586.607085243,307572759.97
AK,2002,2002-07-01,44648.0,119156.0,300814.0,0.0,65804.0,892.0,0.0,0.0,591.6977333269999,314377289.485
AK,2002,2002-08-01,46430.0,116574.0,277915.0,0.0,65450.0,933.0,0.0,0.0,604.560797139,306694901.51
AK,2002,2002-09-01,52500.0,108927.0,307926.0,0.0,69469.0,1136.0,0.0,0.0,582.905812619,314744656.77
AK,2002,2002-10-01,54482.0,121399.0,326514.0,0.0,74921.0,1190.0,0.0,0.0,580.478299119,335810178.91
AK,2002,2002-11-01,49368.0,148866.0,317644.0,0.0,67540.0,1085.0,0.0,0.0,524.188254329,306389607.22
AK,2002,2002-12-01,54577.0,142329.0,375229.0,0.0,75742.0,1202.0,0.0,0.0,539.526838698,350195540.935
AK,2003,2003-01-01,54048.0,135163.0,343856.0,0.0,75785.0,556.0,0.0,0.0,545.2858678590001,332301570.16
AK,2003,2003-02-01,48861.0,125679.0,298754.0,0.0,66090.0,493.0,0.0,0.0,548.383209574,296059482.035
AK,2003,2003-03-01,52134.0,148011.0,297698.0,0.0,59334.0,509.0,0.0,0.0,521.354831204,290752290.395
AK,2003,2003-04-01,43262.0,119055.0,266724.0,0.0,60237.0,447.0,0.0,0.0,533.806284905,261418282.875
AK,2003,2003-05-01,46952.0,116189.0,256808.0,0.0,59373.0,439.0,0.0,0.0,550.745061374,264226001.39
AK,2003,2003-06-01,35864.0,103622.0,259973.0,0.0,57786.0,417.0,0.0,0.0,566.626093154,259323231.045
AK,2003,2003-07-01,29524.0,118033.0,273469.0,0.0,70637.0,447.0,0.0,0.0,536.147579677,263843585.435
AK,2003,2003-08-01,31179.0,131476.0,243302.0,0.0,65888.0,427.0,0.0,0.0,535.8492106030001,253066578.39
AK,2003,2003-09-01,47207.0,140998.0,242622.0,0.0,70771.0,457.0,0.0,0.0,557.9211677999999,280107111.9
AK,2003,2003-10-01,51834.0,155788.0,253137.0,0.0,79164.0,493.0,0.0,0.0,563.883819493,304731838.195
AK,2003,2003-11-01,51891.0,147737.0,288051.0,0.0,77913.0,517.0,0.0,0.0,544.705110924,308362465.64
AK,2003,2003-12-01,56909.0,140786.0,330089.0,0.0,103295.0,578.0,0.0,0.0,570.6887453630001,360479540.83
AK,2004,2004-01-01,54790.82,123882.8,358271.98,0.0,92401.53,786.98,0.0,0.0,552.765965351,348316689.615
AK,2004,2004-02-01,54522.59,115075.74,317002.16,0.0,79324.43,798.6,0.0,0.0,550.3013208369999,311868701.605
