nerc,fuel category,year,month,active capacity,possible gen,datetime
ASCC,Coal,2001,1,117.5,87420.0,2001-01-01
ASCC,Coal,2001,2,117.5,78960.0,2001-02-01
ASCC,Coal,2001,3,117.5,87420.0,2001-03-01
ASCC,Coal,2001,4,117.5,84600.0,2001-04-01
ASCC,Coal,2001,5,117.5,87420.0,2001-05-01
ASCC,Coal,2001,6,117.5,84600.0,2001-06-01
ASCC,Coal,2001,7,117.5,87420.0,2001-07-01
ASCC,Coal,2001,8,117.5,87420.0,2001-08-01
ASCC,Coal,2001,9,117.5,84600.0,2001-09-01
ASCC,Coal,2001,10,117.5,87420.0,2001-10-01
ASCC,Coal,2001,11,117.5,84600.0,2001-11-01
ASCC,Coal,2001,12,117.5,87420.0,2001-12-01
ASCC,Coal,2002,1,117.5,87420.0,2002-01-01
ASCC,Coal,2002,2,117.5,78960.0,2002-02-01
ASCC,Coal,2002,3,117.5,87420.0,2002-03-01
ASCC,Coal,2002,4,117.5,84600.0,2002-04-01
ASCC,Coal,2002,5,117.5,87420.0,2002-05-01
ASCC,Coal,2002,6,117.5,84600.0,2002-06-01
ASCC,Coal,2002,7,117.5,87420.0,2002-07-01
ASCC,Coal,2002,8,117.5,87420.0,2002-08-01
ASCC,Coal,2002,9,117.5,84600.0,2002-09-01
ASCC,Coal,2002,10,117.5,87420.0,2002-10-01
ASCC,Coal,2002,11,117.5,84600.0,2002-11-01
ASCC,Coal,2002,12,117.5,87420.0,2002-12-01
ASCC,Coal,2003,1,117.5,87420.0,2003-01-01
ASCC,Coal,2003,2,117.5,78960.0,2003-02-01
ASCC,Coal,2003,3,117.5,87420.0,2003-03-01
ASCC,Coal,2003,4,117.5,84600.0,2003-04-01
ASCC,Coal,2003,5,117.5,87420.0,2003-05-01
ASCC,Coal,2003,6,117.5,84600.0,2003-06-01
ASCC,Coal,2003,7,117.5,87420.0,2003-07-01
ASCC,Coal,2003,8,117.5,87420.0,2003-08-01
ASCC,Coal,2003,9,117.5,84600.0,2003-09-01
ASCC,Coal,2003,10,117.5,87420.0,2003-10-01
ASCC,Coal,2003,11,117.5,84600.0,2003-11-01
ASCC,Coal,2003,12,117.5,87420.0,2003-12-01
ASCC,Coal,2004,1,117.5,87420.0,2004-01-01
ASCC,Coal,2004,2,117.5,81780.0,2004-02-01
ASCC,Coal,2004,3,117.5,87420.0,2004-03-01
ASCC,Coal,2004,4,117.5,84600.0,2004-04-01
ASCC,Coal,2004,5,117.5,87420.0,2004-05-01
ASCC,Coal,2004,6,117.5,84600.0,2004-06-01
ASCC,Coal,2004,7,117.5,87420.0,2004-07-01
ASCC,Coal,2004,8,117.5,87420.0,2004-08-01
ASCC,Coal,2004,9,117.5,84600.0,2004-09-01
ASCC,Coal,2004,10,117.5,87420.0,2004-10-01
ASCC,Coal,2004,11,117.5,84600.0,2004-11-01
ASCC,Coal,2004,12,117.5,87420.0,2004-12-01
ASCC,Coal,2005,1,117.5,87420.0,2005-01-01
ASCC,Coal,2005,2,117.5,78960.0,2005-02-01
ASCC,Coal,2005,3,117.5,87420.0,2005-03-01
ASCC,Coal,2005,4,117.5,84600.0,2005-04-01
ASCC,Coal,2005,5,117.5,87420.0,2005-05-01
ASCC,Coal,2005,6,117.5,84600.0,2005-06-01
ASCC,Coal,2005,7,117.5,87420.0,2005-07-01
ASCC,Coal,2005,8,117.5,87420.0,2005-08-01
ASCC,Coal,2005,9,117.5,84600.0,2005-09-01
ASCC,Coal,2005,10,117.5,87420.0,2005-10-01
ASCC,Coal,2005,11,117.5,84600.0,2005-11-01
ASCC,Coal,2005,12,117.5,87420.0,2005-12-01
ASCC,Coal,2006,1,117.5,87420.0,2006-01-01
ASCC,Coal,2006,2,117.5,78960.0,2006-02-01
ASCC,Coal,2006,3,117.5,87420.0,2006-03-01
ASCC,Coal,2006,4,117.5,84600.0,2006-04-01
ASCC,Coal,2006,5,117.5,87420.0,2006-05-01
ASCC,Coal,2006,6,117.5,84600.0,2006-06-01
ASCC,Coal,2006,7,117.5,87420.0,2006-07-01
ASCC,Coal,2006,8,117.5,87420.0,2006-08-01
ASCC,Coal,2006,9,117.5,84600.0,2006-09-01
ASCC,Coal,2006,10,117.5,87420.0,2006-10-01
ASCC,Coal,2006,11,117.5,84600.0,2006-11-01
ASCC,Coal,2006,12,117.5,87420.0,2006-12-01
ASCC,Coal,2007,1,117.5,87420.0,2007-01-01
ASCC,Coal,2007,2,117.5,78960.0,2007-02-01
ASCC,Coal,2007,3,117.5,87420.0,2007-03-01
ASCC,Coal,2007,4,117.5,84600.0,2007-04-01
ASCC,Coal,2007,5,117.5,87420.0,2007-05-01
ASCC,Coal,2007,6,117.5,84600.0,2007-06-01
ASCC,Coal,2007,7,117.5,87420.0,2007-07-01
ASCC,Coal,2007,8,117.5,87420.0,2007-08-01
ASCC,Coal,2007,9,117.5,84600.0,2007-09-01
ASCC,Coal,2007,10,117.5,87420.0,2007-10-01
ASCC,Coal,2007,11,117.5,84600.0,2007-11-01
ASCC,Coal,2007,12,117.5,87420.0,2007-12-01
ASCC,Coal,2008,1,117.5,87420.0,2008-01-01
ASCC,Coal,2008,2,117.5,81780.0,2008-02-01
ASCC,Coal,2008,3,117.5,87420.0,2008-03-01
ASCC,Coal,2008,4,117.5,84600.0,2008-04-01
ASCC,Coal,2008,5,117.5,87420.0,2008-05-01
ASCC,Coal,2008,6,117.5,84600.0,2008-06-01
ASCC,Coal,2008,7,117.5,87420.0,2008-07-01
ASCC,Coal,2008,8,117.5,87420.0,2008-08-01
ASCC,Coal,2008,9,117.5,84600.0,2008-09-01
ASCC,Coal,2008,10,117.5,87420.0,2008-10-01
ASCC,Coal,2008,11,117.5,84600.0,2008-11-01
