end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2017,3,1242151.83,2017-03-01,1,12869100.0,12756320.0,1225781775.0,1215039480.0
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2017,2,1862417.99,2017-02-01,1,19070890.0,18955330.0,1816502272.5,1805495182.5
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2017,1,3078044.33,2017-01-01,1,31089580.0,30942740.0,2961282495.0,2947295985.0
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,12,2896881.93,2016-12-01,4,29618060.0,29485430.0,2821120215.0,2808487207.5
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,11,1541809.0,2016-11-01,4,15630290.0,15522710.0,1488785122.5,1478538127.5
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,10,2368408.14,2016-10-01,4,23416440.0,23326380.0,2230415910.0,2221837695.0
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,9,2878065.72,2016-09-01,3,29261960.0,29164880.0,2787201690.0,2777954820.0
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,8,2605526.16,2016-08-01,3,26559330.0,26429760.0,2529776182.5,2517434640.0
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,7,2648180.13,2016-07-01,3,27585200.0,27453400.0,2627490300.0,2614936350.0
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,6,2026368.07,2016-06-01,2,20254210.0,20150230.0,1929213502.5,1919309407.5
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,5,898370.46,2016-05-01,2,9675440.0,9539230.0,921585660.0,908611657.5
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,4,1194061.23,2016-04-01,2,12204320.0,12132440.0,1162461480.0,1155614910.0
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,3,1237355.92,2016-03-01,1,12933410.0,12823450.0,1231907302.5,1221433612.5
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,2,1593701.48,2016-02-01,1,16511030.0,16399400.0,1572675607.5,1562042850.0
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2016,1,1911342.05,2016-01-01,1,19655090.0,19484480.0,1872147322.5,1855896720.0
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2015,12,1057321.98,2015-12-01,4,11371710.0,11216610.0,1083155377.5,1068382102.5
201703,M,USA-AR,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-AR-99.M,200101,COW,megawatthours,2015,11,1100911.49,2015-11-01,4,11849380.0,11737260.0,1128653445.0,1117974015.0
