end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2017,3,522488.84,2017-03-01,1,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2017,2,324177.47,2017-02-01,1,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2017,1,289431.79,2017-01-01,1,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,12,293366.75,2016-12-01,4,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,11,306420.69,2016-11-01,4,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,10,369591.87,2016-10-01,4,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,9,377067.37,2016-09-01,3,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,8,382461.73,2016-08-01,3,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,7,479784.87,2016-07-01,3,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,6,456609.35,2016-06-01,2,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,5,480853.06,2016-05-01,2,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,4,403282.02,2016-04-01,2,,,0.0,0.0
201703,M,USA-AZ,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-AZ-99.M,200101,AOR,megawatthours,2016,3,375453.73,2016-03-01,1,,,0.0,0.0
