end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2017,3,4981.0,2017-03-01,1,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2017,2,3616.0,2017-02-01,1,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2017,1,5265.0,2017-01-01,1,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,12,0.0,2016-12-01,4,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,11,0.0,2016-11-01,4,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,10,0.0,2016-10-01,4,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,9,0.0,2016-09-01,3,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,8,0.0,2016-08-01,3,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,7,0.0,2016-07-01,3,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,6,0.0,2016-06-01,2,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,5,0.0,2016-05-01,2,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,4,0.0,2016-04-01,2,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,3,0.0,2016-03-01,1,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,2,0.0,2016-02-01,1,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2016,1,0.0,2016-01-01,1,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2015,12,4892.24,2015-12-01,4,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2015,11,4662.15,2015-11-01,4,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2015,10,4626.77,2015-10-01,4,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2015,9,4028.64,2015-09-01,3,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2015,8,4396.44,2015-08-01,3,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2015,7,4576.29,2015-07-01,3,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-DC-99.M,201506,AOR,megawatthours,2015,6,3816.47,2015-06-01,2,,,0.0,0.0
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2017,3,3913.0,2017-03-01,1,83400.0,72890.0,4426038.0,3868272.3
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2017,2,1881.0,2017-02-01,1,77080.0,68320.0,4090635.6,3625742.4
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2017,1,4452.0,2017-01-01,1,87130.0,79690.0,4623989.1,4229148.3
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,12,,2016-12-01,4,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,11,,2016-11-01,4,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,10,,2016-10-01,4,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,9,,2016-09-01,3,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,8,,2016-08-01,3,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,7,,2016-07-01,3,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,6,,2016-06-01,2,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,5,,2016-05-01,2,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,4,,2016-04-01,2,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,3,,2016-03-01,1,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,2,,2016-02-01,1,,,,
201703,M,USA-DC,2017-05-24T14:26:30-04:00,99,ELEC.GEN.NG-DC-99.M,201101,NG,megawatthours,2016,1,,2016-01-01,1,,,,
