end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2017,3,1325873.97,2017-03-01,1,17462820.0,14208900.0,1663333605.0,1353397725.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2017,2,1230050.13,2017-02-01,1,16050930.0,12985590.0,1528851082.5,1236877447.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2017,1,2901359.13,2017-01-01,1,33601820.0,30196090.0,3200573355.0,2876177572.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,12,2400631.4,2016-12-01,4,27836300.0,25092660.0,2651407575.0,2390075865.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,11,1546623.26,2016-11-01,4,18426360.0,16321800.0,1755110790.0,1554651450.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,10,2183887.34,2016-10-01,4,24563630.0,22348290.0,2339685757.5,2128674622.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,9,2299262.25,2016-09-01,3,25844360.0,23332030.0,2461675290.0,2222375857.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,8,3159721.84,2016-08-01,3,35262280.0,32189780.0,3358732170.0,3066076545.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,7,3297137.77,2016-07-01,3,36633380.0,33583360.0,3489329445.0,3198815040.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,6,2790253.79,2016-06-01,2,31399750.0,28361230.0,2990826187.5,2701407157.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,5,1170753.61,2016-05-01,2,14971500.0,12343950.0,1426035375.0,1175761237.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,4,830346.71,2016-04-01,2,11142950.0,8798900.0,1061365987.5,838095225.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,3,1419654.88,2016-03-01,1,17822170.0,14488880.0,1697561692.5,1380065820.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,2,1940162.22,2016-02-01,1,23144090.0,19880090.0,2204474572.5,1893578572.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2016,1,2562345.51,2016-01-01,1,29434010.0,25993730.0,2803589452.5,2475902782.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2015,12,1942561.13,2015-12-01,4,23159850.0,19946700.0,2205975712.5,1899923175.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2015,11,1334866.35,2015-11-01,4,16877750.0,13784310.0,1607605687.5,1312955527.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2015,10,1933573.24,2015-10-01,4,22485590.0,19511780.0,2141752447.5,1858497045.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2015,9,2518587.11,2015-09-01,3,29417390.0,26148200.0,2802006397.5,2490616050.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2015,8,3052083.31,2015-08-01,3,34963530.0,31479460.0,3330276232.5,2998418565.0
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2015,7,3195450.3,2015-07-01,3,37268900.0,32989930.0,3549862725.0,3142290832.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2015,6,2764536.67,2015-06-01,2,31616780.0,28370090.0,3011498295.0,2702251072.5
201703,M,USA-IA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-IA-99.M,200101,COW,megawatthours,2015,5,2229302.52,2015-05-01,2,26370070.0,23201770.0,2511749167.5,2209968592.5
