end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2017,3,448870.06,2017-03-01,1,4707690.0,4707690.0,448407472.5,448407472.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2017,2,350222.0,2017-02-01,1,3785880.0,3785880.0,360605070.0,360605070.0
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2017,1,233497.82,2017-01-01,1,2575540.0,2575540.0,245320185.0,245320185.0
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,12,314493.23,2016-12-01,4,3356350.0,3300630.0,319692337.5,314385007.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,11,52245.44,2016-11-01,4,639480.0,588110.0,60910470.0,56017477.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,10,62431.8,2016-10-01,4,724940.0,688280.0,69050535.0,65558670.0
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,9,100761.66,2016-09-01,3,1159530.0,1108960.0,110445232.5,105628440.0
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,8,148976.39,2016-08-01,3,1711760.0,1647260.0,163045140.0,156901515.0
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,7,147416.47,2016-07-01,3,1681570.0,1620010.0,160169542.5,154305952.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,6,119237.97,2016-06-01,2,1327130.0,1265200.0,126409132.5,120510300.0
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,5,26850.45,2016-05-01,2,341510.0,283280.0,32528827.5,26982420.0
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,4,122636.77,2016-04-01,2,1308710.0,1282160.0,124654627.5,122125740.0
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,3,125543.94,2016-03-01,1,1423940.0,1345570.0,135630285.0,128165542.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,2,284218.51,2016-02-01,1,3028630.0,2950450.0,288477007.5,281030362.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2016,1,387667.2,2016-01-01,1,4093100.0,4011890.0,389867775.0,382132522.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2015,12,162824.9,2015-12-01,4,1763670.0,1715250.0,167989567.5,163377562.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2015,11,206388.05,2015-11-01,4,2220530.0,2163770.0,211505482.5,206099092.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2015,10,136108.65,2015-10-01,4,1476100.0,1432110.0,140598525.0,136408477.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2015,9,52518.51,2015-09-01,3,607530.0,585320.0,57867232.5,55751730.0
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2015,8,29797.29,2015-08-01,3,416620.0,404810.0,39683055.0,38558152.5
201703,M,USA-MA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MA-99.M,200101,COW,megawatthours,2015,7,136035.01,2015-07-01,3,1567860.0,1522200.0,149338665.0,144989550.0
