end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2017,3,1673035.22,2017-03-01,1,18735310.0,17658250.0,1784538277.5,1681948312.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2017,2,1924604.6,2017-02-01,1,21117450.0,20056810.0,2011437112.5,1910411152.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2017,1,2507434.25,2017-01-01,1,27455600.0,26235690.0,2615145900.0,2498949472.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,12,2410946.88,2016-12-01,4,25164360.0,24303000.0,2396905290.0,2314860750.0
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,11,2070757.39,2016-11-01,4,22462740.0,21654290.0,2139575985.0,2062571122.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,10,1875599.94,2016-10-01,4,20268380.0,19704450.0,1930563195.0,1876848862.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,9,2083218.97,2016-09-01,3,22501810.0,21750720.0,2143297402.5,2071756080.0
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,8,2288403.54,2016-08-01,3,24793400.0,23865270.0,2361571350.0,2273166967.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,7,2191362.09,2016-07-01,3,23818960.0,22931910.0,2268755940.0,2184264427.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,6,1876256.44,2016-06-01,2,20501050.0,19625400.0,1952725012.5,1869319350.0
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,5,1602309.91,2016-05-01,2,17778370.0,16958870.0,1693389742.5,1615332367.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,4,1227922.2,2016-04-01,2,13710640.0,13096490.0,1305938460.0,1247440672.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,3,1565054.15,2016-03-01,1,17619320.0,16487450.0,1678240230.0,1570429612.5
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,2,1870811.92,2016-02-01,1,20703770.0,19551520.0,1972034092.5,1862282280.0
201703,M,USA-MN,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MN-99.M,200101,COW,megawatthours,2016,1,2421665.52,2016-01-01,1,26390220.0,25186250.0,2513668455.0,2398990312.5
