end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2017,3,5305397.08,2017-03-01,1,55008330.0,54760020.0,5239543432.5,5215891905.0
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2017,2,5025403.28,2017-02-01,1,51284600.0,51052830.0,4884858150.0,4862782057.5
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2017,1,6428826.49,2017-01-01,1,65304170.0,64968810.0,6220222192.5,6188279152.5
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,12,5218419.86,2016-12-01,4,53972470.0,53493870.0,5140877767.5,5095291117.5
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,11,4052845.53,2016-11-01,4,42405010.0,41959500.0,4039077202.5,3996642375.0
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,10,4002950.41,2016-10-01,4,42062540.0,41717110.0,4006456935.0,3973554727.5
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,9,5001217.27,2016-09-01,3,51478510.0,51105720.0,4903328077.5,4867819830.0
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,8,6410506.03,2016-08-01,3,66573920.0,66245360.0,6341165880.0,6309870540.0
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,7,6390608.81,2016-07-01,3,66439550.0,66139620.0,6328367137.5,6299798805.0
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,6,5623775.32,2016-06-01,2,57833260.0,57535890.0,5508618015.0,5480293522.5
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,5,4294890.76,2016-05-01,2,45008190.0,44764260.0,4287030097.5,4263795765.0
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,4,4202537.07,2016-04-01,2,42724950.0,42445260.0,4069551487.5,4042911015.0
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,3,4206829.67,2016-03-01,1,44666540.0,44104560.0,4254487935.0,4200959340.0
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,2,5040753.06,2016-02-01,1,52750880.0,52231980.0,5024521320.0,4975096095.0
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2016,1,6154092.8,2016-01-01,1,63119490.0,62558830.0,6012131422.5,5958728557.5
201703,M,USA-MO,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MO-99.M,200101,COW,megawatthours,2015,12,4629546.72,2015-12-01,4,48060230.0,47545320.0,4577736907.5,4528691730.0
