end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2017,3,131403.09,2017-03-01,1,1560580.0,1560580.0,148645245.0,148645245.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2017,2,155632.46,2017-02-01,1,1942250.0,1942250.0,184999312.5,184999312.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2017,1,196123.95,2017-01-01,1,2264810.0,2264810.0,215723152.5,215723152.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,12,72749.89,2016-12-01,4,899480.0,899480.0,85675470.0,85675470.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,11,65497.92,2016-11-01,4,741160.0,741160.0,70595490.0,70595490.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,10,134127.24,2016-10-01,4,1497330.0,1497330.0,142620682.5,142620682.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,9,240569.71,2016-09-01,3,2675150.0,2675150.0,254808037.5,254808037.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,8,456984.15,2016-08-01,3,5088000.0,5088000.0,484632000.0,484632000.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,7,443914.09,2016-07-01,3,4731230.0,4731230.0,450649657.5,450649657.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,6,217365.81,2016-06-01,2,2405550.0,2405550.0,229128637.5,229128637.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,5,67696.35,2016-05-01,2,794080.0,794080.0,75636120.0,75636120.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,4,71467.57,2016-04-01,2,867050.0,867050.0,82586512.5,82586512.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,3,88947.85,2016-03-01,1,1083240.0,1083240.0,103178610.0,103178610.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,2,154085.5,2016-02-01,1,1773560.0,1773560.0,168931590.0,168931590.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2016,1,153424.66,2016-01-01,1,1764180.0,1764180.0,168038145.0,168038145.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,12,182071.79,2015-12-01,4,2036840.0,2036840.0,194009010.0,194009010.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,11,164954.16,2015-11-01,4,1897520.0,1897520.0,180738780.0,180738780.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,10,219432.02,2015-10-01,4,2558170.0,2558170.0,243665692.5,243665692.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,9,285549.04,2015-09-01,3,3189780.0,3189780.0,303826545.0,303826545.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,8,457271.25,2015-08-01,3,5015240.0,5015240.0,477701610.0,477701610.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,7,399889.2,2015-07-01,3,4314590.0,4314590.0,410964697.5,410964697.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,6,235426.09,2015-06-01,2,2692150.0,2692150.0,256427287.5,256427287.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,5,71057.43,2015-05-01,2,854310.0,854310.0,81373027.5,81373027.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,4,104211.96,2015-04-01,2,1215290.0,1215290.0,115756372.5,115756372.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,3,166945.24,2015-03-01,1,1840260.0,1840260.0,175284765.0,175284765.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,2,159072.74,2015-02-01,1,1872840.0,1872840.0,178388010.0,178388010.0
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2015,1,211408.05,2015-01-01,1,2328590.0,2328590.0,221798197.5,221798197.5
201703,M,USA-NV,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-NV-99.M,200101,COW,megawatthours,2014,12,314006.41,2014-12-01,4,3407040.0,3407040.0,324520560.0,324520560.0
