end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2017,3,82277.08,2017-03-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2017,2,74382.99,2017-02-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2017,1,65976.15,2017-01-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,12,72910.75,2016-12-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,11,64527.31,2016-11-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,10,64367.11,2016-10-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,9,62870.49,2016-09-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,8,63978.9,2016-08-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,7,71317.8,2016-07-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,6,81191.08,2016-06-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,5,65608.17,2016-05-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,4,52762.05,2016-04-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,3,76061.08,2016-03-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,2,82319.74,2016-02-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2016,1,83881.84,2016-01-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,12,74278.06,2015-12-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,11,75414.31,2015-11-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,10,80698.09,2015-10-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,9,48884.51,2015-09-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,8,67930.69,2015-08-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,7,65447.97,2015-07-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,6,57942.11,2015-06-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,5,58182.49,2015-05-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,4,59463.39,2015-04-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,3,88846.91,2015-03-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,2,80742.53,2015-02-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2015,1,80169.2,2015-01-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,12,61583.95,2014-12-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,11,74364.35,2014-11-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,10,79836.73,2014-10-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,9,56528.06,2014-09-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,8,54574.89,2014-08-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,7,58901.26,2014-07-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,6,60816.59,2014-06-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,5,42978.02,2014-05-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,4,62203.99,2014-04-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,3,83999.82,2014-03-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,2,72696.93,2014-02-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2014,1,79068.81,2014-01-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,12,70336.08,2013-12-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,11,70726.5,2013-11-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,10,55874.84,2013-10-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,9,60048.51,2013-09-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,8,64769.06,2013-08-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,7,53275.93,2013-07-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,6,57920.23,2013-06-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,5,65934.53,2013-05-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,4,45345.91,2013-04-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,3,71491.48,2013-03-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,2,59496.73,2013-02-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2013,1,69318.62,2013-01-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,12,65639.24,2012-12-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,11,58038.34,2012-11-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,10,16648.75,2012-10-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,9,24370.9,2012-09-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,8,45904.24,2012-08-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,7,40096.8,2012-07-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,6,30655.27,2012-06-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,5,32703.14,2012-05-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,4,31546.72,2012-04-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,3,37674.11,2012-03-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,2,36872.76,2012-02-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2012,1,45018.33,2012-01-01,1,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,12,43146.06,2011-12-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,11,36501.4,2011-11-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,10,24039.44,2011-10-01,4,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,9,34639.23,2011-09-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,8,46960.66,2011-08-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,7,43896.99,2011-07-01,3,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,6,32762.8,2011-06-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,5,20261.92,2011-05-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,4,18847.65,2011-04-01,2,,,0.0,0.0
201703,M,USA-VT,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VT-99.M,200101,AOR,megawatthours,2011,3,44620.02,2011-03-01,1,,,0.0,0.0
