plant id,region
2,SERC
3,SERC
4,SERC
7,SERC
8,SERC
9,WECC
10,SERC
11,SERC
12,SERC
13,SERC
14,SERC
15,SERC
16,SERC
17,SERC
18,SERC
19,SERC
20,SERC
21,SERC
26,SERC
30,MRO
34,WECC
38,SERC
46,SERC
47,SERC
48,SERC
49,SERC
50,SERC
51,SPP
53,SERC
54,SERC
55,SERC
56,SERC
59,MRO
60,MRO
62,ASCC
63,ASCC
64,ASCC
65,ASCC
66,
69,ASCC
70,ASCC
71,ASCC
72,WECC
75,ASCC
77,ASCC
78,ASCC
79,ASCC
84,ASCC
85,ASCC
87,WECC
88,NPCC
90,ASCC
91,ASCC
92,ASCC
93,ASCC
95,ASCC
96,ASCC
99,WECC
100,WECC
104,WECC
108,SPP
109,ASCC
112,WECC
113,WECC
114,WECC
115,WECC
116,WECC
117,WECC
118,WECC
120,WECC
124,WECC
126,WECC
127,TRE
130,SERC
136,FRCC
141,WECC
143,WECC
145,WECC
147,WECC
148,WECC
149,WECC
150,WECC
151,WECC
152,WECC
153,WECC
154,WECC
159,WECC
160,WECC
161,WECC
162,WECC
164,FRCC
165,SPP
166,SERC
167,SERC
168,SERC
169,SERC
170,SERC
171,SERC
172,SPP
173,SERC
174,SERC
180,WECC
182,SPP
187,SERC
188,SPP
192,SPP
193,SPP
195,SERC
196,SPP
197,SERC
198,SPP
199,SPP
201,SPP
202,SERC
203,SERC
204,SERC
207,FRCC
210,SPP
214,WECC
215,WECC
217,WECC
218,WECC
219,WECC
220,WECC
221,WECC
222,WECC
223,WECC
224,WECC
225,WECC
226,WECC
227,WECC
228,WECC
229,WECC
231,WECC
232,WECC
233,WECC
235,WECC
236,WECC
237,WECC
238,WECC
239,WECC
240,WECC
241,WECC
242,WECC
243,WECC
244,WECC
246,WECC
247,WECC
248,WECC
249,WECC
250,WECC
253,WECC
254,WECC
255,WECC
258,WECC
260,WECC
261,WECC
262,WECC
264,WECC
265,WECC
266,WECC
267,WECC
268,WECC
269,WECC
270,WECC
271,WECC
272,WECC
274,WECC
275,WECC
276,WECC
277,WECC
279,WECC
280,WECC
281,WECC
282,WECC
283,WECC
284,WECC
285,WECC
286,WECC
287,WECC
289,WECC
290,WECC
291,WECC
292,WECC
293,WECC
294,WECC
295,WECC
296,WECC
297,WECC
298,TRE
299,WECC
300,WECC
301,WECC
302,WECC
303,WECC
305,WECC
306,WECC
307,WECC
309,WECC
312,RFC
313,ASCC
314,WECC
315,WECC
316,WECC
317,WECC
318,WECC
319,WECC
320,WECC
321,WECC
322,WECC
323,WECC
324,WECC
325,WECC
326,WECC
327,WECC
328,WECC
329,WECC
330,WECC
331,WECC
332,WECC
335,WECC
336,WECC
337,WECC
338,WECC
339,WECC
340,WECC
341,WECC
342,WECC
344,WECC
345,WECC
350,WECC
353,WECC
354,WECC
356,WECC
357,WECC
358,WECC
360,WECC
361,WECC
363,WECC
365,WECC
371,WECC
375,WECC
376,WECC
377,WECC
378,MRO
380,WECC
381,WECC
382,WECC
383,WECC
384,RFC
385,WECC
386,WECC
387,WECC
388,WECC
389,WECC
390,ASCC
391,WECC
392,WECC
393,WECC
394,WECC
396,WECC
397,WECC
398,WECC
399,WECC
400,WECC
401,WECC
402,WECC
403,WECC
404,WECC
406,ASCC
407,WECC
408,WECC
409,WECC
410,WECC
412,WECC
413,WECC
414,WECC
415,WECC
416,WECC
417,WECC
418,WECC
419,WECC
420,WECC
421,ASCC
422,WECC
423,ASCC
424,WECC
425,WECC
426,WECC
427,WECC
428,WECC
430,WECC
431,WECC
432,WECC
433,WECC
435,WECC
436,WECC
437,WECC
438,WECC
439,WECC
440,WECC
441,WECC
442,WECC
443,WECC
444,WECC
445,WECC
446,WECC
447,WECC
448,WECC
450,WECC
451,WECC
454,WECC
455,WECC
457,WECC
460,WECC
462,WECC
464,WECC
465,WECC
466,WECC
467,WECC
468,WECC
469,WECC
470,WECC
471,WECC
472,WECC
473,WECC
474,WECC
476,WECC
477,WECC
478,WECC
479,WECC
480,WECC
481,WECC
482,WECC
483,WECC
484,WECC
487,WECC
489,WECC
491,WECC
492,WECC
493,WECC
494,WECC
495,WECC
502,WECC
504,WECC
505,WECC
506,WECC
507,WECC
508,WECC
510,WECC
511,WECC
512,WECC
513,WECC
514,WECC
515,WECC
516,WECC
517,WECC
518,WECC
519,WECC
520,WECC
521,WECC
525,WECC
527,WECC
529,WECC
531,WECC
533,SERC
534,WECC
535,WECC
537,WECC
539,NPCC
540,NPCC
541,NPCC
542,NPCC
544,NPCC
546,NPCC
547,NPCC
550,WECC
551,NPCC
552,NPCC
553,NPCC
554,NPCC
557,NPCC
559,NPCC
560,NPCC
561,NPCC
562,NPCC
563,NPCC
564,FRCC
565,NPCC
566,NPCC
568,NPCC
579,NPCC
581,NPCC
583,NPCC
584,WECC
585,WECC
586,WECC
589,NPCC
591,RFC
592,RFC
593,RFC
594,RFC
597,RFC
599,RFC
602,RFC
607,WECC
609,FRCC
610,FRCC
612,FRCC
613,FRCC
617,FRCC
619,FRCC
620,FRCC
621,FRCC
622,WECC
624,FRCC
625,NPCC
626,WECC
627,FRCC
628,FRCC
629,FRCC
630,FRCC
632,WECC
634,FRCC
637,FRCC
638,FRCC
641,SERC
642,SERC
643,SERC
645,FRCC
646,FRCC
647,FRCC
649,SERC
650,NPCC
658,FRCC
663,FRCC
664,FRCC
665,FRCC
666,FRCC
667,FRCC
668,FRCC
672,FRCC
673,FRCC
674,WECC
675,FRCC
676,FRCC
678,NPCC
679,FRCC
681,FRCC
682,WECC
683,FRCC
685,FRCC
688,FRCC
689,FRCC
690,FRCC
692,WECC
693,FRCC
696,FRCC
698,SERC
699,SERC
700,SERC
701,SERC
702,SERC
703,SERC
704,SERC
706,SERC
707,SERC
708,SERC
709,SERC
710,SERC
711,SERC
712,SERC
714,WECC
715,SERC
717,SERC
718,SERC
719,SERC
720,SERC
722,SERC
723,SERC
724,SERC
725,SERC
727,SERC
728,SERC
729,SERC
732,SERC
733,SERC
734,SERC
736,SERC
745,WECC
747,FRCC
748,FRCC
751,WECC
752,SERC
753,SERC
754,SERC
757,SERC
758,SERC
759,SERC
760,SERC
761,SERC
762,SPP
764,HICC
765,HICC
766,HICC
768,HICC
769,HICC
771,HICC
772,HICC
773,WECC
774,HICC
776,WECC
783,NPCC
784,NPCC
785,MRO
788,NPCC
789,ASCC
790,WECC
791,TRE
792,HICC
794,TRE
805,NPCC
808,NPCC
809,WECC
810,WECC
811,WECC
812,WECC
813,WECC
814,WECC
815,WECC
816,WECC
817,WECC
818,WECC
819,WECC
820,WECC
821,WECC
822,WECC
823,WECC
825,WECC
826,WECC
827,WECC
829,WECC
831,WECC
833,WECC
835,WECC
839,WECC
840,WECC
841,WECC
843,WECC
844,WECC
846,WECC
850,WECC
851,WECC
856,SERC
860,SERC
861,SERC
862,SERC
865,RFC
866,RFC
867,RFC
869,RFC
870,RFC
874,RFC
876,RFC
877,RFC
879,RFC
880,RFC
882,RFC
883,RFC
884,RFC
886,RFC
887,SERC
889,SERC
891,SERC
892,SERC
894,SERC
895,SERC
897,SERC
898,SERC
899,MRO
902,WECC
903,RFC
905,WECC
913,SERC
917,WECC
925,WECC
934,SERC
935,SERC
936,SERC
937,SERC
940,SERC
941,SERC
943,SERC
944,MRO
946,SERC
948,SERC
949,SERC
955,RFC
956,FRCC
957,SERC
958,SERC
959,SERC
960,RFC
961,RFC
963,SERC
964,SERC
965,SERC
969,SERC
971,SERC
972,RFC
976,SERC
983,RFC
986,RFC
987,WECC
988,RFC
989,RFC
990,RFC
991,RFC
992,RFC
994,RFC
995,RFC
996,RFC
997,RFC
998,RFC
999,RFC
1001,RFC
1002,RFC
1004,RFC
1005,RFC
1006,RFC
1007,RFC
1008,RFC
1010,RFC
1011,RFC
1012,RFC
1013,RFC
1016,SERC
1020,WECC
1024,RFC
1032,RFC
1037,RFC
1038,RFC
1040,RFC
1043,RFC
1046,MRO
1047,MRO
1048,MRO
1052,MRO
1058,MRO
1060,MRO
1067,MRO
1068,MRO
1073,MRO
1077,MRO
1079,MRO
1081,MRO
1082,MRO
1084,MRO
1091,MRO
1097,MRO
1104,MRO
1105,MRO
1109,SERC
1120,SPP
1121,SPP
1122,MRO
1123,MRO
1124,MRO
1125,MRO
1126,MRO
1127,MRO
1128,MRO
1129,MRO
1130,MRO
1131,MRO
1132,MRO
1134,MRO
1135,MRO
1137,MRO
1138,MRO
1141,MRO
1142,MRO
1143,MRO
1144,MRO
1145,MRO
1146,MRO
1150,MRO
1153,MRO
1154,MRO
1155,MRO
1156,MRO
1157,MRO
1158,MRO
1160,MRO
1162,MRO
1163,MRO
1164,MRO
1165,MRO
1166,MRO
1167,MRO
1168,SPP
1169,MRO
1172,MRO
1173,MRO
1175,MRO
1176,MRO
1177,MRO
1180,MRO
1181,MRO
1184,MRO
1186,MRO
1187,MRO
1188,MRO
1189,MRO
1190,MRO
1191,MRO
1192,MRO
1193,MRO
1194,MRO
1198,MRO
1199,MRO
1200,MRO
1201,MRO
1202,MRO
1203,MRO
1206,MRO
1217,MRO
1218,MRO
1224,SPP
1225,SPP
1230,SPP
1233,SPP
1235,SPP
1239,SPP
1240,SPP
1241,SPP
1242,SPP
1243,SPP
1248,SPP
1250,SPP
1251,SPP
1252,SPP
1258,SPP
1259,SPP
1261,SPP
1262,SPP
1263,SPP
1264,SPP
1265,SPP
1266,SPP
1267,SPP
1268,SPP
1270,SPP
1271,SPP
1272,SPP
1274,SPP
1275,SPP
1276,SPP
1278,SPP
1279,SPP
1280,SPP
1283,SPP
1285,SPP
1286,SPP
1287,SPP
1289,SPP
1291,SPP
1292,SPP
1294,SPP
1295,SPP
1296,SPP
1297,SPP
1298,SPP
1299,SPP
1300,SPP
1305,SPP
1306,SPP
1307,SPP
1308,SPP
1312,SPP
1313,SPP
1314,SPP
1315,SPP
1316,SPP
1317,SPP
1319,SPP
1320,SPP
1321,SPP
1322,SPP
1324,SPP
1325,SPP
1326,SPP
1327,SPP
1328,SPP
1329,SPP
1330,SPP
1332,SPP
1334,SPP
1336,SPP
1353,RFC
1354,SERC
1355,SERC
1356,SERC
1357,SERC
1358,SERC
1359,SERC
1360,SERC
1361,SERC
1363,SERC
1364,SERC
1365,SERC
1366,SERC
1367,SERC
1368,SERC
1371,SERC
1374,SERC
1376,SERC
1377,SERC
1378,SERC
1379,SERC
1380,SERC
1381,SERC
1382,SERC
1383,SERC
1384,SERC
1385,SERC
1391,SERC
1392,SERC
1393,SERC
1394,SERC
1396,SPP
1400,SPP
1401,SERC
1402,SERC
1403,SERC
1404,SERC
1407,SERC
1409,SERC
1416,SPP
1417,SPP
1435,SPP
1439,SPP
1443,SPP
1445,SPP
1447,SPP
1448,SERC
1449,SPP
1453,SPP
1455,SPP
1456,SPP
1464,SERC
1466,NPCC
1468,NPCC
1469,NPCC
1472,NPCC
1474,NPCC
1475,NPCC
1478,NPCC
1480,NPCC
1481,NPCC
1482,NPCC
1483,NPCC
1484,NPCC
1486,NPCC
1487,NPCC
1488,NPCC
1490,NPCC
1491,NPCC
1492,NPCC
1493,NPCC
1497,NPCC
1498,NPCC
1500,NPCC
1501,NPCC
1504,NPCC
1505,NPCC
1507,NPCC
1508,NPCC
1509,NPCC
1510,NPCC
1511,NPCC
1513,NPCC
1514,NPCC
1516,NPCC
1552,RFC
1553,RFC
1554,RFC
1555,RFC
1556,RFC
1557,RFC
1559,RFC
1560,RFC
1563,RFC
1564,RFC
1567,RFC
1570,RFC
1571,RFC
1572,RFC
1573,RFC
1574,RFC
1580,RFC
1585,NPCC
1586,NPCC
1587,NPCC
1588,NPCC
1589,NPCC
1590,NPCC
1592,NPCC
1595,NPCC
1597,NPCC
1599,NPCC
1603,NPCC
1604,NPCC
1605,NPCC
1606,NPCC
1607,NPCC
1615,NPCC
1619,NPCC
1620,NPCC
1626,NPCC
1629,NPCC
1630,NPCC
1631,NPCC
1634,NPCC
1637,NPCC
1638,NPCC
1642,NPCC
1643,NPCC
1660,NPCC
1670,NPCC
1678,NPCC
1682,NPCC
1693,RFC
1694,RFC
1695,RFC
1696,RFC
1698,RFC
1700,RFC
1701,RFC
1702,RFC
1704,RFC
1705,RFC
1706,RFC
1707,RFC
1708,RFC
1710,RFC
1712,RFC
1713,RFC
1714,RFC
1715,RFC
1716,RFC
1718,RFC
1719,RFC
1720,RFC
1722,RFC
1723,RFC
1725,RFC
1726,RFC
1727,RFC
1728,RFC
1729,RFC
1730,RFC
1731,RFC
1732,RFC
1733,RFC
1734,RFC
1735,RFC
1737,RFC
1739,RFC
1740,RFC
1741,RFC
1743,RFC
1744,RFC
1745,RFC
1746,RFC
1750,RFC
1751,RFC
1753,RFC
1754,RFC
1756,MRO
1757,MRO
1760,RFC
1761,RFC
1769,RFC
1771,MRO
1772,RFC
1773,MRO
1774,MRO
1775,RFC
1776,RFC
1777,RFC
1778,RFC
1780,RFC
1781,RFC
1784,RFC
1785,RFC
1786,RFC
1787,MRO
1818,RFC
1821,RFC
1825,RFC
1826,RFC
1827,RFC
1829,RFC
1830,RFC
1831,RFC
1832,RFC
1837,RFC
1840,RFC
1842,RFC
1843,RFC
1844,RFC
1846,RFC
1848,RFC
1851,RFC
1852,RFC
1853,RFC
1855,RFC
1856,RFC
1865,MRO
1866,RFC
1867,RFC
1868,RFC
1871,RFC
1873,RFC
1874,RFC
