Data_Status,State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2015F,AK,ABICP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,0,10,2,0,-3,0,1,0,1,1,21,18,26,33,17,28,17,26,32,33,46,38,3,8,0,-3,-1,0,0,-1,0,-1
2015F,AK,ARICP,47,84,74,89,119,132,248,125,114,146,274,297,327,244,247,319,317,361,314,207,309,266,368,344,438,485,373,257,698,274,269,259,264,43,66,83,26,55,65,131,310,1542,362,59,268,186,50,139,82,1537,1905,2250,2161,1923,1859,1876
2015F,AK,ARTCP,47,84,74,89,119,132,248,125,114,146,274,297,327,244,247,319,317,361,314,207,309,266,368,344,438,485,373,257,698,274,269,259,264,43,66,83,26,55,65,131,310,1542,362,59,268,186,50,139,82,1537,1905,2250,2161,1923,1859,1876
2015F,AK,ARTXP,47,84,74,89,119,132,248,125,114,146,274,297,327,244,247,319,317,361,314,207,309,266,368,344,438,485,373,257,698,274,269,259,264,43,66,83,26,55,65,131,310,1542,362,59,268,186,50,139,82,1537,1905,2250,2161,1923,1859,1876
2015F,AK,AVACP,1032,1276,1030,648,459,293,215,701,703,687,462,377,387,399,480,466,381,432,437,433,498,504,369,375,392,490,617,208,407,491,491,618,459,410,171,389,142,407,152,529,521,245,179,156,182,277,250,248,200,217,169,159,154,139,130,63
2015F,AK,AVTCP,1032,1276,1030,648,459,293,215,701,703,687,462,377,387,399,480,466,381,432,437,433,498,504,369,375,392,490,617,208,407,491,491,618,459,410,171,389,142,407,152,529,521,245,179,156,182,277,250,248,200,217,169,159,154,139,130,63
2015F,AK,AVTXP,1032,1276,1030,648,459,293,215,701,703,687,462,377,387,399,480,466,381,432,437,433,498,504,369,375,392,490,617,208,407,491,491,618,459,410,171,389,142,407,152,529,521,245,179,156,182,277,250,248,200,217,169,159,154,139,130,63
2015F,AK,CLACP,4,2,2,2,2,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015F,AK,CLCCP,26,26,31,21,16,15,19,17,14,14,10,10,15,9,11,12,10,10,0,0,0,387,413,390,406,341,382,0,0,0,395,413,422,462,442,455,417,448,472,486,466,421,414,390,447,465,508,426,558,527,558,621,603,585,544,559
2015F,AK,CLEIP,52,64,78,84,131,151,153,134,149,163,249,274,247,238,266,257,252,251,270,265,273,321,336,321,314,296,272,274,276,299,290,298,277,298,271,293,229,235,481,465,500,515,562,342,393,398,408,414,427,437,410,409,427,400,655,731
2015F,AK,CLICP,256,473,552,493,465,339,672,808,674,523,467,504,449,498,427,594,511,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,2,1,1,1,1,1,0,1,2,2,2,0,4,4,5,1,1,1,1
2015F,AK,CLKCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015F,AK,CLOCP,256,473,552,493,465,339,672,808,674,523,467,504,449,498,427,594,511,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,2,1,1,1,1,1,0,1,2,2,2,0,4,4,5,1,1,1,1
2015F,AK,CLRCP,38,38,45,29,22,20,25,23,18,18,13,10,11,5,5,5,4,4,0,0,0,85,85,74,95,96,114,0,0,0,99,91,93,101,78,68,57,55,58,66,58,52,57,58,50,40,50,47,0,0,0,0,0,0,0,0
2015F,AK,CLTCP,376,603,708,628,636,525,872,984,857,719,740,799,722,751,710,868,778,584,270,265,273,792,834,785,815,733,769,274,276,299,784,802,792,863,796,815,706,740,1012,1019,1024,989,1034,790,891,905,968,889,985,968,971,1035,1031,986,1200,1291
2015F,AK,CLTXP,325,539,630,544,505,375,718,850,708,556,491,525,475,512,443,611,525,333,0,0,0,472,498,464,501,437,497,0,0,0,494,504,514,565,525,523,477,505,531,554,524,475,472,449,498,507,560,475,558,531,561,626,604,586,545,560
2015F,AK,COICP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4079,3919,3708,3032,2137,2513,1731,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015F,AK,DFACP,528,630,652,573,583,789,831,858,934,813,1000,1418,2256,1922,2407,2157,2912,2942,2737,1748,2605,2489,1701,3550,3754,5793,4061,3573,3858,6338,6042,4723,5324,5825,4681,6053,4340,5002,4632,4898,5308,5384,5195,4894,8596,7509,8065,7771,7186,7987,7388,7643,6375,5550,5738,5949
2015F,AK,DFCCP,268,283,297,321,347,344,374,404,442,415,422,555,437,532,534,502,620,698,821,292,577,532,481,1041,1220,901,850,893,815,834,1049,970,1570,1796,1832,1035,1181,947,1068,1310,1155,1686,1239,932,1158,1006,1166,981,1226,1093,1924,1743,1481,1170,1264,1520
2015F,AK,DFEIP,95,120,148,165,251,308,302,345,396,424,394,451,476,487,479,694,803,905,891,920,538,557,585,598,557,518,437,421,424,506,486,530,608,538,573,592,655,598,537,629,415,494,553,511,529,538,586,633,651,594,489,568,510,560,507,581
2015F,AK,DFICP,878,978,931,1029,1209,1238,1373,1540,1777,1859,1923,2143,1709,1802,1708,2117,3201,3643,3720,1906,1784,2059,2420,923,1082,1713,1162,852,1876,1857,1413,1945,2250,2334,2331,3099,3733,3583,3595,3295,2266,2288,2337,2195,2089,1912,2187,2691,2709,3292,2455,3309,4056,4225,4022,4167
2015F,AK,DFRCP,866,913,960,1036,1120,1110,1207,1306,1427,1340,1362,1791,1411,1719,1724,1621,2001,2253,2652,942,1172,910,1125,1194,1400,1274,1081,1367,1196,1536,1557,1589,1831,1894,1941,2024,1927,1849,1672,2033,1731,1824,1491,1472,1687,1619,1932,1458,1248,1500,1504,1393,1356,1200,1155,1349
2015F,AK,DFTCP,2636,2922,2989,3124,3509,3788,4087,4453,4976,4851,5100,6357,6289,6462,6851,7090,9536,10441,10821,5808,6677,6546,6312,7305,8013,10198,7591,7106,8168,11071,10548,9756,11583,12388,11357,12803,11837,11979,11503,12164,10875,11675,10815,10004,14059,12584,13936,13534,13020,14466,13761,14657,13778,12705,12686,13565
2015F,AK,DFTXP,2541,2803,2841,2959,3259,3480,3785,4108,4581,4428,4706,5907,5813,5975,6372,6396,8733,9536,9930,4888,6138,5990,5726,6708,7456,9680,7154,6685,7744,10565,10061,9226,10975,11849,10784,12211,11181,11381,10966,11535,10461,11181,10262,9493,13529,12046,13351,12901,12370,13872,13272,14089,13268,12145,12179,12984
2015F,AK,DKEIP,95,120,148,165,251,308,302,345,396,424,394,451,476,487,479,694,803,905,891,920,538,557,585,598,557,518,437,421,424,506,486,530,608,538,573,592,655,598,537,629,415,494,553,511,529,538,586,633,651,594,489,568,510,560,507,581
