fuel category,year,total fuel (mmbtu),generation (mwh),elec fuel (mmbtu),elec fuel fossil co2 (kg),adjusted co2 (kg),adjusted index (g/kwh),adjusted index (lb/mwh),quarter
Coal,2001,20232291000.0,1903955939.0,19789448000.0,1897174835214.75,1920562812144.7402,1008.7222990850631,2223.82918056293,30
Coal,2002,20417972000.0,1933130346.0,19996899000.0,1911224271651.0,1954234673126.8872,1010.9171775046395,2228.6680095267284,30
Coal,2003,20783578000.0,1973736746.0,20366884000.0,1946206592370.75,1978496061355.999,1002.4113222625278,2209.916001059969,30
Coal,2004,20940247720.0,1978300549.21,20375750900.0,1945684419251.0774,1970045092563.5747,995.826995726346,2195.4001947783026,30
Coal,2005,21350381920.0,2012873045.8600001,20801716130.0,1982396979478.0208,1999673789974.1672,993.4425790474065,2190.1435097679127,30
Coal,2006,21059971870.0,1990511134.62,20527410520.0,1955258813740.8074,1974357358196.7458,991.8846088613627,2186.7088086957606,30
Coal,2007,21363588320.0,2016455583.9399998,20841871130.0,1985188249421.25,2004150804846.8118,993.8978179379753,2191.1471294260605,30
Coal,2008,21051706480.0,1985801246.94,20548610230.0,1957255141362.0,1976075090230.371,995.1021499635896,2193.8021998097297,30
Coal,2009,18703284210.0,1755904253.1599996,18240610790.0,1737418202131.5,1754434793320.266,999.1631321371373,2202.755041109533,30
Coal,2010,19687246350.0,1847290278.7700002,19196315100.0,1828449027943.5,1852235437828.7522,1002.6769799611811,2210.50167002242,30
Coal,2011,18554119840.0,1733430005.6900003,18074297660.0,1722282377056.5,1750411631990.0974,1009.796545718232,2226.1974646904146,30
Coal,2012,16288063700.0,1514042944.94,15867140980.0,1511914168602.75,1538893287083.7356,1016.4132346620593,2240.784617135976,30
Coal,2013,16910576650.0,1581114716.0699997,16509468310.0,1572543485082.0,1600248789055.4524,1012.1016348725234,2231.279264239965,30
Coal,2014,16863554400.0,1581710349.9900002,16472004560.0,1569652729211.25,1594823486803.628,1008.2904792357909,2222.8771905232247,30
Coal,2015,14523705500.0,1352398197.05,14167211740.0,1354817756862.75,1380004683386.3823,1020.4129866459455,2249.6024703596513,30
Coal,2016,13322281140.0,1239148654.6200001,12979911230.0,1236336572470.5,1264920231060.0288,1020.797808514695,2250.450848651497,30
Coal,2017,12920796030.0,1207357339.53,12618129620.0,1217757828703.5,1164520018055.2578,964.5197655472755,2126.3802751255234,30
Hydro,2001,0.0,216961052.0,0.0,0.0,0.0,0.0,0.0,30
Hydro,2002,0.0,264328824.0,0.0,0.0,0.0,0.0,0.0,30
Hydro,2003,0.0,275806324.0,0.0,0.0,0.0,0.0,0.0,30
Hydro,2004,0.0,268417308.39,0.0,0.0,0.0,0.0,0.0,30
Hydro,2005,0.0,270321255.21,0.0,0.0,0.0,0.0,0.0,30
Hydro,2006,0.0,289246415.94,0.0,0.0,0.0,0.0,0.0,30
Hydro,2007,0.0,247509974.67999998,0.0,0.0,0.0,0.0,0.0,30
Hydro,2008,0.0,254831385.42000002,0.0,0.0,0.0,0.0,0.0,30
Hydro,2009,0.0,273445094.52,0.0,0.0,0.0,0.0,0.0,30
Hydro,2010,0.0,260203069.54999998,0.0,0.0,0.0,0.0,0.0,30
Hydro,2011,0.0,319354903.74000007,0.0,0.0,0.0,0.0,0.0,30
Hydro,2012,0.0,276240219.54999995,0.0,0.0,0.0,0.0,0.0,30
Hydro,2013,0.0,268565382.98,0.0,0.0,0.0,0.0,0.0,30
Hydro,2014,0.0,259366622.14000002,0.0,0.0,0.0,0.0,0.0,30
Hydro,2015,0.0,249080084.99,0.0,0.0,0.0,0.0,0.0,30
Hydro,2016,0.0,267812153.30000004,0.0,0.0,0.0,0.0,0.0,30
Hydro,2017,0.0,299573418.7,0.0,0.0,0.0,0.0,0.0,30
Natural Gas,2001,6927718000.0,639129114.0,6001245000.0,325736969412.02997,329692960863.6612,515.8471952564834,1137.2367266624433,30
Natural Gas,2002,7135588000.0,691005755.0,6249574000.0,337135618808.49,344706724602.52954,498.8478346356602,1099.7599362377766,30
Natural Gas,2003,6498544000.0,649907546.0,5735760000.0,319455544614.4199,324751496419.2133,499.68876099064914,1101.6138424799851,30
Natural Gas,2004,6912660950.0,710100016.6600001,5827470480.0,315843594380.8917,319684408168.41736,450.19631131973915,992.5027879354969,30
Natural Gas,2005,7220520280.0,760960254.3400002,6212116580.0,330527635591.05164,333370167558.6032,438.09143205218186,965.8163711022402,30
Natural Gas,2006,7612499910.0,816440769.6600001,6643925640.0,352696217097.2028,356088525795.3577,436.14740839515866,961.5305765479668,30
Natural Gas,2007,8181986810.0,896589791.48,7287714400.0,387140652345.0299,390919836654.32526,436.00745889492475,961.2220438797511,30
Natural Gas,2008,7900985720.0,882980599.3499999,7087191770.0,376125275443.82996,379921422017.54913,430.2715397113206,948.5766364475775,30
Natural Gas,2009,8138385370.0,920978680.9200001,7301522470.0,387491813934.60004,391517924657.22485,425.11073575136714,937.1991280374641,30
Natural Gas,2010,8693881940.0,987691101.31,7852569160.0,417245126587.61993,422878664303.39307,428.1487033167741,943.8966313321603,30
Natural Gas,2011,8912292140.0,1013617730.8,8051286080.0,429693524306.37,436770595232.7461,430.9026785551827,949.9680451427558,30
Natural Gas,2012,10604622170.0,1225831787.85,9695535610.0,514546149271.95,523921044448.2646,427.40043914767097,942.2470081449554,30
Natural Gas,2013,9717953720.0,1124769708.03,8812370340.0,468576834977.04004,476942583887.868,424.0357652618672,934.8292480963124,30
Natural Gas,2014,9686385780.0,1126541346.5300002,8794518630.0,468101139696.95996,475965994863.6243,422.5020203028555,931.4479539596753,30
Natural Gas,2015,11325897040.0,1333453996.6999998,10360329530.0,556986373046.91,568186858700.1069,426.10158288643044,939.3835496314246,30
Natural Gas,2016,11703379950.0,1378284232.09,10515213350.0,558255847249.41,571350952149.4865,414.5378281539958,913.8900959482992,30
Natural Gas,2017,10931283590.0,1270945348.8899999,9741258330.0,615209521896.3,587786628367.0842,462.47986105809895,1019.583101688685,30
Nuclear,2001,0.0,768826308.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2002,0.0,780064087.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2003,0.0,763732695.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2004,0.0,788528387.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2005,0.0,781986365.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2006,0.0,787218636.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2007,0.0,806424753.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2008,0.0,806208435.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2009,0.0,798854585.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2010,0.0,806968300.56,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2011,0.0,790204367.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2012,0.0,769331249.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2013,0.0,789016473.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2014,0.0,797165982.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2015,0.0,797177877.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2016,0.0,805693948.0,0.0,0.0,0.0,0.0,0.0,30
Nuclear,2017,0.0,804949635.0,0.0,0.0,0.0,0.0,0.0,30
Other,2001,1458261000.0,136879353.03,1345047000.0,102463323672.3,103808371872.43411,758.393209600299,1671.9536698848192,30
Other,2002,1101755000.0,110552092.6,1010620000.0,73575678911.9,75235166096.53473,680.5404070346357,1500.319381348558,30
Other,2003,1371488000.0,140440964.69,1264845000.0,96152372714.62497,97770301916.5788,696.1665503536694,1534.7687769096997,30
