fuel category,year,month,total fuel (mmbtu),generation (mwh),elec fuel (mmbtu),elec fuel fossil co2 (kg),adjusted co2 (kg),adjusted index (g/kwh),adjusted index (lb/mwh),datetime,quarter
Coal,2001,1,1865791000.0,177287111.0,1823460000.0,174937633614.0,177518426151.69345,1001.3047488358782,2207.476449283577,2001-01-01,1
Coal,2001,2,1583642000.0,149735483.0,1547593000.0,148510894017.75,151411474026.84872,1011.1930117916588,2229.276113795891,2001-02-01,1
Coal,2001,3,1644567000.0,155269010.0,1605915000.0,154369690180.5,156231311781.26294,1006.197642280729,2218.2633221720953,2001-03-01,1
Coal,2001,4,1485098000.0,140670652.0,1449735000.0,139075383012.0,141337267506.86414,1004.7388385380067,2215.04724344089,2001-04-01,2
Coal,2001,5,1609283000.0,151592915.0,1574620000.0,151022919600.75,153359337469.57007,1011.6524078290207,2230.2888982998593,2001-05-01,2
Coal,2001,6,1728386000.0,162615804.0,1692623000.0,162146137734.0,164670783255.57602,1012.6370205418411,2232.459575486543,2001-06-01,2
Coal,2001,7,1911471000.0,179060410.0,1872831000.0,179256708288.0,181967233684.98706,1016.2337597964121,2240.3889468471702,2001-07-01,3
Coal,2001,8,1958284000.0,183116073.0,1918077000.0,183786667890.75,185697743057.51944,1014.0985442469566,2235.681650646841,2001-08-01,3
Coal,2001,9,1651888000.0,154158318.0,1616717000.0,155064651897.0,156445664485.4204,1014.8376455782321,2237.3110734417705,2001-09-01,3
Coal,2001,10,1585204000.0,148930815.0,1550409000.0,148453269672.75,149085289074.1631,1001.0372203641207,2206.8866560147408,2001-10-01,4
Coal,2001,11,1530121000.0,144116999.0,1495477000.0,143353254536.25,144710770006.65704,1004.1200622464879,2213.6830892286075,2001-11-01,4
Coal,2001,12,1678556000.0,157402349.0,1641991000.0,157197624771.0,158127511644.1779,1004.6070636733501,2214.756732574268,2001-12-01,4
Coal,2002,1,1726580000.0,164358019.0,1687550000.0,161170186422.0,164687801129.032,1002.0064863949962,2209.0234999064087,2002-01-01,1
Coal,2002,2,1504686000.0,143048821.0,1471568000.0,140560587782.25,143829257776.35278,1005.4557372154279,2216.6277182651324,2002-02-01,1
Coal,2002,3,1595720000.0,151485651.0,1558548000.0,148930918514.25,152229440351.52402,1004.9099657070756,2215.4245103978187,2002-03-01,1
Coal,2002,4,1500217000.0,142304593.0,1466854000.0,140173589889.75,143433069268.94885,1007.9300059482188,2222.082491113443,2002-04-01,2
Coal,2002,5,1598181000.0,151406399.0,1564111000.0,149431457550.0,153410187353.0915,1013.2345024142044,2233.776784022355,2002-05-01,2
