fuel category,year,quarter,total fuel (mmbtu),generation (mwh),elec fuel (mmbtu),elec fuel co2 (kg),elec fuel fossil co2 (kg),adjusted co2 (kg),adjusted index (g/kwh),adjusted index (lb/mwh),year_quarter
Coal,2001,1,5094000000.0,482291604.0,4976968000.0,474056202000.0,477818217812.25,485439717286.0771,1006.527406365708,2218.99032007384,2001 Q1
Coal,2001,2,4822767000.0,454879371.0,4716978000.0,449292154500.0,452244440346.75,459680956167.14996,1010.5557329552981,2227.8711688732506,2001 Q2
Coal,2001,3,5521643000.0,516334801.0,5407625000.0,515076281250.0,518108028075.75,524684141514.5427,1016.1704004811845,2240.2492649008195,2001 Q3
Coal,2001,4,4793881000.0,450450163.0,4687877000.0,446520284250.0,449004148980.0,452331729476.17664,1004.1770802426742,2213.8087911029997,2001 Q4
Coal,2002,1,4826986000.0,458892491.0,4717666000.0,449357686500.0,450661692718.5,460039997903.7347,1002.500600742527,2210.112824396975,2002 Q1
Coal,2002,2,4849085000.0,458378687.0,4748902000.0,452332915500.0,453903533517.0,463880580232.1841,1012.0029429557314,2231.061688040206,2002 Q2
Coal,2002,3,5613789000.0,528516455.0,5506145000.0,524460311250.0,526454087107.5,537302020634.15967,1016.6230692555441,2241.2472184807725,2002 Q3
Coal,2002,4,5128112000.0,487342713.0,5024186000.0,478553716500.0,480204958308.0,489783855714.4748,1005.0090883670908,2215.6430362140886,2002 Q4
Coal,2003,1,5165460000.0,493297411.0,5055026000.0,481491226500.0,483223318222.5,495009949651.5097,1003.4716149189554,2212.2535222503293,2003 Q1
Coal,2003,2,4795753000.0,454507584.0,4698518000.0,447533839500.0,448866408431.25,457473454656.4409,1006.5254591141012,2218.9860271629477,2003 Q2
Coal,2003,3,5631662000.0,532094144.0,5525646000.0,526317781500.0,527749960881.0,537868412976.8198,1010.8519686636879,2228.5242501159664,2003 Q3
Coal,2003,4,5190703000.0,493837607.0,5087694000.0,484602853500.0,486366904836.0,495893412397.8251,1004.1629178675026,2213.7775687306967,2003 Q4
Coal,2004,1,5232259580.0,496448931.9000001,5084312070.0,484280724667.5,485501254638.4877,493827347971.13184,994.7193280911392,2192.9582307097257,2004 Q1
Coal,2004,2,4940395610.0,466129239.67999995,4805591100.0,457732552275.0,458909902281.5473,464103077460.5393,995.6532179340398,2195.0170842573843,2004 Q2
Coal,2004,3,5562142260.0,523926086.56000006,5420550470.0,516307432267.5,517586612931.76495,522372072319.7819,997.0339055830918,2198.0609482484842,2004 Q3
Coal,2004,4,5205450270.0,491796291.07,5065297260.0,482469564015.0,483686649399.2773,488490152199.2062,993.2774221139393,2189.779404792391,2004 Q4
Coal,2005,1,5245877300.0,496444621.26,5103178640.0,486077765460.0,486297307886.04,491082732489.6756,989.1994221697565,2180.789046115445,2005 Q1
Coal,2005,2,4989728090.0,471908197.79999995,4860198510.0,462933908077.5,463411697828.9928,465631909561.2612,986.7001923933547,2175.27924415039,2005 Q2
Coal,2005,3,5821763560.0,545320727.15,5682891410.0,541295406802.5,541497846488.10754,544562328483.24506,998.6092612493962,2201.5339773504193,2005 Q3
Coal,2005,4,5293012970.0,499199499.65,5155447570.0,491056381042.5,491190127274.87976,493458673803.1859,988.4999366969737,2179.2469604421485,2005 Q4
Coal,2006,1,5161877180.0,489177384.76,5024705380.0,478603187445.0,478608987554.6848,483104750059.573,987.5860272988574,2177.232155783061,2006 Q1
Coal,2006,2,4955862440.0,468129466.9500001,4828063970.0,459873093142.5,459878384378.1074,461829306010.58057,986.5418406996105,2174.930142006361,2006 Q2
Coal,2006,3,5727969790.0,538866155.39,5593580780.0,532788569295.0,532794716375.6699,536969881920.06177,996.4809935621846,2196.8419984071925,2006 Q3
Coal,2006,4,5214262460.0,494338127.5199999,5081060390.0,483971002147.5,483976725432.34515,486790527921.9691,984.7319088335435,2170.93996621443,2006 Q4
Coal,2007,1,5272308770.0,499153324.2099999,5132608740.0,488880982485.0,488880984199.5,491145397347.1855,983.9569798007687,2169.2315576687747,2007 Q1
Coal,2007,2,5052294780.0,477275706.52,4926583510.0,469257079327.5,469257086852.25,473962525302.4634,993.0581398292943,2189.2959750676623,2007 Q2
