"index (g/kwh)","index (lb/mwh)","Imperial hovertext","SI hovertext","year","date"
645.423412794213,1422.9004558461222,"1,423 kg/MWh <br>↑ 7.7% from 2005","645 kg/MWh <br>↑ 7.7% from 2005",2001,"2001-01-01"
635.9795113142662,1402.0804306434313,"1,402 kg/MWh <br>↑ 6.2% from 2005","636 kg/MWh <br>↑ 6.2% from 2005",2001,"2001-02-01"
627.6026839777563,1383.6128770973614,"1,384 kg/MWh <br>↑ 4.8% from 2005","628 kg/MWh <br>↑ 4.8% from 2005",2001,"2001-03-01"
627.5132629164209,1383.4157394255415,"1,383 kg/MWh <br>↑ 4.7% from 2005","628 kg/MWh <br>↑ 4.7% from 2005",2001,"2001-04-01"
628.3443872644885,1385.2480361632915,"1,385 kg/MWh <br>↑ 4.9% from 2005","628 kg/MWh <br>↑ 4.9% from 2005",2001,"2001-05-01"
624.9486577351157,1377.7618108428367,"1,378 kg/MWh <br>↑ 4.3% from 2005","625 kg/MWh <br>↑ 4.3% from 2005",2001,"2001-06-01"
641.5714707907828,1414.4084645053595,"1,414 kg/MWh <br>↑ 7.1% from 2005","642 kg/MWh <br>↑ 7.1% from 2005",2001,"2001-07-01"
644.3778146146971,1420.595330099561,"1,421 kg/MWh <br>↑ 7.6% from 2005","644 kg/MWh <br>↑ 7.6% from 2005",2001,"2001-08-01"
630.6689141368347,1390.3726881060659,"1,390 kg/MWh <br>↑ 5.3% from 2005","631 kg/MWh <br>↑ 5.3% from 2005",2001,"2001-09-01"
620.6287948858367,1368.2382412053155,"1,368 kg/MWh <br>↑ 3.6% from 2005","621 kg/MWh <br>↑ 3.6% from 2005",2001,"2001-10-01"
615.013971883918,1355.8598024152855,"1,356 kg/MWh <br>↑ 2.7% from 2005","615 kg/MWh <br>↑ 2.7% from 2005",2001,"2001-11-01"
610.5997030225566,1346.1281052835284,"1,346 kg/MWh <br>↑ 1.9% from 2005","611 kg/MWh <br>↑ 1.9% from 2005",2001,"2001-12-01"
605.8109370070963,1335.5707917258446,"1,336 kg/MWh <br>↑ 1.1% from 2005","606 kg/MWh <br>↑ 1.1% from 2005",2002,"2002-01-01"
602.1530850336649,1327.5066912652173,"1,328 kg/MWh <br>↑ 0.5% from 2005","602 kg/MWh <br>↑ 0.5% from 2005",2002,"2002-02-01"
608.4052308622721,1341.2901719589654,"1,341 kg/MWh <br>↑ 1.5% from 2005","608 kg/MWh <br>↑ 1.5% from 2005",2002,"2002-03-01"
601.1771666681734,1325.3551816366553,"1,325 kg/MWh <br>↑ 0.3% from 2005","601 kg/MWh <br>↑ 0.3% from 2005",2002,"2002-04-01"
602.3881618338115,1328.024941578821,"1,328 kg/MWh <br>↑ 0.5% from 2005","602 kg/MWh <br>↑ 0.5% from 2005",2002,"2002-05-01"
607.908942010099,1340.1960535554645,"1,340 kg/MWh <br>↑ 1.5% from 2005","608 kg/MWh <br>↑ 1.5% from 2005",2002,"2002-06-01"
622.6602755545997,1372.7168434876708,"1,373 kg/MWh <br>↑ 3.9% from 2005","623 kg/MWh <br>↑ 3.9% from 2005",2002,"2002-07-01"
626.577775717506,1381.3533643468136,"1,381 kg/MWh <br>↑ 4.6% from 2005","627 kg/MWh <br>↑ 4.6% from 2005",2002,"2002-08-01"
629.1528979556183,1387.0304788329559,"1,387 kg/MWh <br>↑ 5.0% from 2005","629 kg/MWh <br>↑ 5.0% from 2005",2002,"2002-09-01"
631.9326306288307,1393.1586774843204,"1,393 kg/MWh <br>↑ 5.5% from 2005","632 kg/MWh <br>↑ 5.5% from 2005",2002,"2002-10-01"
619.5000406337488,1365.7497895811625,"1,366 kg/MWh <br>↑ 3.4% from 2005","620 kg/MWh <br>↑ 3.4% from 2005",2002,"2002-11-01"
620.4513984432969,1367.8471530080924,"1,368 kg/MWh <br>↑ 3.6% from 2005","620 kg/MWh <br>↑ 3.6% from 2005",2002,"2002-12-01"
631.5295193491089,1392.2699783570458,"1,392 kg/MWh <br>↑ 5.4% from 2005","632 kg/MWh <br>↑ 5.4% from 2005",2003,"2003-01-01"
625.9195227667685,1379.902179891618,"1,380 kg/MWh <br>↑ 4.5% from 2005","626 kg/MWh <br>↑ 4.5% from 2005",2003,"2003-02-01"
614.5027541924801,1354.7327718927418,"1,355 kg/MWh <br>↑ 2.6% from 2005","615 kg/MWh <br>↑ 2.6% from 2005",2003,"2003-03-01"
595.6698602173326,1313.2137738351316,"1,313 kg/MWh <br>↓ 0.6% from 2005","596 kg/MWh <br>↓ 0.6% from 2005",2003,"2003-04-01"
596.0344345646682,1314.0175144412676,"1,314 kg/MWh <br>↓ 0.5% from 2005","596 kg/MWh <br>↓ 0.5% from 2005",2003,"2003-05-01"
609.0845177336112,1342.7877277955192,"1,343 kg/MWh <br>↑ 1.7% from 2005","609 kg/MWh <br>↑ 1.7% from 2005",2003,"2003-06-01"
