"fuel category","generation (M MWh)","hovertext","year_quarter"
"Coal",479.2152651609998,"479 Million MWh<br>2,213 lb/MWh","2001 Q1"
"Coal",452.59300532699984,"452 Million MWh<br>2,218 lb/MWh","2001 Q2"
"Coal",514.0250632599998,"514 Million MWh<br>2,233 lb/MWh","2001 Q3"
"Coal",448.5559701429999,"448 Million MWh<br>2,205 lb/MWh","2001 Q4"
"Coal",457.81011020899996,"457 Million MWh<br>2,187 lb/MWh","2002 Q1"
"Coal",457.07687148800017,"457 Million MWh<br>2,207 lb/MWh","2002 Q2"
"Coal",526.7979590969999,"526 Million MWh<br>2,220 lb/MWh","2002 Q3"
"Coal",485.9075574940001,"485 Million MWh<br>2,193 lb/MWh","2002 Q4"
"Coal",491.6822987510002,"491 Million MWh<br>2,206 lb/MWh","2003 Q1"
"Coal",453.23541458899973,"453 Million MWh<br>2,209 lb/MWh","2003 Q2"
"Coal",530.7749058859999,"530 Million MWh<br>2,221 lb/MWh","2003 Q3"
"Coal",492.17799022099985,"492 Million MWh<br>2,207 lb/MWh","2003 Q4"
"Coal",495.4408030539301,"495 Million MWh<br>2,172 lb/MWh","2004 Q1"
"Coal",465.1501265482695,"465 Million MWh<br>2,173 lb/MWh","2004 Q2"
"Coal",522.8792273189101,"522 Million MWh<br>2,179 lb/MWh","2004 Q3"
"Coal",490.7800058155403,"490 Million MWh<br>2,170 lb/MWh","2004 Q4"
"Coal",496.2423044387303,"496 Million MWh<br>2,154 lb/MWh","2005 Q1"
"Coal",471.48411574264026,"471 Million MWh<br>2,150 lb/MWh","2005 Q2"
"Coal",545.1664798694696,"545 Million MWh<br>2,176 lb/MWh","2005 Q3"
"Coal",499.0948878018897,"499 Million MWh<br>2,153 lb/MWh","2005 Q4"
"Coal",489.1712991687402,"489 Million MWh<br>2,149 lb/MWh","2006 Q1"
"Coal",468.1239102113098,"468 Million MWh<br>2,146 lb/MWh","2006 Q2"
"Coal",538.8597046654298,"538 Million MWh<br>2,171 lb/MWh","2006 Q3"
"Coal",494.3321214832501,"494 Million MWh<br>2,146 lb/MWh","2006 Q4"
"Coal",499.15332413,"499 Million MWh<br>2,143 lb/MWh","2007 Q1"
"Coal",477.2757064110003,"477 Million MWh<br>2,162 lb/MWh","2007 Q2"
"Coal",544.579876777,"544 Million MWh<br>2,177 lb/MWh","2007 Q3"
"Coal",495.4466762049999,"495 Million MWh<br>2,155 lb/MWh","2007 Q4"
"Coal",510.28510213499976,"510 Million MWh<br>2,145 lb/MWh","2008 Q1"
"Coal",472.94220429200027,"472 Million MWh<br>2,167 lb/MWh","2008 Q2"
"Coal",528.666296603,"528 Million MWh<br>2,185 lb/MWh","2008 Q3"
"Coal",473.9076436289999,"473 Million MWh<br>2,158 lb/MWh","2008 Q4"
"Coal",448.37126288899987,"448 Million MWh<br>2,160 lb/MWh","2009 Q1"
"Coal",405.6948017499997,"405 Million MWh<br>2,182 lb/MWh","2009 Q2"
"Coal",458.6390001759997,"458 Million MWh<br>2,189 lb/MWh","2009 Q3"
"Coal",443.19918814,"443 Million MWh<br>2,167 lb/MWh","2009 Q4"
"Coal",470.7699531950004,"470 Million MWh<br>2,158 lb/MWh","2010 Q1"
"Coal",435.715867851,"435 Million MWh<br>2,182 lb/MWh","2010 Q2"
"Coal",506.09149086100047,"506 Million MWh<br>2,202 lb/MWh","2010 Q3"
"Coal",434.71296659999973,"434 Million MWh<br>2,185 lb/MWh","2010 Q4"
"Coal",443.84115553100014,"443 Million MWh<br>2,187 lb/MWh","2011 Q1"
"Coal",419.1902210439998,"419 Million MWh<br>2,201 lb/MWh","2011 Q2"
"Coal",488.6561004039998,"488 Million MWh<br>2,216 lb/MWh","2011 Q3"
"Coal",380.978249277,"380 Million MWh<br>2,201 lb/MWh","2011 Q4"
"Coal",348.3447857510002,"348 Million MWh<br>2,201 lb/MWh","2012 Q1"
"Coal",343.37847700699984,"343 Million MWh<br>2,213 lb/MWh","2012 Q2"
"Coal",438.0226649280003,"438 Million MWh<br>2,222 lb/MWh","2012 Q3"
"Coal",383.62317547600003,"383 Million MWh<br>2,184 lb/MWh","2012 Q4"
"Coal",392.28518627600005,"392 Million MWh<br>2,181 lb/MWh","2013 Q1"
"Coal",369.6303985669998,"369 Million MWh<br>2,197 lb/MWh","2013 Q2"
"Coal",435.4033428950002,"435 Million MWh<br>2,213 lb/MWh","2013 Q3"
"Coal",383.779140671,"383 Million MWh<br>2,190 lb/MWh","2013 Q4"
"Coal",436.8273576890002,"436 Million MWh<br>2,165 lb/MWh","2014 Q1"
"Coal",365.623613532,"365 Million MWh<br>2,196 lb/MWh","2014 Q2"
"Coal",424.1865541390002,"424 Million MWh<br>2,213 lb/MWh","2014 Q3"
"Coal",354.3461247660002,"354 Million MWh<br>2,191 lb/MWh","2014 Q4"
"Coal",363.933817512,"363 Million MWh<br>2,215 lb/MWh","2015 Q1"
"Coal",319.08549035500005,"319 Million MWh<br>2,229 lb/MWh","2015 Q2"
"Coal",391.04059550700003,"391 Million MWh<br>2,246 lb/MWh","2015 Q3"
"Coal",272.6946673230001,"272 Million MWh<br>2,255 lb/MWh","2015 Q4"
"Coal",278.33592085500004,"278 Million MWh<br>2,217 lb/MWh","2016 Q1"
"Coal",269.84122530300004,"269 Million MWh<br>2,225 lb/MWh","2016 Q2"
"Coal",386.0881961840002,"386 Million MWh<br>2,223 lb/MWh","2016 Q3"
"Coal",304.8810159779999,"304 Million MWh<br>2,199 lb/MWh","2016 Q4"
"Coal",288.203428674,"288 Million MWh<br>2,332 lb/MWh","2017 Q1"
"Coal",279.13981053400005,"279 Million MWh<br>2,365 lb/MWh","2017 Q2"
"Coal",340.94820917299995,"340 Million MWh<br>2,395 lb/MWh","2017 Q3"
"Coal",284.56643053299985,"284 Million MWh<br>2,357 lb/MWh","2017 Q4"
"Hydro",54.73090084100005,"54 Million MWh<br>0 lb/MWh","2001 Q1"
"Hydro",55.77236306800002,"55 Million MWh<br>0 lb/MWh","2001 Q2"
"Hydro",49.90073492900003,"49 Million MWh<br>0 lb/MWh","2001 Q3"
"Hydro",48.030286942999965,"48 Million MWh<br>0 lb/MWh","2001 Q4"
"Hydro",60.75940903599999,"60 Million MWh<br>0 lb/MWh","2002 Q1"
"Hydro",76.83921044700003,"76 Million MWh<br>0 lb/MWh","2002 Q2"
"Hydro",60.80576448099997,"60 Million MWh<br>0 lb/MWh","2002 Q3"
"Hydro",56.420452615999984,"56 Million MWh<br>0 lb/MWh","2002 Q4"
"Hydro",62.19267305800004,"62 Million MWh<br>0 lb/MWh","2003 Q1"
"Hydro",80.76553157799998,"80 Million MWh<br>0 lb/MWh","2003 Q2"
"Hydro",63.924409257999955,"63 Million MWh<br>0 lb/MWh","2003 Q3"
"Hydro",60.05991715799996,"60 Million MWh<br>0 lb/MWh","2003 Q4"
"Hydro",64.46417128499999,"64 Million MWh<br>0 lb/MWh","2004 Q1"
"Hydro",67.82954534199997,"67 Million MWh<br>0 lb/MWh","2004 Q2"
"Hydro",62.978033689,"62 Million MWh<br>0 lb/MWh","2004 Q3"
"Hydro",63.79618009700001,"63 Million MWh<br>0 lb/MWh","2004 Q4"
"Hydro",67.16515265800004,"67 Million MWh<br>0 lb/MWh","2005 Q1"
"Hydro",75.87507836200002,"75 Million MWh<br>0 lb/MWh","2005 Q2"
"Hydro",62.94430424300009,"62 Million MWh<br>0 lb/MWh","2005 Q3"
"Hydro",57.63958803600004,"57 Million MWh<br>0 lb/MWh","2005 Q4"
"Hydro",75.40656578899998,"75 Million MWh<br>0 lb/MWh","2006 Q1"
"Hydro",87.67420884100002,"87 Million MWh<br>0 lb/MWh","2006 Q2"
"Hydro",62.40614137100004,"62 Million MWh<br>0 lb/MWh","2006 Q3"
"Hydro",57.19469440399993,"57 Million MWh<br>0 lb/MWh","2006 Q4"
"Hydro",67.29810273199999,"67 Million MWh<br>0 lb/MWh","2007 Q1"
"Hydro",71.31066055900008,"71 Million MWh<br>0 lb/MWh","2007 Q2"
"Hydro",55.17204174500007,"55 Million MWh<br>0 lb/MWh","2007 Q3"
"Hydro",46.83281727099998,"46 Million MWh<br>0 lb/MWh","2007 Q4"
"Hydro",59.452917832,"59 Million MWh<br>0 lb/MWh","2008 Q1"
"Hydro",77.54095522699991,"77 Million MWh<br>0 lb/MWh","2008 Q2"
"Hydro",60.997076210000024,"60 Million MWh<br>0 lb/MWh","2008 Q3"
"Hydro",50.51442850099997,"50 Million MWh<br>0 lb/MWh","2008 Q4"
"Hydro",61.896458531000015,"61 Million MWh<br>0 lb/MWh","2009 Q1"
"Hydro",83.71067574600004,"83 Million MWh<br>0 lb/MWh","2009 Q2"
"Hydro",58.868960721000036,"58 Million MWh<br>0 lb/MWh","2009 Q3"
"Hydro",64.32737805200006,"64 Million MWh<br>0 lb/MWh","2009 Q4"
"Hydro",62.616429062000044,"62 Million MWh<br>0 lb/MWh","2010 Q1"
"Hydro",72.77794626799997,"72 Million MWh<br>0 lb/MWh","2010 Q2"
"Hydro",60.319334613000024,"60 Million MWh<br>0 lb/MWh","2010 Q3"
"Hydro",58.97637401700001,"58 Million MWh<br>0 lb/MWh","2010 Q4"
