fuel category 1,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,160465277.0,1843838000.0,1769374000.0,1.756255695e+11,1.685328735e+11,1.76493149907e+11,1099.88374561,2424.80370557
Coal,2002,161926703.0,1850843000.0,1781910000.0,1.7629279575e+11,1.697269275e+11,1.77727635567e+11,1097.58077127,2419.72656833
Coal,2003,167005373.0,1875661000.0,1809844000.0,1.7865671025e+11,1.72387641e+11,1.8267520616e+11,1093.82831749,2411.45390874
Coal,2004,163561890.71,1863982300.0,1780289020.0,1.77544314075e+11,1.69572529155e+11,1.77092876898e+11,1082.72701012,2386.97996652
Coal,2005,163004769.91,1891054210.0,1805612170.0,1.80122913502e+11,1.71984559192e+11,1.76690577432e+11,1083.95955241,2389.69722924
Coal,2006,160469585.97,1817437540.0,1732354880.0,1.73110925685e+11,1.6500680232e+11,1.72451830021e+11,1074.66987578,2369.21720814
Coal,2007,161652986.6,1833562970.0,1747435190.0,1.74646872892e+11,1.66443201848e+11,1.7206911188e+11,1064.43509334,2346.65360677
Coal,2008,168683705.62,1892631170.0,1812421040.0,1.80273118942e+11,1.7263310406e+11,1.77691360852e+11,1053.39967603,2322.32492579
Coal,2009,160132754.93,1790612390.0,1710379530.0,1.70555830148e+11,1.62913650232e+11,1.6820373182e+11,1050.40178628,2315.71577803
Coal,2010,164657291.81,1841096840.0,1755051260.0,1.7536447401e+11,1.67168632515e+11,1.72338881277e+11,1046.65198475,2307.44896558
Coal,2011,162085457.2,1807063230.0,1718526490.0,1.72122772658e+11,1.63689648172e+11,1.68919570764e+11,1042.1636443,2297.55397023
Coal,2012,146964896.42,1646969850.0,1563916100.0,1.56873878212e+11,1.48963008525e+11,1.52725219813e+11,1039.19523324,2291.0098112
Coal,2013,154559631.25,1726308010.0,1642306240.0,1.64430837952e+11,1.5642966936e+11,1.60840675068e+11,1040.63832041,2294.19124118
Coal,2014,154144167.81,1716029480.0,1630509030.0,1.6345180797e+11,1.55305985108e+11,1.59474337596e+11,1034.57912071,2280.83312953
Coal,2015,145103632.97,1606104240.0,1526076630.0,1.5298142886e+11,1.45358799008e+11,1.49864760986e+11,1032.81191462,2276.93714697
Coal,2016,133040563.83,1458965980.0,1395320210.0,1.38966509595e+11,1.32904250002e+11,1.3694175776e+11,1029.32334182,2269.24623938
Coal,2017,33236342.89,369222740.0,350472680.0,35168465985.0,33382522770.0,34445557354.6,1036.38229599,2284.80840974
Hydro,2001,9621078.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,11314232.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,10426777.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,9721340.37,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,8762336.62,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,8970929.57,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,7702370.71,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,7754602.63,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,9515633.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,12495205.07,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,14623843.93,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,12572724.57,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,10278051.12,,,0.0,0.0,0.0,0.0,0.0
Hydro,2014,13086221.51,,,0.0,0.0,0.0,0.0,0.0
Hydro,2015,12779512.4,,,0.0,0.0,0.0,0.0,0.0
Hydro,2016,11926959.12,,,0.0,0.0,0.0,0.0,0.0
Hydro,2017,3779714.05,,,0.0,0.0,0.0,0.0,0.0
Natural Gas,2001,4682464.0,80036000.0,57519000.0,4247510520.0,3052533330.0,3196712970.11,682.698888899,1505.07797047
Natural Gas,2002,4729945.0,75590000.0,52893000.0,4011561300.0,2807031510.0,2939351348.57,621.434572403,1370.01465832
Natural Gas,2003,5202270.0,69200000.0,57738000.0,3672444000.0,3064155660.0,3247015062.4,624.153506526,1376.00882049
Natural Gas,2004,5106340.83,71661330.0,49022250.0,3803066783.1,2601610807.5,2716989271.59,532.081457553,1173.02678132
Natural Gas,2005,12656871.45,137769250.0,119755580.0,7311414097.5,6355428630.6,6529332399.61,515.872538123,1137.29259755
