fuel category 1,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,527374098.0,5602760000.0,5441726000.0,5.3366289e+11,5.183244015e+11,5.2606370277e+11,997.515245373,2199.12210995
Coal,2002,536833666.0,5618774000.0,5448260000.0,5.351882235e+11,5.18946765e+11,5.32180217393e+11,991.33167515,2185.48981104
Coal,2003,548133265.0,5727596000.0,5580799000.0,5.45553519e+11,5.3157110475e+11,5.43183254854e+11,990.969330886,2184.69098687
Coal,2004,563216799.93,5899312560.0,5704902830.0,5.6190952134e+11,5.43391994558e+11,5.50039956421e+11,976.604313809,2153.02187022
Coal,2005,574952092.18,6038593860.0,5845306400.0,5.75176065165e+11,5.567654346e+11,5.57064206807e+11,968.88804195,2136.01057728
Coal,2006,575852306.45,6043907400.0,5857393590.0,5.7568217985e+11,5.57916739448e+11,5.57880448048e+11,968.790854528,2135.79631789
Coal,2007,586646082.09,6165012500.0,5987338830.0,5.87217440625e+11,5.70294023558e+11,5.67776026986e+11,967.834004727,2133.68684682
Coal,2008,571582313.41,6023505950.0,5850835990.0,5.73738941738e+11,5.57292128048e+11,5.5469850153e+11,970.461276558,2139.4789303
Coal,2009,488958603.72,5170667390.0,5025425190.0,4.92506068898e+11,4.78671749348e+11,4.80205094214e+11,982.097647042,2165.13247267
Coal,2010,524004764.21,5550359890.0,5394976550.0,5.28671779522e+11,5.13871516388e+11,5.15921585714e+11,984.574227091,2170.59234104
Coal,2011,483768825.02,5151008070.0,4995934760.0,4.90633518668e+11,4.7586278589e+11,4.82995810704e+11,998.402099772,2201.07726916
Coal,2012,411736160.48,4408334390.0,4273723030.0,4.19893850648e+11,4.07072118608e+11,4.13888520521e+11,1005.22752249,2216.12459609
Coal,2013,416714737.72,4438992010.0,4302936560.0,4.22813988952e+11,4.0985470734e+11,4.14341693307e+11,994.305350403,2192.0455755
Coal,2014,429499767.45,4558682290.0,4414576480.0,4.34214488122e+11,4.2048840972e+11,4.23187323257e+11,985.302799508,2172.1985518
Coal,2015,354084553.97,3770089180.0,3644240820.0,3.59100994395e+11,3.47113938105e+11,3.54197586847e+11,1000.31922567,2205.3037649
Coal,2016,322956310.52,3441888900.0,3333465470.0,3.27839917725e+11,3.17512586018e+11,3.22130733871e+11,997.443689372,2198.96435759
Coal,2017,72616363.77,771025000.0,745607460.0,73440131250.0,71019110565.0,72233833206.9,994.732171329,2192.98654491
Hydro,2001,26249118.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,30208990.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,44012738.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,38984544.96,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,37002651.44,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,25851492.05,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,21273421.55,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,25993588.86,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,40892409.78,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,33722390.09,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,31939341.62,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,26819286.26,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,44072881.18,,,0.0,0.0,0.0,0.0,0.0
Hydro,2014,33316526.29,,,0.0,0.0,0.0,0.0,0.0
Hydro,2015,36020681.64,,,0.0,0.0,0.0,0.0,0.0
Hydro,2016,30922162.35,,,0.0,0.0,0.0,0.0,0.0
Hydro,2017,9849910.18,,,0.0,0.0,0.0,0.0,0.0
Natural Gas,2001,85954583.0,1045554000.0,852967000.0,55487550780.0,45266958690.0,45942857084.6,534.501541176,1178.36209768
Natural Gas,2002,113419856.0,1250665000.0,1085647000.0,66372791550.0,57615286290.0,59084510494.9,520.936215039,1148.45597968
Natural Gas,2003,89129834.0,998396000.0,851567000.0,52984875720.0,45192660690.0,46179892604.6,518.119360624,1142.24594243
Natural Gas,2004,97870700.17,1057370790.0,847672610.0,56114667825.3,44985985412.7,45536352584.9,465.270530463,1025.73541146
Natural Gas,2005,109259035.47,1149209420.0,943446520.0,60988543919.4,50068706816.4,50095574752.4,458.502809739,1010.81529435
