fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,66383769.0,725623000.0,716849000.0,69115590750.0,68279867250.0,69364072986.3,1044.89507045,2303.57567232
Coal,2002,71333967.0,773870000.0,768281000.0,73711117500.0,73178765250.0,76004138991.3,1065.46911924,2348.93322027
Coal,2003,71785942.0,773009000.0,769775000.0,73629107250.0,73321068750.0,76900651998.6,1071.24946551,2361.67657166
Coal,2004,68394731.78,747004680.0,738142930.0,71152195770.0,70308114082.5,73183993038.4,1070.02383274,2358.97454166
Coal,2005,70789287.39,766270260.0,757047330.0,72987242265.0,72108758182.5,74013929801.8,1045.55268927,2305.02545875
Coal,2006,68313403.05,737544290.0,727209790.0,70251093622.5,69266732497.5,69621012638.2,1019.14133288,2246.79898247
Coal,2007,70688200.62,758532500.0,748981110.0,72250220625.0,71340450727.5,71522726496.3,1011.80573093,2230.6269144
Coal,2008,70318179.55,754770850.0,748659980.0,71891923462.5,71309863095.0,72181940836.0,1026.50468624,2263.03223129
Coal,2009,66302150.34,723666850.0,718171100.0,68929267462.5,68405797275.0,68384576748.7,1031.40812776,2273.84235846
Coal,2010,63980190.16,699985470.0,694416770.0,66673616017.5,66143197342.5,66527799892.2,1039.81872711,2292.38436578
Coal,2011,66134795.87,719866890.0,713924540.0,68567321272.5,68001312435.0,69639787632.0,1052.99769533,2321.43871912
Coal,2012,57284288.65,629805200.0,624365300.0,59988945300.0,59470794825.0,60438710961.2,1055.06609902,2325.9987219
Coal,2013,59766710.58,657366380.0,651792180.0,62614147695.0,62083205145.0,62936625479.8,1053.03813559,2321.52787373
Coal,2014,58658233.99,645270930.0,639693520.0,61462056082.5,60930807780.0,62050526666.4,1057.83148325,2332.09528797
Coal,2015,49460365.81,548139360.0,543008350.0,52210274040.0,51721545337.5,53217370807.6,1075.95991126,2372.06122035
Coal,2016,42260052.02,469071010.0,464078280.0,44679013702.5,44203456170.0,45680227784.9,1080.93165061,2383.02191694
Coal,2017,8927063.37,99610600.0,98356780.0,9487909650.0,9368483295.0,9597873863.77,1075.14346723,2370.26128785
Natural Gas,2001,19895108.0,217046000.0,207435000.0,11518631220.0,11008575450.0,11183378962.8,562.117027102,1239.24319795
Natural Gas,2002,22838092.0,233564000.0,225116000.0,12395241480.0,11946906120.0,12408166633.6,543.310125625,1197.78150295
Natural Gas,2003,23048467.0,230757000.0,221846000.0,12246273990.0,11773367220.0,12348150823.1,535.74716371,1181.10819711
Natural Gas,2004,24117213.82,232788060.0,221414160.0,12354062344.2,11750449471.2,12231089164.0,507.151831688,1118.06692814
Natural Gas,2005,29727701.36,278745310.0,267055370.0,14793013601.7,14172628485.9,14547080774.9,489.344285277,1078.80841132
Natural Gas,2006,34820096.2,325430300.0,313602220.0,17270586021.0,16642869815.4,16727993482.2,480.41204097,1059.11638552
Natural Gas,2007,35276520.39,329299210.0,321426920.0,17475909074.7,17058126644.4,17101710377.3,484.790171713,1068.76841256
Natural Gas,2008,36003889.92,325422050.0,320636310.0,17270148193.5,17016168971.7,17224266723.6,478.400160701,1054.68099428
Natural Gas,2009,37300189.83,332758950.0,327676240.0,17659517476.5,17389778056.8,17384383481.2,466.066890288,1027.49106633
Natural Gas,2010,36229004.24,333169680.0,327602100.0,17681314917.6,17385843447.0,17486936832.1,482.677821235,1064.11152469
Natural Gas,2011,35371787.56,310034580.0,305159980.0,16453535160.6,16194840138.6,16585050899.8,468.87794041,1033.68830743
Natural Gas,2012,41884112.13,369238050.0,360968260.0,19595463313.5,19156585558.2,19468368313.6,464.815113024,1024.73139817
Natural Gas,2013,32036176.33,291001590.0,281746200.0,15443454381.3,14952270834.0,15157810672.9,473.146686318,1043.09918466
Natural Gas,2014,28093997.79,245352240.0,236258860.0,13020843376.8,12538257700.2,12768671910.4,454.498217228,1001.9867697
Natural Gas,2015,35460228.86,292788330.0,283487080.0,15538276673.1,15044659335.6,15479762047.2,436.538695457,962.393208006
