year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,216163197.0,1.81180656078e+11,838.166064307,0.0369610875579,1847.82090537
2002,224384540.03,1.81912257618e+11,810.716538644,0.00300112282481,1787.30568109
2003,227011561.01,1.87569846757e+11,826.256803498,0.0222272053754,1821.56574899
2004,225512277.89,1.81616813914e+11,805.352221233,-0.00363549568489,1775.47950693
2005,228917936.49,1.85032252588e+11,808.290758799,0.0,1781.95780685
2006,230044443.66,1.79933287993e+11,782.167502635,-0.0323191325389,1724.36647631
2007,237460901.64,1.81296706655e+11,763.480242022,-0.0554386107836,1683.16854156
2008,243520474.4,1.8438758394e+11,757.174871616,-0.0632394798858,1669.26772196
2009,240705862.51,1.73663379279e+11,721.475486586,-0.107405993781,1590.56485773
2010,256912199.04,1.78760734156e+11,695.804772307,-0.139165251201,1533.97120103
2011,255955154.74,1.74970329414e+11,683.59759971,-0.154267703461,1507.05926832
2012,254996625.24,1.62785460915e+11,638.382805113,-0.210206478098,1407.37873215
2013,256165723.58,1.68918400104e+11,659.410625839,-0.184191309055,1453.73666572
2014,261873869.0,1.66395063984e+11,635.401556557,-0.213894814904,1400.80627159
2015,266762638.31,1.60989036914e+11,603.491695591,-0.253373010861,1330.4577921
2016,265135907.752,1.50363317672e+11,567.117894167,-0.298373898262,1250.26810948
2017,66227796.63,36696445175.3,554.094308471,-0.314486399307,1221.55631246
