year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,16453859924.2,1.41081158695e+13,857.435029495,0.0298309820934,1890.30126603
2002,16933126805.1,1.41712602397e+13,836.895654466,0.00516195875028,1845.02015984
2003,16931969398.1,1.43380636864e+13,846.804252319,0.0170627800447,1866.86465466
2004,17266925385.7,1.43965164158e+13,833.762589125,0.00139895905158,1838.11300398
2005,17752235075.2,1.47804722037e+13,832.59781887,0.0,1835.54515148
2006,17689954040.3,1.46250048734e+13,826.740693622,-0.00703475929784,1822.63253316
2007,18138648466.4,1.48953549738e+13,821.194313426,-0.0136962951205,1810.40498338
2008,17908415703.3,1.47339258875e+13,822.737540358,-0.0118427868638,1813.80718147
2009,16757867900.2,1.34769550854e+13,804.216572517,-0.0340875819146,1772.97585577
2010,17566147012.8,1.41734779592e+13,806.863220996,-0.0309087980904,1778.81065701
2011,17606158276.3,1.3937057491e+13,791.601283613,-0.04923930177,1745.16418985
2012,17229410339.8,1.30035010985e+13,754.726995412,-0.0935275371763,1663.87113409
2013,17012723817.0,1.30730003417e+13,768.424884947,-0.0770755489248,1694.06950135
2014,17065112178.1,1.30186341039e+13,762.880077669,-0.0837351955776,1681.84541923
2015,16790420549.2,1.20037475341e+13,714.916431004,-0.141342416709,1576.10476379
2016,16375103038.4,1.13919304547e+13,695.6860319,-0.164439281327,1533.70942593
2017,3579894963.87,2.55830263285e+12,714.63064103,-0.141685667637,1575.47471121
