year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,99997975.0,81278514128.2,812.801600514,0.0391343735719,1791.90240849
2002,106371865.0,88920475296.6,835.939797583,0.068715634118,1842.91287775
2003,107194419.0,90241189225.0,841.845966113,0.0762664346226,1855.93361689
2004,107512219.25,86283220196.6,802.543383427,0.0260196528576,1769.2871431
2005,114470523.02,89537817907.5,782.191043994,0.0,1724.41837559
2006,116138616.53,86439247266.9,744.276536517,-0.0484721830649,1640.83205241
2007,122941290.91,89014362964.6,724.039598948,-0.074344299251,1596.21769984
2008,122959230.0,89582339093.3,728.553188674,-0.0685738551112,1606.16835975
2009,121744116.87,85929669670.7,705.821947539,-0.0976348387528,1556.05506555
2010,120174495.36,84150293365.6,700.234214536,-0.10477853216,1543.73634937
2011,120024306.82,86303661734.3,719.051532318,-0.0807213431564,1585.22100815
2012,122378590.5,79951822584.4,653.315439063,-0.164762312123,1440.29921696
2013,122222178.71,78151715467.4,639.423354192,-0.182522787621,1409.67272665
2014,119968272.65,74881401140.5,624.176705111,-0.202015019344,1376.05996409
2015,121744810.44,68756178702.9,564.756546537,-0.277981318153,1245.0622825
2016,125823498.75,62801140847.4,499.120923129,-0.361893840435,1100.36198713
2017,29292209.72,11861218130.8,404.927393468,-0.482316504929,892.70293164
