fuel category 1,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,14767327.0,1,169147000.0,162152000.0,16111251750.0,15444978000.0,2001-01-01,16123945676.0,1091.86623117,2407.12829324
Coal,2001,2,12886107.0,1,148285000.0,142063000.0,14124146250.0,13531500750.0,2001-02-01,14059195121.8,1091.0351064,2405.29599557
Coal,2001,3,13347178.0,1,153538000.0,146973000.0,14624494500.0,13999178250.0,2001-03-01,14741840225.5,1104.49116851,2434.9612301
Coal,2001,4,11977266.0,2,137768000.0,131929000.0,13122402000.0,12566237250.0,2001-04-01,13086739389.8,1092.63160639,2408.81563945
Coal,2001,5,11877328.0,2,137919000.0,132133000.0,13136784750.0,12585668250.0,2001-05-01,13153879886.2,1107.47803598,2441.54607813
Coal,2001,6,12813785.0,2,147189000.0,141337000.0,14019752250.0,13462349250.0,2001-06-01,14283948940.7,1114.73299581,2457.54036256
Coal,2001,7,14911041.0,3,171915000.0,165769000.0,16374903750.0,15789497250.0,2001-07-01,16513376249.1,1107.45965014,2441.5055447
Coal,2001,8,15229867.0,3,174486000.0,167819000.0,16619791500.0,15984759750.0,2001-08-01,16933032631.8,1111.83063068,2451.1418084
Coal,2001,9,12668731.0,3,146397000.0,140555000.0,13944314250.0,13387863750.0,2001-09-01,13984766171.9,1103.88058377,2433.61513498
Coal,2001,10,13051787.0,4,149972000.0,143743000.0,14284833000.0,13691520750.0,2001-10-01,14182152399.5,1086.60617887,2395.53198194
Coal,2001,11,13070652.0,4,148644000.0,142891000.0,14158341000.0,13610367750.0,2001-11-01,14307887992.1,1094.65755741,2413.28205107
Coal,2001,12,13864208.0,4,158578000.0,152010000.0,15104554500.0,14478952500.0,2001-12-01,15118263194.3,1090.45271063,2404.01204585
Coal,2002,1,13987494.0,1,159676000.0,153501000.0,15209139000.0,14620970250.0,2002-01-01,15240169545.2,1089.55682449,2402.03697527
Coal,2002,2,12656515.0,1,144365000.0,138592000.0,13750766250.0,13200888000.0,2002-02-01,13753617058.2,1086.68279208,2395.70088342
Coal,2002,3,13047852.0,1,149184000.0,142956000.0,14209776000.0,13616559000.0,2002-03-01,14282422813.8,1094.61870152,2413.19638936
Coal,2002,4,11521259.0,2,132010000.0,126299000.0,12573952500.0,12029979750.0,2002-04-01,12550438895.7,1089.32877003,2401.53420641
Coal,2002,5,12387160.0,2,139563000.0,134065000.0,13293375750.0,12769691250.0,2002-05-01,13395545599.4,1081.40571361,2384.06703623
Coal,2002,6,13460638.0,2,154136000.0,148331000.0,14681454000.0,14128527750.0,2002-06-01,14775200980.6,1097.65978259,2419.9007567
Coal,2002,7,15569257.0,3,177095000.0,170861000.0,16868298750.0,16274510250.0,2002-07-01,17125047384.4,1099.92707966,2424.89923981
Coal,2002,8,14623877.0,3,168151000.0,161995000.0,16016382750.0,15430023750.0,2002-08-01,16180932953.1,1106.47354003,2439.33156635
Coal,2002,9,13218664.0,3,152026000.0,146593000.0,14480476500.0,13962983250.0,2002-09-01,14594850162.7,1104.10932321,2434.11941394
Coal,2002,10,13302727.0,4,153303000.0,147012000.0,14602110750.0,14002893000.0,2002-10-01,14622937390.6,1099.24359048,2423.39241956
Coal,2002,11,13532874.0,4,154062000.0,148957000.0,14674405500.0,14188154250.0,2002-11-01,15030115634.4,1110.63737344,2448.51115347
Coal,2002,12,14618386.0,4,167272000.0,162748000.0,15932658000.0,15501747000.0,2002-12-01,16175005189.8,1106.48365625,2439.35386857
Coal,2003,1,14676769.0,1,165277000.0,159041000.0,15742634250.0,15148655250.0,2003-01-01,16144427808.6,1099.99876735,2425.0572825
Coal,2003,2,13427154.0,1,150446000.0,144987000.0,14329981500.0,13810011750.0,2003-02-01,14763722655.9,1099.54221541,2424.0507681
Coal,2003,3,13741019.0,1,154665000.0,148902000.0,14731841250.0,14182915500.0,2003-03-01,15063721343.9,1096.25940725,2416.81348922
Coal,2003,4,12375185.0,2,138694000.0,133351000.0,13210603500.0,12701682750.0,2003-04-01,13573142823.2,1096.80322542,2418.01239076
Coal,2003,5,12056384.0,2,135472000.0,130247000.0,12903708000.0,12406026750.0,2003-05-01,13196562464.6,1094.57051671,2413.09016115
Coal,2003,6,13167285.0,2,148469000.0,143113000.0,14141672250.0,13631513250.0,2003-06-01,14350651214.0,1089.87169443,2402.73113754
Coal,2003,7,15340937.0,3,173124000.0,167305000.0,16490061000.0,15935801250.0,2003-07-01,16758162846.1,1092.38196116,2408.26527158
Coal,2003,8,15505460.0,3,176047000.0,170156000.0,16768476750.0,16207359000.0,2003-08-01,17013772081.1,1097.27619052,2419.05508962
Coal,2003,9,13795880.0,3,155042000.0,149835000.0,14767750500.0,14271783750.0,2003-09-01,15005721019.8,1087.69582077,2397.93420646
Coal,2003,10,14249690.0,4,155762000.0,151071000.0,14836330500.0,14389512750.0,2003-10-01,15436110432.6,1083.25938547,2388.15364121
Coal,2003,11,14060253.0,4,157732000.0,152908000.0,15023973000.0,14564487000.0,2003-11-01,15389686694.7,1094.55261542,2413.05069596
Coal,2003,12,14609357.0,4,164931000.0,158928000.0,15709677750.0,15137892000.0,2003-12-01,15983944520.1,1094.08952907,2412.02977578
Coal,2004,1,14962423.07,1,169547610.0,161787370.0,16149409852.5,15410246992.5,2004-01-01,16335410461.0,1091.76236927,2406.8993193
Coal,2004,2,13860846.09,1,157980970.0,150968340.0,15047687392.5,14379734385.0,2004-02-01,15036965414.7,1084.85191431,2391.66453029
Coal,2004,3,12870458.28,1,146363970.0,139351500.0,13941168142.5,13273230375.0,2004-03-01,14021702933.2,1089.44861388,2401.79841417
Coal,2004,4,11842899.82,2,135719890.0,129347100.0,12927319522.5,12320311275.0,2004-04-01,12963667306.8,1094.63623807,2413.23505045
Coal,2004,5,11656027.42,2,134452410.0,127871760.0,12806592052.5,12179785140.0,2004-05-01,12829094088.2,1100.64034906,2426.47171354
Coal,2004,6,12924507.59,2,147950940.0,141002210.0,14092327035.0,13430460502.5,2004-06-01,14031108914.6,1085.62038568,2393.35870227
Coal,2004,7,14565450.7,3,167397550.0,159669520.0,15944616637.5,15208521780.0,2004-07-01,15741752895.3,1080.75975262,2382.64295063
Coal,2004,8,14728671.29,3,167981730.0,160784190.0,16000259782.5,15314694097.5,2004-08-01,15846237045.1,1075.8768889,2371.87818927
Coal,2004,9,13582005.93,3,154149640.0,147572010.0,14682753210.0,14056233952.5,2004-09-01,14618589630.2,1076.3203687,2372.85588483
Coal,2004,10,13957055.03,4,158386840.0,151274290.0,15086346510.0,14408876122.5,2004-10-01,14953412962.2,1071.38740444,2361.98067183
Coal,2004,11,13897311.09,4,157860220.0,151436960.0,15036185955.0,14424370440.0,2004-11-01,14931090448.9,1074.38700568,2368.59359271
Coal,2004,12,14714234.4,4,166190530.0,159223770.0,15829647982.5,15166064092.5,2004-12-01,15781332730.8,1072.52149869,2364.48089602
Coal,2005,1,14941509.44,1,172008400.0,164099640.0,16383800100.0,15630490710.0,2005-01-01,16184199446.9,1083.17031234,2387.95727058
Coal,2005,2,12705613.44,1,146603440.0,139576460.0,13963977660.0,13294657815.0,2005-02-01,13812718999.6,1087.1351521,2396.69815631
Coal,2005,3,13301039.78,1,152101750.0,144648570.0,14487691687.5,13777776292.5,2005-03-01,14268129262.1,1072.70781068,2364.89163942
Coal,2005,4,11861846.04,2,137069000.0,130589760.0,13055822250.0,12438674640.0,2005-04-01,12759774667.4,1075.69889411,2371.48578196
Coal,2005,5,12697428.4,2,145584410.0,139359760.0,13866915052.5,13274017140.0,2005-05-01,13578670784.2,1069.40321744,2357.60633318
Coal,2005,6,13988402.48,2,159676660.0,152486830.0,15209201865.0,14524370557.5,2005-06-01,15014344521.2,1073.34233074,2366.29050235
Coal,2005,7,15063756.94,3,177923140.0,170114870.0,16947179085.0,16203441367.5,2005-07-01,16631777235.6,1104.09224616,2434.08176589
Coal,2005,8,14907565.11,3,174071050.0,166322540.0,16580267512.5,15842221935.0,2005-08-01,16304144554.6,1093.68259902,2411.13265781
Coal,2005,9,13019868.41,3,154209820.0,147061220.0,14688485355.0,14007581205.0,2005-09-01,14436968573.2,1108.84135834,2444.55165861
Coal,2005,10,13180523.91,4,152893330.0,146230910.0,14563089682.5,13928494177.5,2005-10-01,14117984097.0,1071.12465281,2361.4014096
Coal,2005,11,12984403.51,4,149690860.0,143271900.0,14258054415.0,13646648475.0,2005-11-01,13902645344.9,1070.7188308,2360.50673439
Coal,2005,12,14352812.45,4,169222350.0,161849710.0,16118428837.5,15416184877.5,2005-12-01,15676990221.4,1092.25911479,2407.99444447
Coal,2006,1,13786057.33,1,155967770.0,148335130.0,14855930092.5,14128921132.5,2006-01-01,14861699771.4,1078.02393503,2376.61156716
Coal,2006,2,13193630.01,1,148688890.0,141745270.0,14162616772.5,13501236967.5,2006-02-01,14142917468.1,1071.950438,2363.22193562
Coal,2006,3,13207127.59,1,149886160.0,142831050.0,14276656740.0,13604657512.5,2006-03-01,14205681300.9,1075.60718287,2371.28359537
Coal,2006,4,11673716.2,2,133090100.0,126491840.0,12676832025.0,12048347760.0,2006-04-01,12668070976.5,1085.1789404,2392.38549201
Coal,2006,5,12882262.84,2,144595980.0,137644220.0,13772767095.0,13110611955.0,2006-05-01,13726571860.7,1065.54042805,2349.09042767
Coal,2006,6,13519405.9,2,152563320.0,145499400.0,14531656230.0,13858817850.0,2006-06-01,14504148249.0,1072.83917328,2365.18124142
Coal,2006,7,15269977.69,3,172951800.0,165778090.0,16473658950.0,15790363072.5,2006-07-01,16370300308.6,1072.0579061,2363.45885979
Coal,2006,8,14697858.29,3,168801680.0,161345720.0,16078360020.0,15368179830.0,2006-08-01,15828824894.8,1076.94771459,2374.23893159
Coal,2006,9,12413196.76,3,140791670.0,133627540.0,13410406567.5,12728023185.0,2006-09-01,13100468260.6,1055.36619728,2326.66031851
Coal,2006,10,12870337.11,4,144860550.0,138152110.0,13797967387.5,13158988477.5,2006-10-01,13561891878.0,1053.73245177,2323.05856316
Coal,2006,11,12713558.27,4,143300060.0,136478260.0,13649330715.0,12999554265.0,2006-11-01,14180440931.9,1115.37939503,2458.96541429
Coal,2006,12,14242457.98,4,161939560.0,154426250.0,15424743090.0,14709100312.5,2006-12-01,15311236617.6,1075.04172658,2370.03699042
Coal,2007,1,14085038.47,1,160614860.0,152659220.0,15298565415.0,14540790705.0,2007-01-01,15065015792.0,1069.57576467,2357.9867308
Coal,2007,2,12695470.01,1,146311130.0,138854030.0,13936135132.5,13225846357.5,2007-02-01,13545416871.4,1066.94882984,2352.19539025
Coal,2007,3,12550930.91,1,143084600.0,135672760.0,13628808150.0,12922830390.0,2007-03-01,13401515613.6,1067.77064663,2354.00716756
Coal,2007,4,12177833.36,2,138687500.0,131655680.0,13209984375.0,12540203520.0,2007-04-01,13126398072.8,1077.89273221,2376.32231742
Coal,2007,5,11727989.07,2,134643910.0,127820880.0,12824832427.5,12174938820.0,2007-05-01,12830470294.3,1094.00428477,2411.84184619
Coal,2007,6,13551351.07,2,153172560.0,146374730.0,14589686340.0,13942193032.5,2007-06-01,14366002834.3,1060.11590727,2337.13152916
Coal,2007,7,15329894.74,3,172475840.0,165363300.0,16428323760.0,15750854325.0,2007-07-01,16249951908.4,1060.01718759,2336.91389177
Coal,2007,8,15528467.31,3,173695470.0,166403480.0,16544493517.5,15849931470.0,2007-08-01,16424428001.8,1057.69794751,2331.80089509
Coal,2007,9,13680069.04,3,154285510.0,147606500.0,14695694827.5,14059519125.0,2007-09-01,14419269770.2,1054.03486839,2323.72527085
Coal,2007,10,13046885.56,4,146590050.0,139873030.0,13962702262.5,13322906107.5,2007-10-01,13683849125.6,1048.82112001,2312.23104117
Coal,2007,11,12667936.16,4,143124810.0,136325970.0,13632638152.5,12985048642.5,2007-11-01,13390753740.1,1057.05882718,2330.39189041
Coal,2007,12,14611120.9,4,166876730.0,158825610.0,15895008532.5,15128139352.5,2007-12-01,15567455997.6,1065.45254838,2348.89668816
Coal,2008,1,15445122.34,1,173309320.0,165491270.0,16507712730.0,15763043467.5,2008-01-01,16304607173.1,1055.64765459,2327.28081931
Coal,2008,2,14345669.04,1,162287650.0,154997580.0,15457898662.5,14763519495.0,2008-02-01,15229277737.9,1061.59410867,2340.39037198
Coal,2008,3,13486392.9,1,153080030.0,146021950.0,14580872857.5,13908590737.5,2008-03-01,14196025865.8,1052.61844076,2320.60261449
Coal,2008,4,13026879.27,2,146452580.0,139808810.0,13949608245.0,13316789152.5,2008-04-01,13689425011.1,1050.85989724,2316.72572946
Coal,2008,5,12779078.52,2,142983210.0,136316950.0,13619150752.5,12984189487.5,2008-05-01,13394292035.4,1048.14224394,2310.73439098
Coal,2008,6,13269376.56,2,149657310.0,143483120.0,14254858777.5,13666767180.0,2008-06-01,14118715023.4,1064.00741283,2345.71074232
Coal,2008,7,15676782.34,3,174802680.0,167967240.0,16649955270.0,15998879610.0,2008-07-01,16543754216.8,1055.30292237,2326.52082266
Coal,2008,8,15496191.18,3,174115710.0,167263600.0,16584521377.5,15931857900.0,2008-08-01,16329966833.4,1053.80519921,2323.21894217
Coal,2008,9,13403954.72,3,150056590.0,144082940.0,14292890197.5,13723900035.0,2008-09-01,14125319128.5,1053.81728181,2323.24557947
Coal,2008,10,13161542.81,4,146733180.0,140655000.0,13976335395.0,13397388750.0,2008-10-01,13761415773.8,1045.57770866,2305.08061652
Coal,2008,11,13440322.67,4,150022840.0,143908520.0,14289675510.0,13707286530.0,2008-11-01,14062016909.1,1046.25590132,2306.57576005
Coal,2008,12,15152393.27,4,169130070.0,162424060.0,16109639167.5,15470891715.0,2008-12-01,15936230778.9,1051.73027752,2318.64456982
Coal,2009,1,15241330.36,1,170912170.0,163839470.0,16279384192.5,15605709517.5,2009-01-01,16024856619.7,1051.40799663,2317.93406936
Coal,2009,2,12968696.33,1,145640980.0,139348660.0,13872303345.0,13272959865.0,2009-02-01,13820055869.1,1065.64727228,2349.32597647
Coal,2009,3,12863884.12,1,145893950.0,138827670.0,13896398737.5,13223335567.5,2009-03-01,13890122850.7,1079.77673937,2380.47579961
Coal,2009,4,10867369.56,2,123321810.0,117222310.0,11746402402.5,11165425027.5,2009-04-01,11809651533.0,1086.70745646,2395.75525852
Coal,2009,5,11491076.22,2,129549500.0,123292300.0,12339589875.0,11743591575.0,2009-05-01,12040713319.1,1047.8316468,2310.04964852
Coal,2009,6,12624333.43,2,141640540.0,135171110.0,13491261435.0,12875048227.5,2009-06-01,13240005367.9,1048.76866896,2312.11540758
