fuel category 1,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,49497123.0,1,521406000.0,506239000.0,49663921500.0,48219264750.0,2001-01-01,49906170566.8,1008.26406753,2222.81896327
Coal,2001,2,38895666.0,1,412455000.0,399218000.0,39286338750.0,38025514500.0,2001-02-01,39188537435.5,1007.52966759,2221.19990516
Coal,2001,3,41545821.0,1,442785000.0,428877000.0,42175271250.0,40850534250.0,2001-03-01,41155072195.7,990.59475069,2183.86518737
Coal,2001,4,38947616.0,2,410896000.0,397485000.0,39137844000.0,37860446250.0,2001-04-01,38489855912.5,988.246775168,2178.68884054
Coal,2001,5,42237877.0,2,447398000.0,435299000.0,42614659500.0,41462229750.0,2001-05-01,42662627897.4,1010.05616114,2226.76981285
Coal,2001,6,46182688.0,2,491170000.0,477705000.0,46783942500.0,45501401250.0,2001-06-01,46223112381.0,1000.8753146,2206.52971856
Coal,2001,7,51347715.0,3,546485000.0,532051000.0,52052696250.0,50677857750.0,2001-07-01,50993327813.4,993.098287108,2189.38448376
Coal,2001,8,52697405.0,3,563831000.0,549223000.0,53704902750.0,52313490750.0,2001-08-01,52661585192.3,999.320273783,2203.10147558
Coal,2001,9,43948411.0,3,471737000.0,459296000.0,44932949250.0,43747944000.0,2001-09-01,44166608126.9,1004.96484678,2215.54550121
Coal,2001,10,40295397.0,4,428096000.0,415999000.0,40776144000.0,39623904750.0,2001-10-01,39803290833.8,987.787533989,2177.67639743
Coal,2001,11,38893907.0,4,412424000.0,399851000.0,39283386000.0,38085807750.0,2001-11-01,38590258516.7,992.19290355,2187.38847517
Coal,2001,12,42884472.0,4,454077000.0,440483000.0,43250834250.0,41956005750.0,2001-12-01,42275231052.5,985.793437133,2173.2802115
Coal,2002,1,43241005.0,1,450215000.0,434894000.0,42882978750.0,41423653500.0,2002-01-01,42699925534.9,987.486889699,2177.01359703
Coal,2002,2,37652985.0,1,391861000.0,378390000.0,37324760250.0,36041647500.0,2002-02-01,36979890376.1,982.123738027,2165.18999286
Coal,2002,3,41142422.0,1,428517000.0,413862000.0,40816244250.0,39420355500.0,2002-03-01,40311951994.3,979.814751652,2160.09960149
Coal,2002,4,39876739.0,2,413946000.0,401064000.0,39428356500.0,38201346000.0,2002-04-01,38944983970.8,976.634121733,2153.08758477
Coal,2002,5,41690360.0,2,438556000.0,423946000.0,41772459000.0,40380856500.0,2002-05-01,41459469534.4,994.461778081,2192.39043596
Coal,2002,6,47469590.0,2,498869000.0,486450000.0,47517272250.0,46334362500.0,2002-06-01,47769780653.4,1006.32385183,2218.54156374
Coal,2002,7,52646641.0,3,553122000.0,536892000.0,52684870500.0,51138963000.0,2002-07-01,52390533168.7,995.135343367,2193.87537799
Coal,2002,8,51198577.0,3,539258000.0,527419000.0,51364324500.0,50236659750.0,2002-08-01,51272693185.0,1001.44762197,2207.7914274
Coal,2002,9,48219069.0,3,504389000.0,489627000.0,48043052250.0,46636971750.0,2002-09-01,47887124501.6,993.115908181,2189.42333118
Coal,2002,10,45222859.0,4,473887000.0,459614000.0,45137736750.0,43778233500.0,2002-10-01,45129450325.2,997.934480994,2200.0463568
Coal,2002,11,42243049.0,4,445571000.0,430151000.0,42440637750.0,40971882750.0,2002-11-01,41696825303.9,987.069501161,2176.09342226
Coal,2002,12,46230370.0,4,480583000.0,465951000.0,45775530750.0,44381832750.0,2002-12-01,45646543282.9,987.371359626,2176.75889943
Coal,2003,1,49173522.0,1,506341000.0,492688000.0,48228980250.0,46928532000.0,2003-01-01,48620360376.7,988.750823597,2179.8000657
Coal,2003,2,42932884.0,1,442609000.0,430871000.0,42158507250.0,41040462750.0,2003-02-01,42143481116.7,981.613094445,2164.06422801
Coal,2003,3,42549192.0,1,445801000.0,432812000.0,42462545250.0,41225343000.0,2003-03-01,41865544549.5,983.932774788,2169.1781953
Coal,2003,4,35888245.0,2,378775000.0,367139000.0,36078318750.0,34969989750.0,2003-04-01,35208646638.0,981.063482986,2162.85255459
Coal,2003,5,40592179.0,2,426359000.0,415798000.0,40610694750.0,39604759500.0,2003-05-01,40557035648.2,999.134233425,2202.69133101
Coal,2003,6,45947970.0,2,483628000.0,471886000.0,46065567000.0,44947141500.0,2003-06-01,45865803183.1,998.211742174,2200.6576068
Coal,2003,7,51803931.0,3,545016000.0,532908000.0,51912774000.0,50759487000.0,2003-07-01,51835434706.6,1000.60813351,2205.94069114
Coal,2003,8,54298213.0,3,567747000.0,554993000.0,54077901750.0,52863083250.0,2003-08-01,54031548375.9,995.088887657,2193.77296173
Coal,2003,9,47615842.0,3,497825000.0,486267000.0,47417831250.0,46316931750.0,2003-09-01,47243176786.9,992.173503661,2187.34570617
Coal,2003,10,43603373.0,4,453056000.0,440839000.0,43153584000.0,41989914750.0,2003-10-01,43116793263.0,988.840777593,2179.99837828
Coal,2003,11,43505340.0,4,455475000.0,443361000.0,43383993750.0,42230135250.0,2003-11-01,43327358413.9,995.908971494,2195.58091856
Coal,2003,12,50222574.0,4,524964000.0,511237000.0,50002821000.0,48695324250.0,2003-12-01,49366895013.9,982.962263423,2167.03860594
Coal,2004,1,51210087.52,1,534197700.0,515599180.0,50882330925.0,49110821895.0,2004-01-01,49815747069.9,972.772152565,2144.57348754
Coal,2004,2,45977705.78,1,480567880.0,463603120.0,45774090570.0,44158197180.0,2004-02-01,44944580012.2,977.529853866,2155.06231583
Coal,2004,3,42180361.55,1,441187140.0,424886970.0,42023075085.0,40470483892.5,2004-03-01,40982753740.6,971.607455096,2142.00579551
Coal,2004,4,39579983.66,2,416420230.0,400882080.0,39664026907.5,38184018120.0,2004-04-01,38538087468.4,973.676184394,2146.56651612
Coal,2004,5,47689590.81,2,500129300.0,484139520.0,47637315825.0,46114289280.0,2004-05-01,46360459685.8,972.129533895,2143.15677043
Coal,2004,6,49331215.8,2,515179220.0,499422910.0,49070820705.0,47570032177.5,2004-06-01,48105605993.2,975.15549157,2149.82779671
Coal,2004,7,54028849.94,3,567473090.0,550880150.0,54051811822.5,52471334287.5,2004-07-01,53091414222.5,982.649349032,2166.34875488
Coal,2004,8,51574614.68,3,537291020.0,521192940.0,51176969655.0,49643627535.0,2004-08-01,50710740654.9,983.250014945,2167.67298295
Coal,2004,9,45661274.99,3,481487290.0,466396830.0,45861664372.5,44424298057.5,2004-09-01,44938263006.7,984.165751318,2169.69181536
Coal,2004,10,43844109.08,4,457234690.0,442269760.0,43551604222.5,42126194640.0,2004-10-01,42675746892.0,973.351900346,2145.8515995
Coal,2004,11,43401991.7,4,455398950.0,440013380.0,43376749987.5,41911274445.0,2004-11-01,42380993299.2,976.475770793,2152.73848429
Coal,2004,12,48737014.42,4,512746050.0,495615990.0,48839061262.5,47207423047.5,2004-12-01,47488792273.4,974.388621022,2148.13715391
Coal,2005,1,49335280.13,1,517003640.0,499989810.0,49244596710.0,47624029402.5,2005-01-01,48091830907.1,974.79594279,2149.03513548
Coal,2005,2,44324562.36,1,463366610.0,447117040.0,44135669602.5,42587898060.0,2005-02-01,42832818561.9,966.344985292,2130.40415457
Coal,2005,3,45690928.31,1,481028780.0,464614740.0,45817991295.0,44254553985.0,2005-03-01,44231748606.6,968.06412657,2134.19417344
Coal,2005,4,40609361.44,2,428054060.0,412992600.0,40772149215.0,39337545150.0,2005-04-01,38928371951.3,958.605862562,2113.3424846
Coal,2005,5,45272520.97,2,474370490.0,459504240.0,45183789172.5,43767778860.0,2005-05-01,43565257534.1,962.289190013,2121.4627483
Coal,2005,6,50541823.08,2,525591060.0,509664700.0,50062548465.0,48545562675.0,2005-06-01,49306024559.9,975.548992007,2150.69530778
Coal,2005,7,53275706.67,3,561236600.0,545007160.0,53457786150.0,51911931990.0,2005-07-01,52270569793.1,981.133298088,2163.00646897
Coal,2005,8,54092358.78,3,572084550.0,555701230.0,54491053387.5,52930542157.5,2005-08-01,53112482662.5,981.885128702,2164.66395474
Coal,2005,9,50269627.21,3,528724270.0,512919800.0,50360986717.5,48855610950.0,2005-09-01,48844036607.7,971.641114497,2142.08000102
Coal,2005,10,46738461.78,4,496186110.0,480389360.0,47261726977.5,45757086540.0,2005-10-01,45011231390.9,963.044774618,2123.12851012
Coal,2005,11,44235516.31,4,460395730.0,444319260.0,43852693282.5,42321409515.0,2005-11-01,42291036941.8,956.042575504,2107.69146196
Coal,2005,12,50565945.14,4,530551960.0,513086460.0,50535074190.0,48871485315.0,2005-12-01,48515329119.8,959.446698473,2115.19619145
Coal,2006,1,47277437.47,1,494123350.0,477205990.0,47065249087.5,45453870547.5,2006-01-01,45650435079.0,965.58607069,2128.73105144
Coal,2006,2,45753862.45,1,480150130.0,464171970.0,45734299882.5,44212380142.5,2006-02-01,44024738347.1,962.208128226,2121.28403949
Coal,2006,3,45034013.57,1,473869820.0,458026890.0,45136100355.0,43627061272.5,2006-03-01,43377820740.4,963.223512667,2123.52255603
Coal,2006,4,40253122.06,2,425789910.0,410425920.0,40556488927.5,39093068880.0,2006-04-01,38552327558.2,957.747513366,2111.45016797
Coal,2006,5,46696424.62,2,489821890.0,475232630.0,46655535022.5,45265908007.5,2006-05-01,44862159551.0,960.719368048,2118.0019188
Coal,2006,6,50649742.74,2,533352980.0,518212360.0,50801871345.0,49359727290.0,2006-06-01,49411427169.3,975.551394662,2150.70060467
Coal,2006,7,54229518.59,3,566373090.0,550317360.0,53947036822.5,52417728540.0,2006-07-01,53336199183.9,983.527063686,2168.2837646
Coal,2006,8,55653355.88,3,587533700.0,571898420.0,55962584925.0,54473324505.0,2006-08-01,54752129750.2,983.806436906,2168.8996708
