fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,20376771.0,1,216215000.0,212755000.0,20594478750.0,20264913750.0,2001-01-01,20917101122.8,1026.51696497,2263.05930097
Coal,2001,2,18555957.0,1,196836000.0,194113000.0,18748629000.0,18489263250.0,2001-02-01,19057366906.2,1027.02150615,2264.17161245
Coal,2001,3,18275336.0,1,196303000.0,193320000.0,18697860750.0,18413730000.0,2001-03-01,18916253327.8,1035.07007082,2281.91547814
Coal,2001,4,16978427.0,2,177878000.0,174898000.0,16942879500.0,16659034500.0,2001-04-01,17391165521.3,1024.30958541,2258.19291199
Coal,2001,5,18944732.0,2,200849000.0,197899000.0,19130867250.0,18849879750.0,2001-05-01,19465207594.1,1027.47336801,2265.16778712
Coal,2001,6,18905166.0,2,201861000.0,198883000.0,19227260250.0,18943605750.0,2001-06-01,19438212782.6,1028.19582661,2266.76051935
Coal,2001,7,21070271.0,3,224811000.0,221706000.0,21413247750.0,21117496500.0,2001-07-01,21983874536.9,1043.35983799,2300.19109882
Coal,2001,8,20854459.0,3,223215000.0,220082000.0,21261228750.0,20962810500.0,2001-08-01,21604246464.8,1035.95334047,2283.8627344
Coal,2001,9,18415519.0,3,194297000.0,191569000.0,18506789250.0,18246947250.0,2001-09-01,19391923122.3,1053.02072248,2321.48948479
Coal,2001,10,19754155.0,4,209413000.0,206596000.0,19946588250.0,19678269000.0,2001-10-01,20246464993.2,1024.92184521,2259.54269996
Coal,2001,11,19466766.0,4,209512000.0,206385000.0,19956018000.0,19658171250.0,2001-11-01,20123385619.1,1033.73028777,2278.96179242
Coal,2001,12,19891167.0,4,213744000.0,210444000.0,20359116000.0,20044791000.0,2001-12-01,20800974939.7,1045.73929422,2305.43684803
Coal,2002,1,19793858.0,1,211119000.0,207981000.0,20109084750.0,19810190250.0,2002-01-01,20636662992.4,1042.57911684,2298.46992098
Coal,2002,2,17288676.0,1,184570000.0,181577000.0,17580292500.0,17295209250.0,2002-02-01,18013382609.8,1041.91799359,2297.01240867
Coal,2002,3,18583023.0,1,195702000.0,192669000.0,18640615500.0,18351722250.0,2002-03-01,19299747478.8,1038.56877747,2289.6287268
Coal,2002,4,16912485.0,2,181186000.0,178337000.0,17257966500.0,16986599250.0,2002-04-01,17740571331.2,1048.9630194,2312.54387257
Coal,2002,5,18183361.0,2,191700000.0,188668000.0,18259425000.0,17970627000.0,2002-05-01,19023549604.9,1046.20645242,2306.466745
Coal,2002,6,16926778.0,2,181114000.0,178082000.0,17251108500.0,16962310500.0,2002-06-01,17641673974.6,1042.23461634,2297.71043518
Coal,2002,7,19085637.0,3,204746000.0,201430000.0,19502056500.0,19186207500.0,2002-07-01,19838200494.3,1039.43088168,2291.52932175
Coal,2002,8,19227886.0,3,205876000.0,203103000.0,19609689000.0,19345560750.0,2002-08-01,20632197599.8,1073.03515321,2365.61329876
Coal,2002,9,19321569.0,3,205043000.0,202206000.0,19530345750.0,19260121500.0,2002-09-01,19982295817.0,1034.19633348,2279.9892368
Coal,2002,10,19133387.0,4,205249000.0,202451000.0,19549967250.0,19283457750.0,2002-10-01,19818480327.2,1035.80617103,2283.53828464
Coal,2002,11,19006982.0,4,204274000.0,201215000.0,19457098500.0,19165728750.0,2002-11-01,19718472544.0,1037.43311505,2287.12504544
Coal,2002,12,20074824.0,4,215172000.0,211994000.0,20495133000.0,20192428500.0,2002-12-01,20993134076.7,1045.74436502,2305.44802712
Coal,2003,1,20881180.0,1,222833000.0,219054000.0,21224843250.0,20864893500.0,2003-01-01,21559242721.7,1032.47243315,2276.18872613
Coal,2003,2,17839275.0,1,191796000.0,188271000.0,18268569000.0,17932812750.0,2003-02-01,18461729164.2,1034.89234647,2281.52366704
Coal,2003,3,18297188.0,1,195293000.0,191504000.0,18601658250.0,18240756000.0,2003-03-01,18987028135.5,1037.7019756,2287.7177754
Coal,2003,4,16815474.0,2,179852000.0,176367000.0,17130903000.0,16798956750.0,2003-04-01,17366095621.1,1032.74493607,2276.78948605
Coal,2003,5,17855978.0,2,191024000.0,187127000.0,18195036000.0,17823846750.0,2003-05-01,18730179719.4,1048.95848995,2312.53388694
Coal,2003,6,19401239.0,2,205981000.0,202139000.0,19619690250.0,19253739750.0,2003-06-01,19703912658.0,1015.60073859,2238.9933883
Coal,2003,7,21347119.0,3,227857000.0,223605000.0,21703379250.0,21298376250.0,2003-07-01,22185718346.8,1039.28395896,2291.20541593
Coal,2003,8,20989302.0,3,223685000.0,219505000.0,21305996250.0,20907851250.0,2003-08-01,21745764566.7,1036.04038699,2284.05463715
Coal,2003,9,19371889.0,3,207302000.0,203545000.0,19745515500.0,19387661250.0,2003-09-01,19926419481.2,1028.6255244,2267.70783108
Coal,2003,10,19731364.0,4,211390000.0,207677000.0,20134897500.0,19781234250.0,2003-10-01,20310096375.2,1029.33058126,2269.26219945
Coal,2003,11,19632127.0,4,212758000.0,209012000.0,20265199500.0,19908393000.0,2003-11-01,20302357263.3,1034.13946249,2279.863859
Coal,2003,12,21123678.0,4,224978000.0,221022000.0,21429154500.0,21052345500.0,2003-12-01,21724907134.6,1028.46233192,2267.34805695
