year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,22627442.0,10887649847.4,2001-01-01,1,481.170158226,0.232915188082,1060.78773082
2001,2,20121848.0,8926417459.74,2001-02-01,1,443.618173626,0.136694731838,978.000625576
2001,3,21620637.0,9760077375.09,2001-03-01,1,451.424135889,0.156696158084,995.209649981
2001,4,19054577.0,7385281930.61,2001-04-01,2,387.585719201,-0.00687872737486,854.47147655
2001,5,19723489.0,8037653131.71,2001-05-01,2,407.516800486,0.0441912162028,898.411538352
2001,6,23096985.0,9436415162.85,2001-06-01,2,408.556145438,0.0468543576193,900.702878233
2001,7,23348693.0,9785846448.87,2001-07-01,3,419.117526145,0.0739160663674,923.986498139
2001,8,26240016.0,11913503623.2,2001-08-01,3,454.020440507,0.163348738967,1000.93346314
2001,9,21571857.0,8161861781.62,2001-09-01,3,378.356938933,-0.0305258783156,834.125707572
2001,10,21335396.0,8177255115.31,2001-10-01,4,383.27177594,-0.0179324597717,844.960957238
2001,11,19952696.0,7387403992.74,2001-11-01,4,370.245905252,-0.05130899723,816.244122718
2001,12,21811947.0,8264516363.96,2001-12-01,4,378.898608362,-0.0291379442252,835.319871995
2002,1,22308692.0,8304339105.61,2002-01-01,1,372.246795357,-0.0461820629046,820.655285045
2002,2,19409845.0,7072950174.06,2002-02-01,1,364.400136841,-0.0662877662515,803.356541679
2002,3,20771618.0,7857593489.19,2002-03-01,1,378.285095037,-0.0307099658562,833.967320518
2002,4,19316640.0,7041628349.52,2002-04-01,2,364.53691478,-0.0659372964726,803.658082325
2002,5,20616633.0,7407286657.01,2002-05-01,2,359.286924155,-0.0793894881107,792.083952992
2002,6,22482056.0,8555043653.55,2002-06-01,2,380.527637399,-0.0249638394789,838.911229409
2002,7,25804249.0,10929600523.6,2002-07-01,3,423.558171511,0.0852944509637,933.776344913
2002,8,25624328.0,11085649264.9,2002-08-01,3,432.622048268,0.108519065221,953.758567612
2002,9,22170249.0,9220666462.46,2002-09-01,3,415.90270197,0.065678636253,916.899096764
2002,10,21338310.0,8773695891.02,2002-10-01,4,411.171076389,0.0535546652544,906.467755007
2002,11,21060644.0,8416104592.3,2002-11-01,4,399.612879469,0.0239387876143,880.986554076
2002,12,23028531.0,9525864076.77,2002-12-01,4,413.65487346,0.0599189650351,911.943534029
2003,1,23825130.0,10047131625.2,2003-01-01,1,421.703118731,0.080541199526,929.686695555
2003,2,21217340.0,9276938072.89,2003-02-01,1,437.233794287,0.120335865606,963.925622886
2003,3,21530706.0,9004283738.53,2003-03-01,1,418.206617959,0.0715820219174,921.978309952
2003,4,20128951.0,8229659773.33,2003-04-01,2,408.846927658,0.0475994366917,901.343936715
2003,5,19713694.0,6775316135.18,2003-05-01,2,343.685771686,-0.119364739073,757.68965226
2003,6,21631136.0,8426632717.78,2003-06-01,2,389.560341065,-0.00181910086762,858.824727912
2003,7,25465342.0,10667095736.0,2003-07-01,3,418.886804506,0.0733248821299,923.477849213
2003,8,26120811.0,11400826026.0,2003-08-01,3,436.465239383,0.118366576782,962.231266743
2003,9,22235593.0,8747594039.06,2003-09-01,3,393.405025855,0.00803223797715,867.30072
2003,10,21504546.01,8720745768.2,2003-10-01,4,405.530335965,0.0391012449369,894.032178668
2003,11,20945925.0,7895103552.76,2003-11-01,4,376.927901382,-0.0341875395191,830.975251387
2003,12,23472072.0,9269660136.75,2003-12-01,4,394.922959368,0.011921679688,870.647156224
2004,1,25781615.62,11439175015.2,2004-01-01,1,443.695041607,0.136891692724,978.170088726
2004,2,22159155.43,9113004881.38,2004-02-01,1,411.252356172,0.0537629306213,906.646944418
2004,3,22476896.9,8994024375.27,2004-03-01,1,400.145287638,0.0253029913325,882.160301128
2004,4,20328297.35,8230116443.23,2004-04-01,2,404.860097308,0.0373838744701,892.554570526
2004,5,21917889.8,8055783960.68,2004-05-01,2,367.543775162,-0.0582327375554,810.287006722
2004,6,22947127.29,8982155713.8,2004-06-01,2,391.428330016,0.00296729727001,862.942896354
2004,7,24642599.16,10220147292.6,2004-07-01,3,414.734956579,0.062686490949,914.324685273
2004,8,24780906.42,9951110774.7,2004-08-01,3,401.563631533,0.0289372518951,885.287182078
2004,9,22363121.18,8424309873.14,2004-09-01,3,376.705460983,-0.0347575045131,830.484859284
2004,10,19917081.12,7226052423.87,2004-10-01,4,362.80679786,-0.0703704214101,799.843866563
2004,11,20747435.17,7608129594.26,2004-11-01,4,366.702174602,-0.0603891932182,808.431614128
2004,12,23421029.13,8907681015.23,2004-12-01,4,380.328335095,-0.025474517111,838.471847551
2005,1,24722088.98,9887069548.12,2005-01-01,1,399.928564132,0.0247476748862,881.682512486
2005,2,21333390.01,7948895123.7,2005-02-01,1,372.603469021,-0.0452681484206,821.441607803
2005,3,22678680.32,8618209466.6,2005-03-01,1,380.013710895,-0.0262806871287,837.778227039
2005,4,20204599.97,7776736797.79,2005-04-01,2,384.899320419,-0.0137621589491,848.549041795
2005,5,20426566.84,6666302995.07,2005-05-01,2,326.354548334,-0.163772997013,719.481237256
2005,6,25304798.86,9870863497.28,2005-06-01,2,390.07871795,-0.000490849888027,859.967541592
2005,7,27939619.23,11750310264.0,2005-07-01,3,420.560859019,0.0776143568611,927.168469793
2005,8,28936720.63,12395201590.6,2005-08-01,3,428.355436303,0.0975866110696,944.352394873
2005,9,24516810.38,10020559263.1,2005-09-01,3,408.721979236,0.0472792780025,901.068475424
2005,10,21870231.62,8656411415.52,2005-10-01,4,395.807944147,0.0141892998962,872.598193666
2005,11,21085281.38,7359466660.07,2005-11-01,4,349.033362536,-0.105662463765,769.478951046
2005,12,24017859.92,9510765884.93,2005-12-01,4,395.987232693,0.014648695742,872.993453195
