fuel category 1,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,12270764.0,131763000.0,124623000.0,12550425750.0,11870340750.0,2001 Q1,12705488454.4,1035.42765995,2282.70381914
Coal,2001,2,9718974.0,105325000.0,98831000.0,10032206250.0,9413652750.0,2001 Q2,10038087963.5,1032.8341205,2276.98610206
Coal,2001,3,10782651.0,117556000.0,111135000.0,11197209000.0,10585608750.0,2001 Q3,11213038428.7,1039.91480655,2292.59618251
Coal,2001,4,9681459.0,107036000.0,101357000.0,10195179000.0,9654254250.0,2001 Q4,10156453043.0,1049.06223773,2312.7626093
Coal,2002,1,10022651.0,108370000.0,100488000.0,10322242500.0,9571482000.0,2002 Q1,10163617495.5,1014.06479139,2235.6072391
Coal,2002,2,9294025.0,100551000.0,93880000.0,9577482750.0,8942070000.0,2002 Q2,9620823144.97,1035.16217623,2282.11853372
Coal,2002,3,11167338.0,123293000.0,116372000.0,11743658250.0,11084433000.0,2002 Q3,11723866583.4,1049.83538453,2314.46708873
Coal,2002,4,11811485.0,127494000.0,121284000.0,12143803500.0,11552301000.0,2002 Q4,12172178101.0,1030.53748966,2271.9229497
Coal,2003,1,11622734.0,124090000.0,118088000.0,11819572500.0,11247882000.0,2003 Q1,12034572993.1,1035.4339171,2282.71761365
Coal,2003,2,9395437.0,100138000.0,94299000.0,9538144500.0,8981979750.0,2003 Q2,9572685110.11,1018.86533964,2246.19052778
Coal,2003,3,11314290.0,121197000.0,114976000.0,11544014250.0,10951464000.0,2003 Q3,11600362462.2,1025.28417269,2260.34148711
Coal,2003,4,10645227.0,113675000.0,108689000.0,10827543750.0,10352627250.0,2003 Q4,10999103708.9,1033.24275836,2277.88698508
Coal,2004,1,11384902.07,121259050.0,113949530.0,11549924512.5,10853692732.5,2004 Q1,11714745930.6,1028.97204197,2268.47176373
Coal,2004,2,9706512.64,103964500.0,97521740.0,9902618625.0,9288945735.0,2004 Q2,10019851657.1,1032.28131757,2275.76739272
Coal,2004,3,11196784.18,119982620.0,113180240.0,11428344555.0,10780417860.0,2004 Q3,11402097918.5,1018.33684879,2245.02541685
Coal,2004,4,9781423.79,105855820.0,99321800.0,10082766855.0,9460401450.0,2004 Q4,10129710875.5,1035.60699271,2283.09917612
