year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,84208140.01,54220880913.0,643.891207033,2001 Q1,0.0607296822452,1419.52255503
2001,2,93689280.0,59608618264.8,636.237339691,2001 Q2,0.0481208996048,1402.64883908
2001,3,111788412.0,71180638622.0,636.74434003,2001 Q3,0.0489561188199,1403.76657203
2001,4,82894178.0,52484114916.1,633.145972159,2001 Q4,0.043028260873,1395.83361022
2002,1,86725737.0,54826474134.7,632.182279808,2002 Q1,0.041440699077,1393.70905407
2002,2,97720019.0,61851328105.9,632.944290626,2002 Q2,0.0426960159444,1395.38898311
2002,3,114987259.0,72587770493.4,631.267943289,2002 Q3,0.0399344447985,1391.69330778
2002,4,86195525.0,57363760563.4,665.507409618,2002 Q4,0.096339654005,1467.17763524
2003,1,86770944.0,56944181818.6,656.258641355,2003 Q1,0.0811034729349,1446.78780073
2003,2,95421992.0,63197737271.0,662.297400698,2003 Q2,0.0910515685275,1460.10084958
2003,3,110222506.0,69642488676.9,631.835468129,2003 Q3,0.0408693705075,1392.94447304
2003,4,86784248.0,55812479816.6,643.117629096,2003 Q4,0.0594553100058,1417.8171251
2004,1,87253891.69,53605496000.8,614.362236027,2004 Q1,0.012084420919,1354.42298555
2004,2,96846918.78,59047251274.8,609.696746356,2004 Q2,0.00439861418274,1344.13744702
2004,3,112978635.72,68149323059.0,603.205399186,2004 Q3,-0.00629506286389,1329.82662305
2004,4,93219686.08,56635617064.4,607.549965528,2004 Q4,0.000862063098826,1339.404654
2005,1,87312506.01,53555208901.7,613.373860734,2005 Q1,0.0104561970827,1352.24401337
2005,2,99371104.44,59433035437.5,598.091726689,2005 Q2,-0.0147191943683,1318.55302066
2005,3,119001474.01,70865263530.8,595.499039994,2005 Q3,-0.0189903192182,1312.83718357
2005,4,90983637.74,56934985753.5,625.77170102,2005 Q4,0.0308800777689,1379.57629207
2006,1,84951456.05,51496556041.0,606.188032971,2006 Q1,-0.00138154928814,1336.40213749
