year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,242135620.0,1.77887749776e+11,734.661632089,2001 Q1,0.0309781734404,1619.6350341
2001,2,224879606.0,1.65197377481e+11,734.603641565,2001 Q2,0.0308967931681,1619.50718819
2001,3,253549554.0,1.89473535471e+11,747.284041647,2001 Q3,0.0486916733463,1647.46239821
2001,4,219339286.0,1.57395409404e+11,717.588774334,2001 Q4,0.00701919296006,1581.9962119
2002,1,232505882.0,1.67734153195e+11,721.418966919,2002 Q1,0.0123942456134,1590.44025447
2002,2,230998723.0,1.69692093981e+11,734.601870422,2002 Q2,0.0308943076558,1619.50328353
2002,3,270355580.0,2.01557613232e+11,745.527846075,2002 Q3,0.0462271383493,1643.59068946
2002,4,238753804.0,1.73997252082e+11,728.772690391,2002 Q4,0.022714001079,1606.65227324
2003,1,247750352.0,1.83898688493e+11,742.274176436,2003 Q1,0.0416611419306,1636.41764937
2003,2,222346978.01,1.62910813622e+11,732.687329866,2003 Q2,0.0282075612151,1615.28248742
2003,3,260463958.0,1.94070657127e+11,745.096014885,2003 Q3,0.045621133473,1642.63867441
2003,4,237437288.0,1.73693596402e+11,731.534620637,2003 Q4,0.0265899211984,1612.74122466
2004,1,252453809.29,1.82216143134e+11,721.780129387,2004 Q1,0.0129010784271,1591.23647325
2004,2,236943482.11,1.66857131743e+11,704.206464162,2004 Q2,-0.0117607039278,1552.49357089
2004,3,260513734.02,1.85693103217e+11,712.795829809,2004 Q3,0.000293074463846,1571.4296864
2004,4,238321258.68,1.7108701759e+11,717.883996322,2004 Q4,0.00743348902805,1582.64705829
2005,1,249066472.24,1.79641125503e+11,721.257758569,2005 Q1,0.0121680159005,1590.08485454
2005,2,235489963.05,1.6446021021e+11,698.374606203,2005 Q2,-0.0199447685419,1539.63665683
2005,3,286010907.19,2.05623824905e+11,718.937004623,2005 Q3,0.00891121500151,1584.96852039
2005,4,248230949.72,1.76257246575e+11,710.053467441,2005 Q4,-0.00355538531863,1565.38387432
2006,1,246965125.61,1.76929583321e+11,716.41525452,2006 Q1,0.00537234866917,1579.40907012
2006,2,235800314.31,1.66945118726e+11,707.993622549,2006 Q2,-0.00644604277507,1560.84274027
2006,3,275960543.37,1.95837434431e+11,709.657373621,2006 Q3,-0.00411123860596,1564.51064589
2006,4,241082765.61,1.69651842014e+11,703.707880506,2006 Q4,-0.0124603850387,1551.39439336
2007,1,253502596.96,1.79000207151e+11,706.10798192,2007 Q1,-0.00909223286638,1556.68565694
2007,2,241436047.98,1.70461961453e+11,706.033597215,2007 Q2,-0.00919661970824,1556.52166842
2007,3,281193689.68,2.02044206335e+11,718.523259058,2007 Q3,0.00833059035925,1584.05637692
2007,4,245981753.95,1.7648268428e+11,717.462500556,2007 Q4,0.00684198823901,1581.71782873
2008,1,258871696.68,1.83894405464e+11,710.368911789,2008 Q1,-0.00311271045499,1566.07930293
2008,2,237031249.4,1.6579786352e+11,699.476815566,2008 Q2,-0.0183979968769,1542.0665876
2008,3,266813030.77,1.89347760446e+11,709.664591343,2008 Q3,-0.00410110970673,1564.52655807
2008,4,237771847.96,1.65854188808e+11,697.535011949,2008 Q4,-0.0211230025923,1537.78568734
