year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,3935814150.05,3.42887948855e+12,871.199542922,2001 Q1,0.046362989642,1920.64651233
2001,2,3953922777.07,3.38306942001e+12,855.623544201,2001 Q2,0.0276552794271,1886.30766555
2001,3,4700958831.05,3.99024588624e+12,848.8153225,2001 Q3,0.0194781961504,1871.29825998
2001,4,3863164166.07,3.30592107465e+12,855.754747285,2001 Q4,0.0278128622127,1886.59691586
2002,1,3905422559.01,3.26817251185e+12,836.829424337,2002 Q1,0.00508241238603,1844.87414889
2002,2,4106799479.02,3.41930649289e+12,832.596407582,2002 Q2,-1.69504163481e-06,1835.54204015
2002,3,4901685828.0,4.05515756398e+12,827.298547127,2002 Q3,-0.00636474372453,1823.862377
2002,4,4019218939.03,3.42862367096e+12,853.057204142,2002 Q4,0.02457295084,1880.64991225
2003,1,4109273104.03,3.48159801982e+12,847.253986697,2003 Q1,0.0176029380513,1867.85613907
2003,2,3958212448.05,3.33359658919e+12,842.19749014,2003 Q2,0.0115297819102,1856.70858676
2003,3,4792847917.02,4.00499853459e+12,835.619782629,2003 Q3,0.00362956002393,1842.20737278
2003,4,4071635929.0,3.51787054284e+12,863.994375771,2003 Q4,0.0377091510326,1904.76200082
2004,1,4178231543.17,3.51427014165e+12,841.090328609,2004 Q1,0.010200014397,1854.26773845
2004,2,4167444049.98,3.44786181586e+12,827.332478734,2004 Q2,-0.00632398982595,1823.93718262
2004,3,4741676750.49,3.90453954703e+12,823.451228857,2004 Q3,-0.0109856040999,1815.38057914
2004,4,4179573042.02,3.52984491123e+12,844.546769669,2004 Q4,0.0143514077602,1861.88780841
2005,1,4158966159.97,3.51779262313e+12,845.833432594,2005 Q1,0.0158967672319,1864.7243855
2005,2,4261006466.7,3.50429053792e+12,822.409110454,2005 Q2,-0.0122372509094,1813.08312491
2005,3,5105393496.84,4.16759089204e+12,816.311395904,2005 Q3,-0.0195609724129,1799.64010341
2005,4,4226868951.72,3.59079815061e+12,849.517264818,2005 Q4,0.0203212710447,1872.84576202
2006,1,4030870854.99,3.41050539968e+12,846.096419948,2006 Q1,0.016212630843,1865.30416742
2006,2,4293103426.19,3.50180872637e+12,815.68235813,2006 Q2,-0.0203164845699,1798.25332673
2006,3,5103753221.07,4.13545002084e+12,810.27624999,2006 Q3,-0.0268095452258,1786.33502073
2006,4,4262226538.03,3.57724072651e+12,839.28920591,2006 Q4,0.00803675783075,1850.29698335
2007,1,4318862048.26,3.58249731733e+12,829.500289033,2007 Q1,-0.00372031942245,1828.7163372
2007,2,4309860263.38,3.5297921508e+12,819.003850495,2007 Q2,-0.0163271726956,1805.5758888
2007,3,5198985094.69,4.19086209927e+12,806.092347437,2007 Q3,-0.0318346635458,1777.11118916
2007,4,4310941060.06,3.59220340643e+12,833.275926621,2007 Q4,0.000814448147888,1837.04010783
2008,1,4420606677.61,3.66371653753e+12,828.781387878,2008 Q1,-0.00458376289846,1827.13144772
2008,2,4335229176.17,3.55863956368e+12,820.86538429,2008 Q2,-0.0140913587738,1809.67982621
2008,3,4962180190.77,4.03912550624e+12,813.982030268,2008 Q3,-0.0223586804814,1794.50478393
2008,4,4190399658.8,3.47244428002e+12,828.666610052,2008 Q4,-0.00472161796311,1826.87840852
2009,1,4060231830.61,3.30835330932e+12,814.818820042,2009 Q1,-0.0213536456912,1796.34957067
2009,2,3993492030.9,3.18568139149e+12,797.718229269,2009 Q2,-0.0418924825532,1758.64960825
2009,3,4668950375.02,3.67441875333e+12,786.990320777,2009 Q3,-0.0547773451467,1734.99886119
2009,4,4035193663.67,3.30850163126e+12,819.911485549,2009 Q4,-0.015237048468,1807.57686104
2010,1,4179789904.21,3.44971019532e+12,825.331003324,2010 Q1,-0.00872788203507,1819.52472993
2010,2,4173866735.85,3.36656555083e+12,806.581945206,2010 Q2,-0.0312466272114,1778.1905564
2010,3,5111230704.54,4.0527532641e+12,792.911433346,2010 Q3,-0.0476657332325,1748.05254595
