year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,23052579.0,18758407100.0,813.722711895,2001 Q1,0.0403119776722,1793.93309064
2001,2,23897458.0,19151625455.7,801.408478496,2001 Q2,0.0245687222444,1766.78513169
2001,3,29724579.0,24179516987.4,813.45195797,2001 Q3,0.0399658295962,1793.33618654
2001,4,23323359.0,19188964585.0,822.735892589,2001 Q4,0.0518349690999,1813.8035488
2002,1,24670330.0,20830729429.5,844.363631517,2002 Q1,0.0794851692577,1861.48406204
2002,2,25392989.0,21307623666.9,839.114436938,2002 Q2,0.0727742837009,1849.91168767
2002,3,31882602.0,25554239076.4,801.510462553,2002 Q3,0.0246991047875,1767.00996574
2002,4,24425944.0,21227883123.8,869.071145164,2002 Q4,0.111072738352,1915.95424663
2003,1,24950494.0,21308501669.4,854.031253628,2003 Q1,0.0918448378891,1882.79730175
2003,2,26107758.0,21386109938.5,819.147700792,2003 Q2,0.047247609241,1805.89302117
2003,3,32134884.0,25598378880.3,796.591606813,2003 Q3,0.0184105442403,1756.16585638
2003,4,24001283.0,21948198736.6,914.459395218,2003 Q4,0.169099802715,2016.0171827
2004,1,25515007.8,20983133708.8,822.383981746,2004 Q1,0.0513850651459,1813.02772616
2004,2,26107035.2,20291899037.9,777.257887861,2004 Q2,-0.0063068430283,1713.54273958
2004,3,31087127.64,24261927516.0,780.449316417,2004 Q3,-0.00222672912215,1720.57856297
2004,4,24803048.61,20746259933.9,836.439917532,2004 Q4,0.0693550174925,1844.01544219
2005,1,25602111.26,20881582825.7,815.619564093,2005 Q1,0.0427370274252,1798.114891
2005,2,27414188.79,21532401495.3,785.447333868,2005 Q2,0.00416303651035,1731.59719225
2005,3,35204941.24,26639766946.5,756.705337608,2005 Q3,-0.03258245742,1668.23258729
2005,4,26249281.73,20484066640.0,780.366748726,2005 Q4,-0.00233228861648,1720.39653424
2006,1,24897875.36,18886816891.7,758.571429033,2006 Q1,-0.0301967340871,1672.34657245
2006,2,29299573.97,20609143505.8,703.393964938,2006 Q2,-0.100738917507,1550.7023351
2006,3,34682659.61,25643260899.1,739.368352583,2006 Q3,-0.0547471001352,1630.01147011
