fuel category,year,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg)
Coal,2002,1893336,13085585.0,575287.841,8005995.0,3876.6375,-8870.781036,1271918862.0,778182714.0,1271918862.0,778182714.0
Coal,2003,1289640,9522573.0,456747.98,6865392.0,3098.730288,-7098.997512,925594095.6,667316102.4,925594095.6,667316102.4
Coal,2004,1893336,13566399.83,648979.69785,7815578.1,3876.6375,-8870.781036,1318654063.48,759674191.32,1318654063.48,759674191.32
Coal,2005,1950408,27038511.85,1920281.78751,21198689.2,4819.6167,-10662.054636,2577561116.65,2009930355.07,2577561116.65,2009930355.07
Coal,2006,1893336,13366918.42,617419.03077,7424265.56,3876.6375,-8870.781036,1299264470.42,721638612.432,1299264470.42,721638612.432
Coal,2007,1893336,13502042.0,641409.351,7549862.0,3876.6375,-8870.781036,1312398482.4,733846586.4,1312398482.4,733846586.4
Coal,2008,1893336,13903780.0,617896.828,7262978.0,3876.6375,-8870.781036,1351447416.0,705961461.6,1351447416.0,705961461.6
Coal,2009,1918488,13769621.0,630591.648,7538100.0,4132.0543,-9466.581036,1334432507.4,728728666.2,1334432507.4,728728666.2
Coal,2010,1968792,13401193.0,620443.314,7297846.0,4642.8879,-10658.181036,1292429307.0,699183978.6,1292429307.0,699183978.6
Coal,2011,1968792,14487525.0,656385.273,7556808.0,4642.8879,-10658.181036,1398744547.2,725078854.8,1398744547.2,725078854.8
Coal,2012,1968792,14847516.0,684959.156,7898564.0,4642.8879,-10658.181036,1431805090.5,756366956.1,1431805090.5,756366956.1
Coal,2013,1968792,14020157.0,624620.714,11040692.0,4642.8879,-10658.181036,1352674620.9,1063070622.9,1352674620.9,1063070622.9
Coal,2014,2044248,13403620.0,558292.181,7216953.0,5409.1383,-12445.581036,1298231290.2,696887257.8,1298231290.2,696887257.8
Coal,2015,2044248,14562032.0,667549.305,8241038.0,5409.1383,-12445.581036,1411103350.3,796702733.5,1411103350.3,796702733.5
Hydro,2002,1036968,14642517.68,1439351.001,14642517.68,17339.706876,-41658.433536,0.0,0.0,0.0,0.0
Hydro,2003,1036968,16206755.08,1582536.373,16206755.08,17339.706876,-41658.433536,0.0,0.0,0.0,0.0
Hydro,2004,1036968,15013156.47,1498020.009,15013156.47,17339.706876,-41658.433536,0.0,0.0,0.0,0.0
Hydro,2005,1712148,14637956.26,1463942.006,14637956.26,18006.466872,-43253.126868,0.0,0.0,0.0,0.0
Hydro,2006,1627644,12136955.0,1223607.006,12136955.0,17279.113008,-41504.973936,0.0,0.0,0.0,0.0
Hydro,2007,1627644,12762452.0,1291222.999,12762452.0,17279.113008,-41504.973936,0.0,0.0,0.0,0.0
Hydro,2008,2306148,11546927.0,1171801.0,11546927.0,17991.999408,-43129.063536,0.0,0.0,0.0,0.0
Hydro,2009,2991168,12919747.0,1323744.41,12919747.0,18690.789408,-44737.703136,0.0,0.0,0.0,0.0
Hydro,2010,2991168,13866086.0,1421287.97,13866086.0,18690.789408,-44737.703136,0.0,0.0,0.0,0.0
