fuel category,year,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg)
Coal,2001,121392,412480572.0,40612461.0,412480572.0,2401.876536,-6877.087596,38484437367.6,38484437367.6,38484437367.6,38484437367.6
Coal,2002,1740101,626386480.0,59362591.0,617821323.0,5203.56862,-14694.709288,58441858584.0,57642729435.9,58441858584.0,57642729435.9
Coal,2003,1139598,605396470.0,58788804.283,600027164.0,5408.551608,-15219.518532,56483490651.0,55982534401.2,56483490651.0,55982534401.2
Coal,2004,1872948,560630463.99,53988499.8616,540488057.85,6321.022092,-17713.741524,52306822290.3,50427535797.4,52306822290.3,50427535797.4
Coal,2005,1127448,568686353.76,54713183.8944,551122473.2,5259.36162,-14717.934828,53058436805.8,51419726749.6,53058436805.8,51419726749.6
Coal,2006,1737132,578483811.01,56215712.4283,561801043.19,5621.065428,-15745.388064,53972539567.2,52416037329.6,53972539567.2,52416037329.6
Coal,2007,1737132,602843710.0,58705084.447,587436168.0,5621.065428,-15745.388064,56245318143.0,54807794474.4,56245318143.0,54807794474.4
Coal,2008,1737132,589217685.0,56906003.611,571291970.0,5621.065428,-15745.388064,54974010010.5,53301540801.0,54974010010.5,53301540801.0
Coal,2009,1733016,513744841.0,49252020.878,498365483.0,4899.099156,-13787.185128,47932393665.3,46497499563.9,47932393665.3,46497499563.9
Coal,2010,1735500,550454399.0,53143255.851,533082980.0,5264.268756,-14765.794728,51357395426.7,49736642034.0,51357395426.7,49736642034.0
Coal,2011,1735500,489213290.0,46658874.762,474007460.0,5264.268756,-14765.794728,45643599957.0,44224896018.0,45643599957.0,44224896018.0
Coal,2012,1735500,439835220.0,41040467.755,427981903.0,5264.268756,-14765.794728,41036626026.0,39930711549.9,41036626026.0,39930711549.9
Coal,2013,1822404,457086884.0,42695198.953,444703997.0,5597.011956,-15749.671128,42646206277.2,41490882920.1,42646206277.2,41490882920.1
Coal,2014,1820748,501668730.0,47658889.732,489533178.0,5353.565556,-15097.264728,46805692509.0,45673445507.4,46805692509.0,45673445507.4
Coal,2015,1820127,408856131.0,38330749.84,399402033.0,5262.273156,-14852.612328,38146277022.3,37264209678.9,38146277022.3,37264209678.9
Hydro,2002,19752,1872991.75,184114.0,1872991.75,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2003,19752,2689972.78,262667.0,2689972.78,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2004,19752,2658415.56,265257.996,2658415.56,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2005,19752,2661323.84,266158.999,2661323.84,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2006,19752,2017742.0,203422.0,2017742.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2007,19752,1526545.0,154446.0,1526545.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2008,19752,2031479.0,206158.0,2031479.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2009,19752,2032050.0,208202.0,2032050.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2010,19752,1731438.0,177474.0,1731438.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2011,19752,1768720.0,182042.0,1768720.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2012,19752,1432262.0,150511.0,1432262.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2013,19752,2425455.0,254214.0,2425455.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2014,19752,2010301.0,211388.0,2010301.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Hydro,2015,19752,2276578.0,244294.0,2276578.0,733.165056,-2034.125916,0.0,0.0,0.0,0.0
Natural Gas,2001,348840,35951503.0,3408364.0,35951503.0,4371.950208,-12676.396992,1907946264.21,1907946264.21,1907946264.21,1907946264.21
Natural Gas,2002,15774455,528872256.0,60210583.218,524328097.0,22610.445188,-65296.615822,28067250625.9,27834088801.5,28067250625.9,27834088801.5
Natural Gas,2003,18091249,543766090.0,65580685.217,541966764.0,24272.516407,-70358.577688,28857666396.3,28762176165.5,28857666396.3,28762176165.5
Natural Gas,2004,21862744,595971172.34,73657004.6607,586933988.15,26679.562508,-77191.465628,31628190116.1,31148586751.1,31628190116.1,31148586751.1
Natural Gas,2005,20256348,643802241.87,81080668.8823,636980897.77,25779.679776,-74540.480616,34166584976.0,33804576244.7,34166584976.0,33804576244.7
Natural Gas,2006,20242236,754152644.47,93702978.7335,748333490.04,25889.171484,-74825.201952,40022880842.0,39714058316.4,40022880842.0,39714058316.4
Natural Gas,2007,20334060,784110862.0,97574695.713,777597779.0,26112.026784,-75576.347052,41612763446.3,41267114131.5,41612763446.3,41267114131.5
Natural Gas,2008,21657060,814562385.0,100720995.259,802982319.0,26465.379852,-76545.690252,43228825772.0,42614271669.3,43228825772.0,42614271669.3
Natural Gas,2009,22676046,920172629.0,113950622.761,909045343.0,27350.55012,-79019.40792,48833561421.0,48243036353.0,48833561421.0,48243036353.0
Natural Gas,2010,23661996,991873037.0,124763479.229,979790429.0,27530.357328,-79515.487956,52638702073.6,51997478067.0,52638702073.6,51997478067.0
Natural Gas,2011,24173025,1037709306.0,131284132.688,1029282764.0,27709.860845,-80081.223261,55071232869.4,54624036285.5,55071232869.4,54624036285.5
Natural Gas,2012,24347950,1130531870.0,143787760.412,1116455826.0,27800.0427,-80325.436936,59997326340.9,59250310685.8,59997326340.9,59250310685.8
Natural Gas,2013,24866912,1036784959.0,134228014.385,1022968671.0,28381.113044,-81890.780002,55022177774.1,54288947370.0,55022177774.1,54288947370.0
Natural Gas,2014,25103415,1042526100.0,135156238.852,1029834140.0,28839.032004,-83195.637456,55326860127.0,54653297809.8,55326860127.0,54653297809.8
Natural Gas,2015,23492544,1163659225.0,149754688.136,1150014250.0,27689.185818,-79973.444166,61755395070.8,61031256247.5,61755395070.8,61031256247.5
Nuclear,2002,87528,351939568.0,33704230.0,351939568.0,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2003,87528,322837171.55,30979481.0,322837171.55,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2004,87528,325484810.97,31215576.0,325484810.97,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2005,87528,300135091.1,28758826.0,300135091.1,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2006,87528,327950551.0,31426349.0,327950551.0,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2007,87528,307098195.0,29289289.0,307098195.0,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2008,87528,337030223.0,32133276.0,337030223.0,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2009,87528,305515033.0,29117877.0,305515033.0,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2010,87528,250241516.0,23935921.561,250241516.0,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2011,87528,230608459.0,22015368.0,230608459.0,980.997732,-2919.298668,0.0,0.0,0.0,0.0
Nuclear,2012,81248,187736400.0,17869935.0,187736400.0,691.341732,-2092.321668,0.0,0.0,0.0,0.0
Nuclear,2013,81248,277270501.0,26525855.0,277270501.0,691.341732,-2092.321668,0.0,0.0,0.0,0.0
Nuclear,2014,79992,291477330.0,27868270.0,291477330.0,633.410532,-1926.926268,0.0,0.0,0.0,0.0
Nuclear,2015,79992,294149843.0,28121916.0,294149843.0,633.410532,-1926.926268,0.0,0.0,0.0,0.0
Other,2001,483936,35390677.0,3721142.0,35390677.0,11219.387604,-32234.118936,3291362433.89,3291362433.89,3344724518.39,3344724518.39
Other,2002,25984689,448221219.0,38450666.124,421682319.0,43249.213205,-125146.280643,30608619561.1,30122488973.2,30705063370.7,30218932782.9
Other,2003,24633727,438011758.0,40290300.492,434623360.0,41621.361922,-120564.622532,33163937146.0,33011489360.6,33294601397.7,33142153612.2
Other,2004,30892461,462535798.32,41806075.6219,445908300.14,46997.30784,-136021.519848,33776511445.9,33136138939.8,33924445584.7,33284073078.7
Other,2005,29924400,476618444.62,42403283.6073,459850205.54,47106.314976,-136194.070224,34710438520.2,34135908769.6,34837240195.3,34262710444.7
Other,2006,30515383,295631712.44,26308061.5953,279155487.69,46629.413009,-134644.891734,22980169431.4,22333999224.3,23111503963.2,22465333756.1
Other,2007,30987146,266422432.0,23607336.349,250399920.0,46877.842237,-134962.380263,19989207303.2,19378148574.0,20125062417.6,19514003688.4
Other,2008,28822890,174631756.0,14993217.263,171709899.0,44960.316952,-129515.716772,13340447148.0,13111030222.0,13485684045.7,13256267119.7
Other,2009,30358524,145245340.0,12221816.921,139591919.0,44319.737708,-127558.384942,10932106441.1,10487709719.5,11131155024.4,10686758302.8
Other,2010,30684840,142617355.0,12196500.152,140656939.0,43949.289684,-126493.631304,10724216204.5,10570592314.0,10900898621.9,10747274731.4
Other,2011,31751079,87902260.0,6919922.722,86263911.0,44106.800397,-126994.627469,5958688907.0,5829337192.82,6158120470.25,6028768756.07
Other,2012,32592828,66039314.0,4815897.456,64288924.0,43999.38102,-126588.250444,4098134156.11,3965664635.81,4283626312.72,4151156792.42
Other,2013,34362604,80705871.0,5923024.191,74467719.0,44928.021961,-129211.332961,5225487211.6,5167076068.45,5434322365.18,5375911222.03
Other,2014,35279204,69893982.0,5060726.672,64993293.0,44067.572608,-127127.646156,4327933830.96,4247597444.11,4540312683.96,4459966332.64
Other,2015,34541706,73437403.0,5451763.438,69355272.0,43099.611786,-124489.550638,4714613075.02,4648654959.92,4926739320.88,4860781205.78
