fuel category,year,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg)
Coal,2001,4739292,415942683.0,38906380.127,397017597.0,13344.494892,-23241.01062,38807452323.9,37041741800.1,38807452323.9,37041741800.1
Coal,2002,4136944,408975505.0,38439271.657,391192111.0,12850.779892,-22488.53982,38166826642.5,36507635982.3,38166826642.5,36507635982.3
Coal,2003,4173840,415053656.0,39434624.368,399720494.0,13813.554096,-24245.727792,38844343097.4,37413759082.8,38844343097.4,37413759082.8
Coal,2004,4204428,408496801.07,38548745.9431,388254324.02,14329.194096,-25192.887792,38363477173.4,36474854064.7,38363477173.4,36474854064.7
Coal,2005,4204428,405161289.2,37819084.2908,383334552.09,14329.194096,-25192.887792,38092890755.9,36056456183.5,38092890755.9,36056456183.5
Coal,2006,4304914,402500914.1,37660700.448,383089561.69,14418.341696,-25330.496992,37894576572.9,36083497393.1,37894576572.9,36083497393.1
Coal,2007,4807344,409782512.0,38515931.979,391690528.0,14864.079696,-26018.542992,38567118725.1,36879136617.9,38567118725.1,36879136617.9
Coal,2008,4910748,372172333.0,35139941.477,355669755.0,15895.619964,-27881.402856,35102089448.4,33562398921.0,35102089448.4,33562398921.0
Coal,2009,4810092,271687232.0,25298837.348,260170322.0,13871.61276,-24236.720064,25595642670.6,24521114967.6,25595642670.6,24521114967.6
Coal,2010,4810092,277088828.0,25916739.243,265852299.0,13871.61276,-24236.720064,26099596917.3,25051228761.6,26099596917.3,25051228761.6
Coal,2011,4810092,178384408.0,16100426.395,168067613.0,13871.61276,-24236.720064,16805192911.5,15842635938.0,16805192911.5,15842635938.0
Coal,2012,4810092,94140748.0,8018035.451,84717724.0,13871.61276,-24236.720064,8846996382.9,7967828243.7,8846996382.9,7967828243.7
Coal,2013,4642668,123870044.0,10863269.564,114441631.0,13167.02924,-23024.367424,11652468165.3,10772797232.4,11652468165.3,10772797232.4
Coal,2014,4676697,109606011.0,9601993.638,100530749.0,13006.195577,-22750.05229,10328866900.5,9482144955.9,10328866900.5,9482144955.9
Coal,2015,4722820,73624357.0,6144066.314,64748089.0,12511.473648,-21913.646688,6933032261.7,6104876457.3,6933032261.7,6104876457.3
Coal,2016,3572417,52705698.0,4314380.122,45467699.0,10069.75161,-17641.485324,4937474332.2,4262169025.5,4937474332.2,4262169025.5
Coal,2017,861273,17968414.0,1506873.103,15946042.0,2347.171909,-4089.811728,1680285833.1,1491598525.5,1680285833.1,1491598525.5
Hydro,2001,60542200,318190668.56,27408527.865,318190668.56,173112.027211,-290117.838699,0.0,0.0,0.0,0.0
Hydro,2002,61049352,347634217.31,29365764.297,347634217.31,173808.09318,-291386.040756,0.0,0.0,0.0,0.0
Hydro,2003,62601252,320580727.79,29880842.318,320580727.79,175216.641048,-293890.428312,0.0,0.0,0.0,0.0
Hydro,2004,63391152,311840052.85,29803988.688,311840052.85,176403.449508,-295925.530956,0.0,0.0,0.0,0.0
Hydro,2005,63346644,342509958.33,33010335.053,342509958.33,175875.544308,-295059.992556,0.0,0.0,0.0,0.0
Hydro,2006,62661276,363626973.0,35324572.845,363626973.0,174862.4844,-293175.922368,0.0,0.0,0.0,0.0
Hydro,2007,61257768,316216324.0,30378467.36,316216324.0,173278.009164,-290609.94678,0.0,0.0,0.0,0.0
Hydro,2008,63235668,353824461.0,34442936.88,353824461.0,173819.940768,-291453.783828,0.0,0.0,0.0,0.0
Hydro,2009,64605108,357808757.0,35652094.22,357808757.0,174878.206428,-293161.399236,0.0,0.0,0.0,0.0
Hydro,2010,64496976,326109648.0,32569693.38,326109648.0,174892.918392,-293113.57482,0.0,0.0,0.0,0.0
Hydro,2011,64402440,354771606.0,35646515.84,354771606.0,174890.244948,-293193.27078,0.0,0.0,0.0,0.0
Hydro,2012,64314534,303208552.0,31145248.37,303208552.0,174767.887644,-292929.878916,0.0,0.0,0.0,0.0
Hydro,2013,67277850,310963072.0,31780467.5,310963072.0,176881.833792,-296517.68244,0.0,0.0,0.0,0.0
Hydro,2014,68681472,319524346.0,32656069.48,319524346.0,177568.966404,-297481.656696,0.0,0.0,0.0,0.0
Hydro,2015,68686992,306758792.0,32017166.3,306758792.0,177570.687048,-297483.177936,0.0,0.0,0.0,0.0
Hydro,2016,68500044,236702121.0,24434153.65,236702121.0,175983.317676,-294955.283172,0.0,0.0,0.0,0.0
Hydro,2017,17125011,54504093.0,5642425.11,54504093.0,43995.829419,-73738.820793,0.0,0.0,0.0,0.0
Natural Gas,2001,47348577,648471180.0,69630223.393,608330656.0,66630.385828,-116036.784871,34414365522.6,32285317538.4,34414365522.6,32285317538.4
Natural Gas,2002,52545005,754697270.0,80808585.442,706431065.0,73812.179391,-128584.773537,40051784118.9,37500294052.3,40051784118.9,37500294052.3
Natural Gas,2003,56012451,634145804.0,72315669.984,609456546.0,78585.529476,-136886.265759,33654117818.3,32343863778.7,33654117818.3,32343863778.7
Natural Gas,2004,58436338,647778817.92,74663521.1424,608285859.67,80583.282261,-140406.83616,34377621867.0,32281730572.7,34377621867.0,32281730572.7
Natural Gas,2005,59469228,690088997.58,79696874.8698,651122629.44,81810.704556,-142600.434348,36623023101.6,34555077944.4,36623023101.6,34555077944.4
Natural Gas,2006,59694848,817067058.01,94467637.6305,777404961.68,80982.68556,-141191.294188,43361748768.6,41256881316.4,43361748768.6,41256881316.4
Natural Gas,2007,60332606,849976678.0,99096701.595,813548214.0,82368.951866,-143620.428144,45108262301.5,43175003717.0,45108262301.5,43175003717.0
Natural Gas,2008,62694756,819582779.0,94778375.869,777106645.0,83262.097476,-145187.48082,43495258081.5,41241049650.1,43495258081.5,41241049650.1
Natural Gas,2009,63164652,786676678.0,92568632.123,748404374.0,82964.8749,-144707.381592,41748931301.5,39717820128.2,41748931301.5,39717820128.2
Natural Gas,2010,65131350,908696070.0,107303829.658,868512724.0,84041.72413,-146602.28509,48224500434.9,46091970262.7,48224500434.9,46091970262.7
Natural Gas,2011,69707394,950052111.0,113873735.414,911627013.0,88238.974953,-153831.773208,50419265530.8,48380045579.9,50419265530.8,48380045579.9
Natural Gas,2012,83060397,1022760440.0,121848571.055,981816830.0,98097.2088,-170873.775765,54277896550.8,52105019168.1,54277896550.8,52105019168.1
Natural Gas,2013,89021400,905459025.0,106390601.907,861162301.0,102282.794341,-178121.611831,48052710456.7,45701883314.1,48052710456.7,45701883314.1
Natural Gas,2014,93154242,867821520.0,101923428.254,822494053.0,105393.660328,-183584.178222,46055288066.4,43649759392.7,46055288066.4,43649759392.7
Natural Gas,2015,96879944,935505917.0,110220624.105,892030852.0,108892.776195,-189548.253781,49647299015.2,47340077315.6,49647299015.2,47340077315.6
Natural Gas,2016,97733723,833636290.0,101121081.211,810149844.0,109467.322689,-190393.663999,44241077910.3,42994652221.1,44241077910.3,42994652221.1
Natural Gas,2017,24273111,147028345.0,17657677.554,137789502.0,27174.537321,-47243.83001,7802794269.15,7312488871.14,7802794269.15,7312488871.14
Nuclear,2001,413952,727384794.0,69659528.0,727384794.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2002,413952,726754286.0,69599146.0,726754286.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2003,413952,740011289.6,71011543.0,740011289.6,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2004,413952,764252960.6,73295575.0,764252960.6,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2005,413952,761089414.25,72936216.0,761089414.25,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2006,413952,772542324.0,74040859.0,772542324.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2007,413952,783467191.0,74722669.0,783467191.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2008,413952,774654902.0,73861070.0,774654902.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2009,413952,779831985.0,74354690.0,779831985.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2010,413952,788579429.0,75447707.0,788579429.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2011,413952,754149613.0,72070873.0,754149613.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2012,413952,753423086.0,71901168.0,753423086.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2013,413952,805519993.0,77092556.0,805519993.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2014,413952,782515774.0,74816662.0,782515774.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2015,413952,799999755.0,76492798.0,799999755.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2016,413952,777259085.0,74321963.0,777259085.0,4068.180156,-7099.538196,0.0,0.0,0.0,0.0
Nuclear,2017,103488,191898976.0,18349491.0,191898976.0,1017.045039,-1774.884549,0.0,0.0,0.0,0.0
Other,2001,69750598,468720248.0,37794270.312,442141635.0,123408.144667,-211758.911711,32656774000.1,30818547985.1,33025663687.9,31164385054.1
Other,2002,80081155,368507661.0,28623504.26,342152559.0,140689.100237,-240950.853804,24802137031.8,22891829205.6,25219994107.5,23295492232.9
Other,2003,89443236,466363432.0,38136833.64,445969266.0,154313.983369,-264861.210495,32046151885.0,30823949276.0,32453786823.2,31231584214.2
Other,2004,96898412,485749182.8,39449322.5516,444864392.91,162058.971157,-277932.538818,33737142645.7,31024995044.3,34074955707.9,31362808106.4
Other,2005,98125440,516577639.39,42650925.3616,477589722.2,163346.824452,-280217.539464,36694023762.8,33849853746.4,37039975500.9,34195805484.5
Other,2006,99204532,200898458.02,14541780.3318,173607673.27,165042.3823,-283264.04806,15742847982.3,13542586383.4,16217400805.6,14017139206.7
Other,2007,101238069,221510002.0,16972510.874,196583965.0,171117.838576,-294138.605864,17233162197.3,15218185095.1,17738432560.1,15723455457.8
Other,2008,104184085,145907081.0,10461696.359,130591226.0,175278.089447,-301338.227761,11146803542.9,9931722588.5,11720921976.4,10505841022.0
Other,2009,107776879,121044169.0,8133075.96,105473317.0,175521.121067,-301442.15902,9096713108.26,7813187970.52,9762725344.9,8479200207.16
Other,2010,114388722,103299924.0,6687005.681,91878501.0,179835.733598,-309047.134194,7769291521.97,6807103461.89,8443936119.83,7481748059.75
Other,2011,119055994,94148736.0,5690310.284,82065761.0,183678.48952,-315891.72088,7104365326.05,6079367317.68,7757804853.54,6732806845.17
Other,2012,129869071,85333180.0,5131675.857,75986659.0,192097.98002,-330155.720801,6274969004.12,5471140647.4,6941548746.02,6137720389.3
Other,2013,137805450,99265870.0,6075102.6,85726665.0,199100.949225,-342073.064592,7311364963.42,6179824168.27,7992974986.66,6860231620.84
Other,2014,137564948,118344886.0,8389179.004,106800458.0,198446.235591,-341233.342579,8625291639.07,7650306385.88,9402591145.93,8426258967.68
Other,2015,139614725,109573567.0,7738162.28,99314087.0,198719.388685,-341622.791074,8048254623.8,7178660418.08,8751497511.41,7879491434.42
Other,2016,135600243,49755005.0,3009589.428,41800869.0,193196.251253,-332133.122082,4131947413.41,3440131994.07,4237140810.27,3545325390.93
Other,2017,33569391,16078121.0,857372.448,13610118.0,47907.612359,-82362.900399,1303346460.22,1092607381.99,1356171245.89,1144705909.09
Other Renewables,2001,19804788,117494699.0,4839804.491,67194149.0,25563.987972,-40847.204136,0.0,0.0,11013034314.8,6284907264.55
Other Renewables,2002,20783668,112157377.0,4805703.4,66630329.0,25405.855932,-40423.430856,0.0,0.0,10499650100.7,6219206956.95
Other Renewables,2003,20878638,84054595.0,3769502.57,55225439.0,25558.921799,-40857.329897,0.0,0.0,7887890929.88,5182968493.09
Other Renewables,2004,23678100,108425529.15,4512805.76883,49427375.82,29191.086648,-46838.474904,0.0,0.0,10096153196.6,4637498859.15
Other Renewables,2005,23804904,124930661.9,5224277.87172,60006828.39,29698.749,-47697.432492,0.0,0.0,11665585994.7,5618587870.88
Other Renewables,2006,38265705,177252525.18,8322577.1536,113616320.62,42981.217356,-70652.564244,0.0,0.0,16390794007.7,10481673290.5
Other Renewables,2007,37813728,186526150.0,8902087.578,118508820.0,43434.381516,-71206.817016,0.0,0.0,17268317232.6,10946115289.0
Other Renewables,2008,35817863,206185398.0,8776916.713,116256904.0,40814.730079,-66915.124565,0.0,0.0,19171485984.6,10738692081.4
Other Renewables,2009,34460448,163139286.0,8377204.086,109102741.0,39777.891564,-65208.895776,0.0,0.0,15111578881.4,10066558296.9
Other Renewables,2010,34359189,171961471.0,8499227.557,111663193.0,39719.020964,-65126.848376,0.0,0.0,15938872309.8,10307752448.8
Other Renewables,2011,35725164,159937114.0,7818429.56,97913104.0,40837.671564,-66898.663104,0.0,0.0,14825564659.8,9031046964.7
Other Renewables,2012,36425952,164963673.0,8221005.428,101943479.0,41351.618232,-67835.323104,0.0,0.0,15297040137.6,9409857564.47
Other Renewables,2013,37542767,171859521.0,8645709.679,110483150.0,43328.9942,-71371.05118,0.0,0.0,15946211306.4,10209290045.8
Other Renewables,2014,38337022,174970225.0,8671961.655,117694779.0,44112.551216,-72877.282372,0.0,0.0,16234031667.1,10885815161.8
Other Renewables,2015,38356612,169596432.0,8438666.526,117009230.0,44269.927034,-73175.114368,0.0,0.0,15735994292.0,10827188995.6
Other Renewables,2016,34056133,125606798.0,6063668.763,79672020.0,40350.761889,-66638.918523,0.0,0.0,11666692728.8,7385890814.88
Other Renewables,2017,8288379,24163053.0,1075810.503,16313573.0,9904.280073,-16343.917374,0.0,0.0,2221528446.6,1494759386.3
Solar,2008,129876,789.0,80.19,789.0,508.239996,-851.553336,0.0,0.0,0.0,0.0
Solar,2009,129876,416.0,42.57,416.0,508.239996,-851.553336,0.0,0.0,0.0,0.0
Solar,2010,1562020,8040.0,824.26,8040.0,1569.328012,-2638.340128,0.0,0.0,0.0,0.0
Solar,2011,5772122,126526.0,13022.47,126526.0,4647.471626,-7959.458066,0.0,0.0,0.0,0.0
Solar,2012,11978794,884879.0,92988.7,884879.0,9139.510083,-15666.701094,0.0,0.0,0.0,0.0
Solar,2013,39347686,1944172.0,203771.33,1944172.0,28638.239219,-49424.920722,0.0,0.0,0.0,0.0
Solar,2014,87954909,4331660.0,455423.3,4331660.0,63392.760507,-108525.242611,0.0,0.0,0.0,0.0
Solar,2015,120723634,6147940.0,659719.83,6147940.0,86753.537093,-148382.476712,0.0,0.0,0.0,0.0
Solar,2016,127308276,500514.0,53709.0,500514.0,91375.681923,-156348.807576,0.0,0.0,0.0,0.0
Solar,2017,31917318,126418.0,13565.43,126418.0,22906.356873,-39196.116711,0.0,0.0,0.0,0.0
Wind,2001,1422216,284498.49,27533.0,284498.49,1541.232492,-2719.899096,0.0,0.0,0.0,0.0
Wind,2002,1568249,935895.68,91998.0,935895.68,2095.005218,-3661.881202,0.0,0.0,0.0,0.0
Wind,2003,2091696,532839.24,52030.001,532839.24,2057.10036,-3629.049528,0.0,0.0,0.0,0.0
Wind,2004,2091696,1092558.34,109016.0,1092558.34,2057.10036,-3629.049528,0.0,0.0,0.0,0.0
Wind,2005,2767176,1144645.56,114475.999,1144645.56,2582.52396,-4535.953128,0.0,0.0,0.0,0.0
Wind,2006,2767176,6606641.0,666058.999,6606641.0,2582.52396,-4535.953128,0.0,0.0,0.0,0.0
Wind,2007,4067296,9321186.0,943058.002,9321186.0,3601.03954,-6243.802428,0.0,0.0,0.0,0.0
Wind,2008,7634084,13860115.0,1406547.31,13860115.0,6343.236932,-10868.190596,0.0,0.0,0.0,0.0
Wind,2009,14589590,25815045.0,2644983.52,25815045.0,12098.075928,-20583.958032,0.0,0.0,0.0,0.0
Wind,2010,18460542,30784161.0,3155407.47,30784161.0,15447.770332,-26117.540328,0.0,0.0,0.0,0.0
Wind,2011,22610048,35813656.0,3686049.69,35813656.0,18547.385601,-31370.120362,0.0,0.0,0.0,0.0
Wind,2012,28371013,40535509.0,4259721.1,40535509.0,22938.694502,-38636.626654,0.0,0.0,0.0,0.0
Wind,2013,34898272,51711013.0,5419873.74,51711013.0,27780.73892,-46670.06721,0.0,0.0,0.0,0.0
Wind,2014,39755900,57148683.0,6009327.15,57148683.0,31227.567658,-52582.826778,0.0,0.0,0.0,0.0
Wind,2015,41217882,58209093.0,6246282.14,58209093.0,32322.500712,-54407.130666,0.0,0.0,0.0,0.0
Wind,2016,42397043,56477245.0,6060441.0,56477245.0,33225.492503,-55789.057226,0.0,0.0,0.0,0.0
Wind,2017,11495832,5100338.0,547305.33,5100338.0,8972.252601,-15026.83221,0.0,0.0,0.0,0.0
