fuel category,year,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg)
Coal,2001,1982004,3666935280.0,363575074.998,3666935280.0,23471.813676,-58938.942444,3.453301827e+11,3.453301827e+11,3.453301827e+11,3.453301827e+11
Coal,2002,31289829,4608652507.0,441255836.304,4456858121.0,56545.845212,-135023.598151,4.33374907529e+11,4.1929133476e+11,4.33374907529e+11,4.1929133476e+11
Coal,2003,28500436,4535246911.0,441459115.079,4445532006.0,57343.40932,-137263.300416,4.26617347299e+11,4.18246946662e+11,4.26617347299e+11,4.18246946662e+11
Coal,2004,29768580,4651994957.46,451729595.136,4511801500.15,58487.544924,-139828.749732,4.37981950069e+11,4.24901900502e+11,4.37981950069e+11,4.24901900502e+11
Coal,2005,29951016,4966656310.6,480549441.869,4834991927.1,57643.650384,-138071.175408,4.67708299593e+11,4.55424012613e+11,4.67708299593e+11,4.55424012613e+11
Coal,2006,34329756,6458978077.09,614375646.693,6242467968.0,82322.087784,-194659.266552,6.1076119023e+11,5.90533392386e+11,6.1076119023e+11,5.90533392386e+11
Coal,2007,35190417,6670936781.0,635269700.161,6497691139.0,90898.25249,-214984.299586,6.3066054614e+11,6.14467770541e+11,6.3066054614e+11,6.14467770541e+11
Coal,2008,35841276,6487260296.0,616883498.846,6317942485.0,91610.822412,-216845.094648,6.13717191763e+11,5.97879766545e+11,6.13717191763e+11,5.97879766545e+11
Coal,2009,33295928,5525533207.0,523082133.974,5380148153.0,82641.191492,-195742.215412,5.23717585405e+11,5.10093637447e+11,5.23717585405e+11,5.10093637447e+11
Coal,2010,33532940,5961377824.0,563754472.037,5816852661.0,83861.951072,-198581.745216,5.64770879079e+11,5.51231742914e+11,5.64770879079e+11,5.51231742914e+11
Coal,2011,35188193,5469103045.0,515794388.93,5328169668.0,83696.025454,-198759.220927,5.18772348135e+11,5.05569630629e+11,5.18772348135e+11,5.05569630629e+11
Coal,2012,36932501,4657081080.0,436783996.888,4539390386.0,82966.658571,-197220.033733,4.42010257473e+11,4.309992813e+11,4.42010257473e+11,4.309992813e+11
Coal,2013,36985442,4716013923.0,444060507.77,4603130431.0,81030.911762,-193201.815321,4.47802999871e+11,4.37240268577e+11,4.47802999871e+11,4.37240268577e+11
Coal,2014,37064508,4867763378.0,460240737.905,4750609161.0,79334.778298,-189348.166303,4.61523111139e+11,4.5055167857e+11,4.61523111139e+11,4.5055167857e+11
Coal,2015,36886031,4003133834.0,377052476.33,3901466091.0,79053.185424,-188502.225628,3.80135004097e+11,3.70599599969e+11,3.80135004097e+11,3.70599599969e+11
Hydro,2001,3794544,333489825.86,22043573.999,333489825.86,51794.630436,-126092.513676,0.0,0.0,0.0,0.0
Hydro,2002,20613756,434726884.61,26515075.854,434726884.61,76339.278648,-183733.84698,0.0,0.0,0.0,0.0
Hydro,2003,20311380,471805662.13,42351408.94,471805662.13,73417.959852,-176773.370832,0.0,0.0,0.0,0.0
Hydro,2004,18773832,392122231.1,35216643.029,392122231.1,72123.867252,-173894.196996,0.0,0.0,0.0,0.0
Hydro,2005,20152980,373493827.86,34187394.0,373493827.86,74610.041316,-179863.327596,0.0,0.0,0.0,0.0
Hydro,2006,20424900,277886427.0,24602099.009,277886427.0,77195.922069,-185942.583318,0.0,0.0,0.0,0.0
Hydro,2007,20750844,204846409.0,18140342.826,204846409.0,79168.526016,-190607.989092,0.0,0.0,0.0,0.0
Hydro,2008,19476876,241032208.0,21438312.76,241032208.0,78362.035788,-188585.431224,0.0,0.0,0.0,0.0
Hydro,2009,21534672,412274428.0,40300550.73,412274428.0,79650.176352,-191888.465136,0.0,0.0,0.0,0.0
Hydro,2010,22323672,338976732.0,32301113.04,338976732.0,80893.270485,-194794.92261,0.0,0.0,0.0,0.0
Hydro,2011,22279260,322795284.0,29889611.0,322795284.0,81019.144092,-195054.303804,0.0,0.0,0.0,0.0
Hydro,2012,22279260,270402773.0,25495983.0,270402773.0,81019.144092,-195054.303804,0.0,0.0,0.0,0.0
Hydro,2013,23127351,443872174.0,44325597.71,443872174.0,81420.962439,-195918.073504,0.0,0.0,0.0,0.0
Hydro,2014,23105292,340576971.0,32731118.36,340576971.0,81458.476092,-195832.263264,0.0,0.0,0.0,0.0
Hydro,2015,23105292,350352031.0,34517721.6,350352031.0,81458.476092,-195832.263264,0.0,0.0,0.0,0.0
Natural Gas,2001,2230668,532176321.0,51383949.999,532176321.0,26472.088248,-70662.991872,28242597355.5,28242597355.5,28242597355.5,28242597355.5
