fuel category,year,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg)
Coal,2001,1670136,1142161956.0,105053389.755,1142161956.0,6697.572132,-20860.5597,1.11108736487e+11,1.11108736487e+11,1.11108736487e+11,1.11108736487e+11
Coal,2002,1628172,1149902214.0,107729236.08,1149902214.0,6315.724932,-19707.9069,1.11679071606e+11,1.11679071606e+11,1.11679071606e+11,1.11679071606e+11
Coal,2003,1747848,1231647946.0,115240384.487,1231647946.0,7419.188532,-23182.159704,1.20000865977e+11,1.20000865977e+11,1.20000865977e+11,1.20000865977e+11
Coal,2004,1747848,1262893338.0,117650751.0,1262893338.0,7419.188532,-23182.159704,1.23021894826e+11,1.23021894826e+11,1.23021894826e+11,1.23021894826e+11
Coal,2005,1906392,1280999267.75,118995890.0,1280999267.75,8210.579196,-25470.7809,1.24782493498e+11,1.24782493498e+11,1.24782493498e+11,1.24782493498e+11
Coal,2006,1892198,1270380775.0,116932267.0,1270380775.0,8151.959752,-25274.1403,1.23736051992e+11,1.23736051992e+11,1.23736051992e+11,1.23736051992e+11
Coal,2007,1281540,1258557589.0,117520701.423,1258557589.0,7843.761996,-24306.0441,1.2257636523e+11,1.2257636523e+11,1.2257636523e+11,1.2257636523e+11
Coal,2008,1281540,1253832599.0,116836225.225,1253832599.0,7843.761996,-24306.0441,1.22097932002e+11,1.22097932002e+11,1.22097932002e+11,1.22097932002e+11
Coal,2009,1048860,1182760239.0,110343244.425,1182760239.0,6707.817732,-20850.8529,1.15153548637e+11,1.15153548637e+11,1.15153548637e+11,1.15153548637e+11
Coal,2010,1729332,1279929673.0,120316098.007,1279929673.0,7355.257632,-22883.9691,1.24632545084e+11,1.24632545084e+11,1.24632545084e+11,1.24632545084e+11
Coal,2011,1747872,1374658893.0,128789647.546,1374658893.0,7448.798532,-23173.4289,1.33891242146e+11,1.33891242146e+11,1.33891242146e+11,1.33891242146e+11
Coal,2012,1747872,1181166893.0,109789607.647,1181166893.0,7448.798532,-23173.4289,1.15070115311e+11,1.15070115311e+11,1.15070115311e+11,1.15070115311e+11
