fuel category,year,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg)
Coal,2001,7114572,2435517624.0,229701540.816,2409897518.0,26910.69768,-73985.797812,2.33051282024e+11,2.30642905595e+11,2.33051282024e+11,2.30642905595e+11
Coal,2002,7114572,2357880255.0,221897464.298,2330840270.0,26910.69768,-73985.797812,2.2657153048e+11,2.24058294352e+11,2.2657153048e+11,2.24058294352e+11
Coal,2003,7742268,2447102785.0,231247403.995,2427813198.0,27433.13808,-75169.674612,2.34786979109e+11,2.32967294347e+11,2.34786979109e+11,2.32967294347e+11
Coal,2004,8456244,2503449844.97,235052683.965,2465187077.56,29306.94498,-80436.039588,2.39689430034e+11,2.36108992733e+11,2.39689430034e+11,2.36108992733e+11
Coal,2005,8677908,2519524603.14,235757955.485,2481438853.0,30277.715352,-83163.647748,2.41231148812e+11,2.376690389e+11,2.41231148812e+11,2.376690389e+11
Coal,2006,8745900,2347909601.46,219929681.071,2310678668.47,30266.055624,-83048.797752,2.24996896591e+11,2.21523222582e+11,2.24996896591e+11,2.21523222582e+11
Coal,2007,9783095,2396760436.0,224041241.744,2357814126.0,33687.374663,-92808.432345,2.29706669913e+11,2.26068910086e+11,2.29706669913e+11,2.26068910086e+11
Coal,2008,11865677,2411066935.0,227084692.014,2374659607.0,36494.635368,-100605.011548,2.30770713243e+11,2.27358713659e+11,2.30770713243e+11,2.27358713659e+11
Coal,2009,11633404,2252414669.0,212331568.769,2217882968.0,35736.861656,-98123.085384,2.16181551184e+11,2.12949040305e+11,2.16181551184e+11,2.12949040305e+11
Coal,2010,11247720,2336336770.0,219579715.591,2298576782.0,35816.64466,-98308.701588,2.23834907946e+11,2.20300748056e+11,2.23834907946e+11,2.20300748056e+11
Coal,2011,13264864,2231770786.0,208329306.654,2186284289.0,35657.350838,-97412.392022,2.137134449e+11,2.09423507574e+11,2.137134449e+11,2.09423507574e+11
Coal,2012,15195295,2120889983.0,198561454.3,2078020994.0,37317.899924,-102081.694948,2.03319010603e+11,1.99270210075e+11,2.03319010603e+11,1.99270210075e+11
