year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,182005268.442,1.17986681383e+11,648.25970365,0.107456957877,1429.15334267
2002,193401915.629,1.20198652324e+11,621.496699933,0.061736277549,1370.15162467
2003,196784783.561,1.21756916886e+11,618.731360639,0.0570120995319,1364.05515767
2004,203333044.692,1.17123765462e+11,576.01933635,-0.01595515143,1269.89222892
2005,209174800.889,1.22442315677e+11,585.358825044,0.0,1290.48206569
2006,211674020.506,1.18380898357e+11,559.260404624,-0.0445853368966,1232.94548803
2007,213142097.136,1.18850683604e+11,557.612434149,-0.0474006535954,1229.31237233
2008,208701076.358,1.12630230141e+11,539.672492864,-0.0780484212859,1189.76197777
2009,208405922.752,1.08849619525e+11,522.296190473,-0.107733294303,1151.45418152
2010,217988922.5,1.16533332957e+11,534.583737655,-0.0867418158182,1178.54330803
2011,210992032.534,1.08210110533e+11,512.86349173,-0.123847681477,1130.65885387
2012,211508794.884,1.05511868647e+11,498.85333943,-0.14778197904,1099.77207211
2013,213520452.415,1.03167143599e+11,483.172185295,-0.174570939015,1065.2013997
2014,220289215.398,1.07293506143e+11,487.057461933,-0.167933511729,1073.76688058
2015,226260579.789,1.05712734486e+11,467.216757706,-0.201828455101,1030.02606404
2016,222020778.919,1.02426093262e+11,461.335618046,-0.211875522657,1017.06050354
2017,45809745.51,20713675480.1,452.167442746,-0.227538010191,996.848344278
