year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,10362893.03,8183755838.65,789.717293709,0.0770553024504,1741.01074571
2002,11554484.326,8999513496.54,778.876256406,0.0622697623532,1717.11059487
2003,10835894.11,8066853669.8,744.456672233,0.0153266398749,1641.2291796
2004,11325180.3844,8334407716.72,735.918319515,0.00368161431722,1622.4055272
2005,11522805.354,8448738555.39,733.218890351,0.0,1616.45436567
2006,11559173.657,8449883766.84,731.011058193,-0.0030111501308,1611.58697889
2007,11533349.579,8269297900.24,716.990137479,-0.0221335716875,1580.67645709
2008,11376385.076,8155706697.18,716.897911129,-0.0222593545212,1580.47313487
2009,11010532.894,7667954976.76,696.419969005,-0.050188179588,1535.32746367
2010,10836035.966,7606986465.6,702.008233405,-0.0425666296341,1547.64735136
2011,10473212.906,7175728628.41,685.150649835,-0.0655578315672,1510.48312263
2012,10462605.673,7001774579.55,669.219007041,-0.0872861899111,1475.36022292
2013,10260365.421,6803185530.33,663.054896311,-0.0956931074248,1461.77082441
2014,10180785.937,6738701364.22,661.903845727,-0.0972629668476,1459.23321829
2015,9999307.494,6542605642.49,654.305875323,-0.107625452734,1442.48273274
2016,8322119.0,5713247502.83,686.513555361,-0.0636990339504,1513.48778415
2017,1969176.82,1442870026.42,732.727509163,-0.000670169842038,1615.3710667
