year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,248266267.188,1.02142911766e+11,411.424850113,0.0581746033468,907.027224559
2002,251733973.056,98728821550.4,392.19506351,0.00871606479428,864.633237015
2003,254601045.881,1.02636182803e+11,403.125534884,0.0368289685399,888.730554204
2004,260382975.094,1.02368328716e+11,393.145245687,0.0111599100006,866.728008641
2005,271452189.446,1.05542295196e+11,388.806203449,0.0,857.162156123
2006,265024186.408,91900693000.0,346.763419013,-0.108133008328,764.474633557
2007,269531426.388,94803818551.2,351.735676324,-0.0953444847219,775.436472024
2008,258867564.798,83700290660.8,323.332475917,-0.168396818134,712.818776407
2009,247029559.827,71560367632.2,289.683419597,-0.254941364033,638.636066844
2010,259580434.249,78149027220.2,301.059004876,-0.225683638262,663.714682149
2011,254899362.653,70891309456.8,278.11489491,-0.284695325221,613.132097318
2012,250618413.961,66760318640.1,266.382336337,-0.314871177531,587.266498689
2013,246471352.32,63604016569.1,258.058455761,-0.336279993806,568.915671571
2014,242524044.481,61888429246.0,255.184715307,-0.343671183629,562.580223366
2015,247957485.495,62171922675.3,250.736220168,-0.355112603802,552.773070982
2016,219378986.174,51896549546.4,236.561169561,-0.391570485597,521.522754414
2017,45654843.478,10204650548.2,223.517370136,-0.425118817155,492.766394202
