year,generation (MWh),final CO2 (kg),index (g/kWh),index (lb/MWh)
2001,119737421.001,1.15270946303e+11,962.697754294,2122.36346912
2002,215812222.687,1.8538654557e+11,859.017822356,1893.79069117
2003,214471657.846,1.87916217085e+11,876.182051148,1931.63094996
2004,221243714.516,1.82702774528e+11,825.798712194,1820.5558409
2005,229414537.046,1.84641926997e+11,804.83969924,1774.34960094
2006,218434637.291,1.68778994301e+11,772.675050047,1703.43941533
2007,217317487.349,1.63294583326e+11,751.410230802,1656.55899483
2008,220290875.272,1.6346727455e+11,742.05195448,1635.92773885
2009,214717204.661,1.57273638558e+11,732.468731632,1614.80056576
2010,224022705.345,1.64394876047e+11,733.831313187,1617.80451305
2011,230754975.569,1.73065503104e+11,749.996842658,1653.44303932
2012,234982554.106,1.65961362407e+11,706.270995474,1557.04503662
2013,231009583.866,1.6332992472e+11,707.026617628,1558.71088122
2014,226740826.008,1.54913710614e+11,683.219309649,1506.22529005
2015,229212212.264,1.44774705792e+11,631.618640047,1392.46645385
