year,generation (MWh),final CO2 (kg),index (g/kWh),index (lb/MWh)
2001,168717173.0,1.08343874115e+11,642.162692681,1415.71187228
2002,313433042.34,1.90300466663e+11,607.148707878,1338.52004139
2003,308365599.242,1.92748797725e+11,625.065825109,1378.02011804
2004,319903856.381,1.86053586495e+11,581.59219648,1282.17815636
2005,330043442.906,1.93327626336e+11,585.764178903,1291.37570881
2006,334171376.339,1.92595683385e+11,576.33806191,1270.59489129
2007,336948469.474,1.92261596623e+11,570.596438451,1257.93690821
2008,338452620.746,1.95478274032e+11,577.564663558,1273.29905728
2009,331374559.87,1.7845334573e+11,538.524580161,1187.23128942
2010,343094641.968,1.88357871623e+11,548.99683231,1210.31841651
2011,358287086.736,1.9931576443e+11,556.301836735,1226.42302927
2012,350859389.668,1.83046907904e+11,521.710158812,1150.16221612
2013,357885207.34,1.91059893636e+11,533.858035252,1176.94342452
2014,367271270.539,1.92684215576e+11,524.637321327,1156.6154386
2015,375217959.814,1.81754506117e+11,484.397138684,1067.90193194
