fuel category,year,month,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,quarter,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),datetime
Coal,2002,1,157778,1167733.0,51623.345,711454.0,323.053125,-739.231753,1,113503647.6,69153328.8,113503647.6,69153328.8,2002-01-01
Coal,2002,2,157778,1002137.0,44698.28,617299.0,323.053125,-739.231753,1,97407716.4,60001462.8,97407716.4,60001462.8,2002-02-01
Coal,2002,3,157778,1110390.0,48946.119,691772.0,323.053125,-739.231753,1,107929908.0,67240238.4,107929908.0,67240238.4,2002-03-01
Coal,2002,4,157778,990725.0,43484.123,592998.0,323.053125,-739.231753,2,96298470.0,57639405.6,96298470.0,57639405.6,2002-04-01
Coal,2002,5,157778,1108312.0,48711.393,689197.0,323.053125,-739.231753,2,107727926.4,66989948.4,107727926.4,66989948.4,2002-05-01
Coal,2002,6,157778,810273.0,35819.225,497766.0,323.053125,-739.231753,2,78758535.6,48382855.2,78758535.6,48382855.2,2002-06-01
Coal,2002,7,157778,1002806.0,44647.755,630276.0,323.053125,-739.231753,3,97472743.2,61262827.2,97472743.2,61262827.2,2002-07-01
Coal,2002,8,157778,1046970.0,46430.037,657121.0,323.053125,-739.231753,3,101765484.0,63872161.2,101765484.0,63872161.2,2002-08-01
Coal,2002,9,157778,1203517.0,52500.02,728747.0,323.053125,-739.231753,3,116981852.4,70834208.4,116981852.4,70834208.4,2002-09-01
Coal,2002,10,157778,1246098.0,54481.905,748822.0,323.053125,-739.231753,4,121120725.6,72785498.4,121120725.6,72785498.4,2002-10-01
Coal,2002,11,157778,1140738.0,49368.397,687087.0,323.053125,-739.231753,4,110879733.6,66784856.4,110879733.6,66784856.4,2002-11-01
Coal,2002,12,157778,1255886.0,54577.242,753456.0,323.053125,-739.231753,4,122072119.2,73235923.2,122072119.2,73235923.2,2002-12-01
Coal,2003,1,107470,948020.0,45107.769,692350.0,258.227524,-591.583126,1,92147544.0,67296420.0,92147544.0,67296420.0,2003-01-01
Coal,2003,2,107470,847947.0,40940.525,621451.0,258.227524,-591.583126,1,82420448.4,60405037.2,82420448.4,60405037.2,2003-02-01
Coal,2003,3,107470,899818.0,43953.395,665881.0,258.227524,-591.583126,1,87462309.6,64723633.2,87462309.6,64723633.2,2003-03-01
Coal,2003,4,107470,739857.0,36079.032,534435.0,258.227524,-591.583126,2,71914100.4,51947082.0,71914100.4,51947082.0,2003-04-01
Coal,2003,5,107470,824030.0,39902.241,622428.0,258.227524,-591.583126,2,80095716.0,60500001.6,80095716.0,60500001.6,2003-05-01
Coal,2003,6,107470,628308.0,29156.223,436474.0,258.227524,-591.583126,2,61071537.6,42425272.8,61071537.6,42425272.8,2003-06-01
Coal,2003,7,107470,514361.0,22344.891,309051.0,258.227524,-591.583126,3,49995889.2,30039757.2,49995889.2,30039757.2,2003-07-01
Coal,2003,8,107470,541771.0,24305.063,345206.0,258.227524,-591.583126,3,52660141.2,33554023.2,52660141.2,33554023.2,2003-08-01
Coal,2003,9,107470,821624.0,39854.984,611369.0,258.227524,-591.583126,3,79861852.8,59425066.8,79861852.8,59425066.8,2003-09-01
Coal,2003,10,107470,876578.0,43908.42,649927.0,258.227524,-591.583126,4,85203381.6,63172904.4,85203381.6,63172904.4,2003-10-01
Coal,2003,11,107470,885869.0,43574.38,648045.0,258.227524,-591.583126,4,86106466.8,62989974.0,86106466.8,62989974.0,2003-11-01
Coal,2003,12,107470,994390.0,47621.057,728775.0,258.227524,-591.583126,4,96654708.0,70836930.0,96654708.0,70836930.0,2003-12-01
Coal,2004,1,157778,1358283.28,54790.82015,663505.55,323.053125,-739.231753,1,132025134.816,64492739.46,132025134.816,64492739.46,2004-01-01
Coal,2004,2,157778,1243583.44,54522.58612,641129.91,323.053125,-739.231753,1,120876310.368,62317827.252,120876310.368,62317827.252,2004-02-01
Coal,2004,3,157778,1265817.18,56212.19742,662877.58,323.053125,-739.231753,1,123037429.896,64431700.776,123037429.896,64431700.776,2004-03-01
Coal,2004,4,157778,1070806.67,53536.60777,645954.16,323.053125,-739.231753,2,104082408.324,62786744.352,104082408.324,62786744.352,2004-04-01
Coal,2004,5,157778,1007376.9,51931.49428,646221.88,323.053125,-739.231753,2,97917034.68,62812766.736,97917034.68,62812766.736,2004-05-01
Coal,2004,6,157778,1003566.88,51460.37858,639625.42,323.053125,-739.231753,2,97546700.736,62171590.824,97546700.736,62171590.824,2004-06-01
Coal,2004,7,157778,896527.3,46939.13875,543953.23,323.053125,-739.231753,3,87142453.56,52872253.956,87142453.56,52872253.956,2004-07-01
Coal,2004,8,157778,1021626.38,55096.54558,676269.02,323.053125,-739.231753,3,99302084.136,65733348.744,99302084.136,65733348.744,2004-08-01
Coal,2004,9,157778,1024368.58,53263.75275,646715.34,323.053125,-739.231753,3,99568625.976,62860731.048,99568625.976,62860731.048,2004-09-01
Coal,2004,10,157778,1169687.25,56710.56053,680427.77,323.053125,-739.231753,4,113693600.7,66137579.244,113693600.7,66137579.244,2004-10-01
Coal,2004,11,157778,1289963.36,57124.87537,685554.01,323.053125,-739.231753,4,125384438.592,66635849.772,125384438.592,66635849.772,2004-11-01
Coal,2004,12,157778,1214792.61,57390.74055,683344.23,323.053125,-739.231753,4,118077841.692,66421059.156,118077841.692,66421059.156,2004-12-01
Coal,2005,1,162534,2557178.06,178503.174,1912494.31,401.634725,-888.504553,1,243694170.234,181030909.734,243694170.234,181030909.734,2005-01-01
Coal,2005,2,162534,2168790.84,141138.25959,1596135.53,401.634725,-888.504553,1,206923310.121,151261213.989,206923310.121,151261213.989,2005-02-01
Coal,2005,3,162534,1977707.76,121491.18095,1410705.25,401.634725,-888.504553,1,189238289.97,134125645.998,189238289.97,134125645.998,2005-03-01
Coal,2005,4,162534,1551259.13,97973.77659,1078419.07,401.634725,-888.504553,2,148824770.97,102864717.138,148824770.97,102864717.138,2005-04-01
Coal,2005,5,162534,1098348.48,56991.12363,687924.79,401.634725,-888.504553,2,106262837.559,66369654.891,106262837.559,66369654.891,2005-05-01
Coal,2005,6,162534,2219432.15,159606.46355,1857291.71,401.634725,-888.504553,2,210648386.754,175448335.986,210648386.754,175448335.986,2005-06-01
Coal,2005,7,162534,2761993.65,215693.55362,2384753.75,401.634725,-888.504553,3,261766502.166,225098783.886,261766502.166,225098783.886,2005-07-01
Coal,2005,8,162534,2795886.49,243093.93794,2399617.81,401.634725,-888.504553,3,265510975.737,226993660.041,265510975.737,226993660.041,2005-08-01
