fuel category,year,month,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,quarter,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),datetime
Coal,2001,1,10116,39417381.0,4075064.0,39417381.0,200.156378,-573.090633,1,3677641647.3,3677641647.3,3677641647.3,3677641647.3,2001-01-01
Coal,2001,2,10116,32037960.0,3306476.0,32037960.0,200.156378,-573.090633,1,2989141668.0,2989141668.0,2989141668.0,2989141668.0,2001-02-01
Coal,2001,3,10116,29750992.0,2941398.0,29750992.0,200.156378,-573.090633,1,2775767553.6,2775767553.6,2775767553.6,2775767553.6,2001-03-01
Coal,2001,4,10116,30264133.0,3003876.0,30264133.0,200.156378,-573.090633,2,2823643608.9,2823643608.9,2823643608.9,2823643608.9,2001-04-01
Coal,2001,5,10116,35576900.0,3562395.0,35576900.0,200.156378,-573.090633,2,3319324770.0,3319324770.0,3319324770.0,3319324770.0,2001-05-01
Coal,2001,6,10116,35518004.0,3471312.0,35518004.0,200.156378,-573.090633,2,3313829773.2,3313829773.2,3313829773.2,3313829773.2,2001-06-01
Coal,2001,7,10116,37955348.0,3661106.0,37955348.0,200.156378,-573.090633,3,3541233968.4,3541233968.4,3541233968.4,3541233968.4,2001-07-01
Coal,2001,8,10116,39512568.0,3722848.0,39512568.0,200.156378,-573.090633,3,3686522594.4,3686522594.4,3686522594.4,3686522594.4,2001-08-01
Coal,2001,9,10116,35246534.0,3320344.0,35246534.0,200.156378,-573.090633,3,3288501622.2,3288501622.2,3288501622.2,3288501622.2,2001-09-01
Coal,2001,10,10116,35546604.0,3417698.0,35546604.0,200.156378,-573.090633,4,3316498153.2,3316498153.2,3316498153.2,3316498153.2,2001-10-01
Coal,2001,11,10116,27573050.0,2839074.0,27573050.0,200.156378,-573.090633,4,2572565565.0,2572565565.0,2572565565.0,2572565565.0,2001-11-01
Coal,2001,12,10116,34081098.0,3290870.0,34081098.0,200.156378,-573.090633,4,3179766443.4,3179766443.4,3179766443.4,3179766443.4,2001-12-01
Coal,2002,1,144397,55426668.0,5250583.0,54787561.0,405.748285,-1149.802649,1,5171308124.4,5111679441.3,5171308124.4,5111679441.3,2002-01-01
Coal,2002,2,145064,46867783.0,4462184.0,46229931.0,436.165485,-1231.355149,1,4372764153.9,4313252562.3,4372764153.9,4313252562.3,2002-02-01
Coal,2002,3,145064,43439194.0,4116495.0,42755686.0,436.165485,-1231.355149,1,4052876800.2,3989105503.8,4052876800.2,3989105503.8,2002-03-01
Coal,2002,4,145064,44680798.0,4129753.0,44284069.0,436.165485,-1231.355149,2,4168718453.4,4131703637.7,4168718453.4,4131703637.7,2002-04-01
Coal,2002,5,145064,53817840.0,5011016.0,52989391.0,436.165485,-1231.355149,2,5021204472.0,4943910180.3,5021204472.0,4943910180.3,2002-05-01
Coal,2002,6,145064,53689709.0,5049701.0,53002940.0,436.165485,-1231.355149,2,5009249849.7,4945174302.0,5009249849.7,4945174302.0,2002-06-01
Coal,2002,7,145064,61542205.0,5765275.0,60715150.0,436.165485,-1231.355149,3,5741887726.5,5664723495.0,5741887726.5,5664723495.0,2002-07-01
Coal,2002,8,145064,62446045.0,5797523.0,61737496.0,436.165485,-1231.355149,3,5826215998.5,5760108376.8,5826215998.5,5760108376.8,2002-08-01
Coal,2002,9,145064,54283347.0,5103575.0,53568017.0,436.165485,-1231.355149,3,5064636275.1,4997895986.1,5064636275.1,4997895986.1,2002-09-01
Coal,2002,10,145064,49352739.0,4983924.0,48715462.0,436.165485,-1231.355149,4,4604610548.7,4545152604.6,4604610548.7,4545152604.6,2002-10-01
Coal,2002,11,145064,45691994.0,4388584.0,45033416.0,436.165485,-1231.355149,4,4263063040.2,4201617712.8,4263063040.2,4201617712.8,2002-11-01
Coal,2002,12,145064,55148158.0,5303978.0,54002204.0,436.165485,-1231.355149,4,5145323141.4,5038405633.2,5145323141.4,5038405633.2,2002-12-01
Coal,2003,1,94863,60502588.0,5726644.0,59925675.0,435.497234,-1227.517811,1,5644891460.4,5591065477.5,5644891460.4,5591065477.5,2003-01-01
Coal,2003,2,94863,47758158.0,4667836.0,47217392.0,435.497234,-1227.517811,1,4455836141.4,4405382673.6,4455836141.4,4405382673.6,2003-02-01
