fuel category,year,month,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,quarter,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),datetime
Coal,2001,1,6905,6783009.0,676206.0,6783009.0,169.6901,-288.0433,1,632854739.7,632854739.7,632854739.7,632854739.7,2001-01-01
Coal,2001,2,6905,6347846.0,642979.0,6347846.0,169.6901,-288.0433,1,592254031.8,592254031.8,592254031.8,592254031.8,2001-02-01
Coal,2001,3,6905,6774546.0,676114.0,6774546.0,169.6901,-288.0433,1,632065141.8,632065141.8,632065141.8,632065141.8,2001-03-01
Coal,2001,4,6905,5610500.0,572860.0,5610500.0,169.6901,-288.0433,2,523459650.0,523459650.0,523459650.0,523459650.0,2001-04-01
Coal,2001,5,6905,4056210.0,413192.0,4056210.0,169.6901,-288.0433,2,378444393.0,378444393.0,378444393.0,378444393.0,2001-05-01
Coal,2001,6,6905,5904332.0,580037.0,5904332.0,169.6901,-288.0433,2,550874175.6,550874175.6,550874175.6,550874175.6,2001-06-01
Coal,2001,7,6905,6311797.0,625866.0,6311797.0,169.6901,-288.0433,3,588890660.1,588890660.1,588890660.1,588890660.1,2001-07-01
Coal,2001,8,6905,6733850.0,660657.0,6733850.0,169.6901,-288.0433,3,628268205.0,628268205.0,628268205.0,628268205.0,2001-08-01
Coal,2001,9,6905,5870052.0,565065.0,5870052.0,169.6901,-288.0433,3,547675851.6,547675851.6,547675851.6,547675851.6,2001-09-01
Coal,2001,10,6905,5080554.0,493428.0,5080554.0,169.6901,-288.0433,4,474015688.2,474015688.2,474015688.2,474015688.2,2001-10-01
Coal,2001,11,6905,6586233.0,656402.0,6586233.0,169.6901,-288.0433,4,614495538.9,614495538.9,614495538.9,614495538.9,2001-11-01
Coal,2001,12,6905,6388109.0,588440.0,6388109.0,169.6901,-288.0433,4,596010569.7,596010569.7,596010569.7,596010569.7,2001-12-01
Coal,2002,1,410163,38427375.0,3623797.685,36115218.0,1235.643005,-2163.329863,1,3585274087.5,3369549839.4,3585274087.5,3369549839.4,2002-01-01
Coal,2002,2,410163,32517898.0,3077398.574,30829480.0,1235.643005,-2163.329863,1,3033919883.4,2876390484.0,3033919883.4,2876390484.0,2002-02-01
Coal,2002,3,410163,34538155.0,3236144.164,32490817.0,1235.643005,-2163.329863,1,3222409861.5,3031393226.1,3222409861.5,3031393226.1,2002-03-01
Coal,2002,4,410163,32264829.0,3052431.223,30540618.0,1235.643005,-2163.329863,2,3010308545.7,2849439659.4,3010308545.7,2849439659.4,2002-04-01
Coal,2002,5,410163,29512049.0,2718676.381,27855846.0,1235.643005,-2163.329863,2,2753474171.7,2598950431.8,2753474171.7,2598950431.8,2002-05-01
Coal,2002,6,410163,36274398.0,3447092.186,34571363.0,1235.643005,-2163.329863,2,3384401333.4,3225508167.9,3384401333.4,3225508167.9,2002-06-01
Coal,2002,7,410163,43909867.0,3770216.92,42183573.0,1235.643005,-2163.329863,3,4096790591.1,3935727360.9,4096790591.1,3935727360.9,2002-07-01
Coal,2002,8,410163,40813676.0,3860914.385,39032929.0,1235.643005,-2163.329863,3,3807915970.8,3641772275.7,3807915970.8,3641772275.7,2002-08-01
Coal,2002,9,410163,36327998.0,3469954.105,34324192.0,1235.643005,-2163.329863,3,3389402213.4,3202447113.6,3389402213.4,3202447113.6,2002-09-01
Coal,2002,10,410163,39153472.0,3681193.319,37522973.0,1235.643005,-2163.329863,4,3653018937.6,3500893380.9,3653018937.6,3500893380.9,2002-10-01
Coal,2002,11,410163,42889974.0,3905567.275,41341749.0,1235.643005,-2163.329863,4,4001634574.2,3857185181.7,4001634574.2,3857185181.7,2002-11-01
Coal,2002,12,410731,43362075.0,4143930.44,41698317.0,1276.813605,-2236.514263,4,4055093623.5,3899865002.1,4055093623.5,3899865002.1,2002-12-01
Coal,2003,1,413285,41969598.0,4052885.6,41103249.0,1319.305072,-2315.860894,1,3923570790.3,3842740428.6,3923570790.3,3842740428.6,2003-01-01
Coal,2003,2,413285,39089720.0,3806231.549,38227787.0,1319.305072,-2315.860894,1,3654910617.0,3574492268.1,3654910617.0,3574492268.1,2003-02-01
Coal,2003,3,413285,39749441.0,3639738.793,37725499.0,1319.305072,-2315.860894,1,3716739618.9,3527905830.3,3716739618.9,3527905830.3,2003-03-01
Coal,2003,4,413285,34139455.0,3205630.41,32154183.0,1319.305072,-2315.860894,2,3193496436.3,3008270558.7,3193496436.3,3008270558.7,2003-04-01
Coal,2003,5,413285,31681928.0,2998312.946,29705361.0,1319.305072,-2315.860894,2,2965871160.0,2781457458.9,2965871160.0,2781457458.9,2003-05-01
Coal,2003,6,413285,34315660.0,3191493.588,32441819.0,1319.305072,-2315.860894,2,3215229879.6,3040400514.3,3215229879.6,3040400514.3,2003-06-01
Coal,2003,7,413285,41411773.0,3871581.322,39338375.0,1319.305072,-2315.860894,3,3876678265.2,3683230231.8,3876678265.2,3683230231.8,2003-07-01
Coal,2003,8,413285,42223190.0,3942428.397,40084849.0,1319.305072,-2315.860894,3,3951518911.5,3752011696.2,3951518911.5,3752011696.2,2003-08-01
Coal,2003,9,413285,37563222.0,3500280.888,35552137.0,1319.305072,-2315.860894,3,3516663085.2,3329028854.7,3516663085.2,3329028854.7,2003-09-01
Coal,2003,10,413285,37943726.0,3605772.253,36399455.0,1319.305072,-2315.860894,4,3553659282.6,3409578798.3,3553659282.6,3409578798.3,2003-10-01
Coal,2003,11,413285,36918244.0,3420892.051,35431954.0,1319.305072,-2315.860894,4,3449832063.9,3311161206.9,3449832063.9,3311161206.9,2003-11-01
Coal,2003,12,413285,37226543.0,3549508.104,36284246.0,1319.305072,-2315.860894,4,3481559132.1,3393642822.0,3481559132.1,3393642822.0,2003-12-01
Coal,2004,1,365387,40642534.67,3786691.54767,38054360.26,1318.590215,-2324.437742,1,3811457493.71,3569980821.26,3811457493.71,3569980821.26,2004-01-01
Coal,2004,2,365387,40339325.62,3845205.19745,37988631.06,1318.590215,-2324.437742,1,3786394508.65,3567074706.2,3786394508.65,3567074706.2,2004-02-01
Coal,2004,3,365387,39558647.26,3711525.809,37188007.38,1318.590215,-2324.437742,1,3713503171.46,3492322470.65,3713503171.46,3492322470.65,2004-03-01
Coal,2004,4,365387,34064429.37,3201268.79941,31896501.91,1318.590215,-2324.437742,2,3198373881.92,2996106249.9,3198373881.92,2996106249.9,2004-04-01
Coal,2004,5,365387,31888944.15,2977966.46199,29764868.96,1318.590215,-2324.437742,2,2995736276.9,2797560061.67,2995736276.9,2797560061.67,2004-05-01
Coal,2004,6,365387,37391914.58,3491531.19155,35241130.42,1318.590215,-2324.437742,2,3510565054.61,3309896892.49,3510565054.61,3309896892.49,2004-06-01
Coal,2004,7,365387,41830929.33,3947293.36458,39520760.8,1318.590215,-2324.437742,3,3927738730.99,3712200007.14,3927738730.99,3712200007.14,2004-07-01
Coal,2004,8,365387,41205000.24,3818737.98748,38930007.01,1318.590215,-2324.437742,3,3869486377.99,3657229509.63,3869486377.99,3657229509.63,2004-08-01
Coal,2004,9,365387,36231831.98,3389486.87386,34014632.9,1318.590215,-2324.437742,3,3398553418.73,3191688744.57,3398553418.73,3191688744.57,2004-09-01
Coal,2004,10,365387,33118884.41,3066096.31153,31103906.41,1318.590215,-2324.437742,4,3103426171.35,2915428723.95,3103426171.35,2915428723.95,2004-10-01
Coal,2004,11,365387,34450334.23,3124548.05295,32352997.01,1318.590215,-2324.437742,4,3233009811.76,3037328249.13,3233009811.76,3037328249.13,2004-11-01
Coal,2004,12,365387,37626861.7,3552695.27043,35205169.84,1318.590215,-2324.437742,4,3533501918.01,3307558067.47,3533501918.01,3307558067.47,2004-12-01
Coal,2005,1,415834,38163026.99,3527829.49741,35665648.92,1362.275072,-2394.790894,1,3584406952.81,3351401578.88,3584406952.81,3351401578.88,2005-01-01
Coal,2005,2,415834,35243880.52,3284597.28147,32842500.29,1362.275072,-2394.790894,1,3312020394.45,3087971618.99,3312020394.45,3087971618.99,2005-02-01
