fuel category,year,month,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,quarter,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),datetime
Coal,2001,1,165167,339374326.0,34104316.512,339374326.0,1955.984473,-4911.578537,1,31954714106.7,31954714106.7,31954714106.7,31954714106.7,2001-01-01
Coal,2001,2,165167,264390420.0,26227222.363,264390420.0,1955.984473,-4911.578537,1,24910960332.9,24910960332.9,24910960332.9,24910960332.9,2001-02-01
Coal,2001,3,165167,296489352.0,29231751.465,296489352.0,1955.984473,-4911.578537,1,27895524137.4,27895524137.4,27895524137.4,27895524137.4,2001-03-01
Coal,2001,4,165167,272969956.0,27467396.306,272969956.0,1955.984473,-4911.578537,2,25680674214.3,25680674214.3,25680674214.3,25680674214.3,2001-04-01
Coal,2001,5,165167,297148602.0,29509655.764,297148602.0,1955.984473,-4911.578537,2,27983344865.7,27983344865.7,27983344865.7,27983344865.7,2001-05-01
Coal,2001,6,165167,330605223.0,32600401.208,330605223.0,1955.984473,-4911.578537,2,31134999012.0,31134999012.0,31134999012.0,31134999012.0,2001-06-01
Coal,2001,7,165167,364342329.0,36088938.467,364342329.0,1955.984473,-4911.578537,3,34310536010.4,34310536010.4,34310536010.4,34310536010.4,2001-07-01
Coal,2001,8,165167,369369801.0,36239984.99,369369801.0,1955.984473,-4911.578537,3,34776444742.2,34776444742.2,34776444742.2,34776444742.2,2001-08-01
Coal,2001,9,165167,310986557.0,30473233.202,310986557.0,1955.984473,-4911.578537,3,29297213833.5,29297213833.5,29297213833.5,29297213833.5,2001-09-01
Coal,2001,10,165167,277743555.0,27486497.817,277743555.0,1955.984473,-4911.578537,4,26168001031.2,26168001031.2,26168001031.2,26168001031.2,2001-10-01
Coal,2001,11,165167,257609876.0,25623996.005,257609876.0,1955.984473,-4911.578537,4,24255873648.6,24255873648.6,24255873648.6,24255873648.6,2001-11-01
Coal,2001,12,165167,285905283.0,28521680.899,285905283.0,1955.984473,-4911.578537,4,26961896765.4,26961896765.4,26961896765.4,26961896765.4,2001-12-01
Coal,2002,1,2522307,368935800.0,35621172.005,355431925.0,4640.242243,-11062.250696,1,34703440395.3,33450310275.0,34703440395.3,33450310275.0,2002-01-01
Coal,2002,2,2522307,322052828.0,31161367.591,311199914.0,4640.242243,-11062.250696,1,30296849710.3,29289933438.4,30296849710.3,29289933438.4,2002-02-01
Coal,2002,3,2522307,355343462.0,34293543.336,342763448.0,4640.242243,-11062.250696,1,33387799468.8,32219660237.1,33387799468.8,32219660237.1,2002-03-01
Coal,2002,4,2587096,342458244.0,32970646.453,330348974.0,4705.340987,-11242.192007,2,32214851833.8,31090721092.5,32214851833.8,31090721092.5,2002-04-01
Coal,2002,5,2587096,364447594.0,34781180.023,351472871.0,4705.340987,-11242.192007,2,34265948962.0,33061195358.2,34265948962.0,33061195358.2,2002-05-01
Coal,2002,6,2587096,410330496.0,38919651.964,399278399.0,4705.340987,-11242.192007,2,38586123423.9,37561525682.4,38586123423.9,37561525682.4,2002-06-01
Coal,2002,7,2587096,454341357.0,43342636.963,439320320.0,4705.340987,-11242.192007,3,42718086513.6,41323904613.6,42718086513.6,41323904613.6,2002-07-01
Coal,2002,8,2587096,443438574.0,41544879.155,431940144.0,4705.340987,-11242.192007,3,41668811766.5,40603860655.4,41668811766.5,40603860655.4,2002-08-01
Coal,2002,9,2696857,411778785.0,39576712.291,398222905.0,4774.603387,-11406.471507,3,38737143889.2,37478492368.2,38737143889.2,37478492368.2,2002-09-01
Coal,2002,10,2696857,388653022.0,37168274.916,375694966.0,4774.603387,-11406.471507,4,36565651401.1,35364086511.4,36565651401.1,35364086511.4,2002-10-01
Coal,2002,11,2696857,355927857.0,34029274.47,343711604.0,4774.603387,-11406.471507,4,33480789176.6,32347679150.0,33480789176.6,32347679150.0,2002-11-01
Coal,2002,12,2696857,390944488.0,37846497.137,377472651.0,4774.603387,-11406.471507,4,36749410988.2,35499965378.2,36749410988.2,35499965378.2,2002-12-01
Coal,2003,1,2408533,401113475.0,39727384.655,392987198.0,4801.77411,-11496.815568,1,37692905642.3,36934723998.2,37692905642.3,36934723998.2,2003-01-01
Coal,2003,2,2408533,350421016.0,34569030.923,342621072.0,4801.77411,-11496.815568,1,32945027731.1,32217292955.9,32945027731.1,32217292955.9,2003-02-01
Coal,2003,3,2408533,345748689.0,33600387.207,337767192.0,4801.77411,-11496.815568,1,32519891715.0,31775218044.9,32519891715.0,31775218044.9,2003-03-01
Coal,2003,4,2408533,300987115.0,28958741.119,294387235.0,4801.77411,-11496.815568,2,28318124191.1,27702355387.1,28318124191.1,27702355387.1,2003-04-01
Coal,2003,5,2358288,347440729.0,33547126.142,340188068.0,4767.03911,-11409.504768,2,32686649933.8,32009976662.5,32686649933.8,32009976662.5,2003-05-01
Coal,2003,6,2358288,389591217.0,37631473.979,383085753.0,4767.03911,-11409.504768,2,36644696051.7,36037736260.5,36644696051.7,36037736260.5,2003-06-01
Coal,2003,7,2358288,431378313.0,41597189.817,423174186.0,4767.03911,-11409.504768,3,40562196326.3,39796751277.2,40562196326.3,39796751277.2,2003-07-01
Coal,2003,8,2358288,449492825.0,43814757.005,441874988.0,4767.03911,-11409.504768,3,42278770153.1,41568025961.0,42278770153.1,41568025961.0,2003-08-01
Coal,2003,9,2358288,398271970.0,38767022.854,391268035.0,4767.03911,-11409.504768,3,37467857359.4,36814390223.9,37467857359.4,36814390223.9,2003-09-01
Coal,2003,10,2358288,354827564.0,34812663.291,347983069.0,4767.03911,-11409.504768,4,33390747227.0,32752155843.5,33390747227.0,32752155843.5,2003-10-01
Coal,2003,11,2358288,353549501.0,34310456.351,346172048.0,4767.03911,-11409.504768,4,33294924892.1,32606608527.2,33294924892.1,32606608527.2,2003-11-01
Coal,2003,12,2358288,412424497.0,40122881.736,404023162.0,4767.03911,-11409.504768,4,38815556075.9,38031711520.4,38815556075.9,38031711520.4,2003-12-01
Coal,2004,1,2480715,417145499.28,40634154.6812,403793652.31,4873.962077,-11652.395811,1,39242563901.4,37996836579.1,39242563901.4,37996836579.1,2004-01-01
Coal,2004,2,2480715,371076186.69,36138379.5064,358464367.83,4873.962077,-11652.395811,1,34912904991.9,33736222292.2,34912904991.9,33736222292.2,2004-02-01
Coal,2004,3,2480715,347141387.51,33704943.8598,334842925.73,4873.962077,-11652.395811,1,32638177126.0,31490730641.9,32638177126.0,31490730641.9,2004-03-01
Coal,2004,4,2480715,322520740.82,31150412.2065,311993950.5,4873.962077,-11652.395811,2,30345430365.3,29363280828.5,30345430365.3,29363280828.5,2004-04-01
