year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),index (lb/MWh)
2001,1,4440650.884,4429303755.04,2001-01-01,1,997.444714918,2198.96661851
2001,2,3487339.044,3624621607.85,2001-02-01,1,1039.36599284,2291.38626782
2001,3,3334977.402,3400548697.59,2001-03-01,1,1019.66169113,2247.94616426
2001,4,3398857.945,3447853566.33,2001-04-01,2,1014.41531895,2236.38001215
2001,5,4120561.377,4012898318.05,2001-05-01,2,973.87174972,2146.99765943
2001,6,4158118.4,4193142143.85,2001-06-01,2,1008.42297897,2223.16929944
2001,7,4439337.789,4530082471.82,2001-07-01,3,1020.44104034,2249.66431753
2001,8,4696320.024,4709674552.38,2001-08-01,3,1002.84361549,2210.86903471
2001,9,4077189.521,4043832435.73,2001-09-01,3,991.818608113,2186.56330345
2001,10,4169411.068,4132175014.78,2001-10-01,4,991.069229536,2184.91122343
2001,11,3434762.343,3422772771.48,2001-11-01,4,996.509344659,2196.90450124
2001,12,3984441.203,3979308073.72,2001-12-01,4,998.711706607,2201.75982839
2002,1,14766631.342,9276460575.82,2002-01-01,1,628.204250582,1384.93909083
2002,2,12551824.956,7587785975.1,2002-02-01,1,604.516554501,1332.71719605
2002,3,14594865.294,8791359712.82,2002-03-01,1,602.359770764,1327.96235063
2002,4,15061730.647,9343374494.62,2002-04-01,2,620.338705664,1367.59871051
2002,5,16969107.186,10964903003.1,2002-05-01,2,646.168527482,1424.54313569
2002,6,17137272.903,10556779493.2,2002-06-01,2,616.012801628,1358.06182247
2002,7,18590373.136,11975159184.0,2002-07-01,3,644.159162186,1420.11328896
2002,8,19189292.087,12150762336.1,2002-08-01,3,633.205346032,1395.96450586
2002,9,18539068.063,11654437122.0,2002-09-01,3,628.642016005,1385.90418848
2002,10,17525071.647,10845274009.3,2002-10-01,4,618.843347849,1364.30204467
2002,11,14152184.551,8142017800.62,2002-11-01,4,575.318797694,1268.3478214
2002,12,14517603.453,8910340050.33,2002-12-01,4,613.761085235,1353.09768851
2003,1,16470090.843,10218113583.7,2003-01-01,1,620.404203057,1367.74310606
2003,2,13060060.033,7926376936.01,2003-02-01,1,606.917343104,1338.00997461
2003,3,15302617.278,9199723259.83,2003-03-01,1,601.18626067,1325.37523027
2003,4,14776377.035,8805590357.3,2003-04-01,2,595.923502523,1313.77295366
2003,5,18044909.054,11648284546.1,2003-05-01,2,645.516389762,1423.10543287
2003,6,18093569.031,11310682533.0,2003-06-01,2,625.121694544,1378.14328779
2003,7,19420969.355,12158421084.0,2003-07-01,3,626.046046505,1380.18111413
2003,8,18882112.974,11724036789.1,2003-08-01,3,620.907035417,1368.85165028
2003,9,18179782.354,11110136792.4,2003-09-01,3,611.125951678,1347.28827307
2003,10,15342483.078,10715010428.8,2003-10-01,4,698.388283979,1539.66681086
2003,11,14671910.465,8105923297.99,2003-11-01,4,552.47905972,1217.99533506
2003,12,14886957.271,8834617277.54,2003-12-01,4,593.446808284,1308.31283354
2004,1,15321909.7962,8880329526.34,2004-01-01,1,579.583723207,1277.75027618
2004,2,14112131.1426,7841629310.59,2004-02-01,1,555.665847442,1225.02092727
2004,3,14662221.0265,8131720494.5,2004-03-01,1,554.603595171,1222.67908591
2004,4,14860759.159,8311958493.73,2004-04-01,2,559.32260289,1233.08261033
2004,5,17696337.422,10359185925.7,2004-05-01,2,585.385872719,1290.541695
2004,6,20243605.814,11766242020.9,2004-06-01,2,581.232519986,1281.38521356
2004,7,20621933.498,11968718845.4,2004-07-01,3,580.38781119,1279.52296855
2004,8,20045486.794,11712573621.0,2004-08-01,3,584.299784854,1288.14730569
2004,9,18044480.515,10671089809.3,2004-09-01,3,591.376947673,1303.74961884
2004,10,17357921.555,9962613032.28,2004-10-01,4,573.951956212,1265.33448267
2004,11,14929816.49,8412112827.43,2004-11-01,4,563.443819492,1242.16824445
2004,12,15457152.78,9110575295.04,2004-12-01,4,589.408374538,1299.40970251
2005,1,15747388.477,9213599798.41,2005-01-01,1,585.087477321,1289.8838525
2005,2,13686005.128,7753711882.33,2005-02-01,1,566.543108073,1249.00093606
