year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),index (lb/MWh)
2001,1,6782531.526,1831131811.26,2001-01-01,1,269.977633608,595.192691051
2001,2,5304627.567,1339318328.69,2001-02-01,1,252.481123656,556.619885213
2001,3,6013784.19,1762312349.51,2001-03-01,1,293.04549246,646.048092677
2001,4,5551322.158,949622716.057,2001-04-01,2,171.062440447,377.12425621
2001,5,5091979.541,1104009154.02,2001-05-01,2,216.813352279,477.986716433
2001,6,6023100.259,1264011520.41,2001-06-01,2,209.86061431,462.658710309
2001,7,5950636.159,1213240066.79,2001-07-01,3,203.884094804,449.482875405
2001,8,6388013.975,1640257485.71,2001-08-01,3,256.771117304,566.077605208
2001,9,5701265.333,1110134798.64,2001-09-01,3,194.717266045,429.273684723
2001,10,5956612.313,1076432967.39,2001-10-01,4,180.712275842,398.398283322
2001,11,5828661.861,1026848867.71,2001-11-01,4,176.172317454,388.389491058
2001,12,6297346.735,1159549523.03,2001-12-01,4,184.133028055,405.939673651
2002,1,22024579.74,8205315553.74,2002-01-01,1,372.552650294,821.329572838
2002,2,19136731.011,6990029845.02,2002-02-01,1,365.267706433,805.269185603
2002,3,20511850.198,7768884487.54,2002-03-01,1,378.75103477,834.994531254
2002,4,19040935.449,6959423772.7,2002-04-01,2,365.497997267,805.776884775
2002,5,20353509.566,7326195456.34,2002-05-01,2,359.947528095,793.540320438
2002,6,22240894.365,8478305423.53,2002-06-01,2,381.203439232,840.40110213
2002,7,25556719.48,10850898873.8,2002-07-01,3,424.581053226,936.031389943
2002,8,25380928.113,11005693729.9,2002-08-01,3,433.620617848,955.960014108
2002,9,21930555.909,9147434984.93,2002-09-01,3,417.109124953,919.558776871
2002,10,21064600.431,8700911007.83,2002-10-01,4,413.058440692,910.62863835
2002,11,20803568.819,8337524017.68,2002-11-01,4,400.773736959,883.545780501
2002,12,22772645.73,9441526501.51,2002-12-01,4,414.59945469,914.025957809
2003,1,23258938.203,9775618140.94,2003-01-01,1,420.295116467,926.582613764
2003,2,20820384.004,9078836082.52,2003-02-01,1,436.055169817,961.327227378
2003,3,21208535.829,8890998877.11,2003-03-01,1,419.21794832,924.207888867
2003,4,19903698.682,8144094510.7,2003-04-01,2,409.174929786,902.067050207
2003,5,19395894.329,6668453908.9,2003-05-01,2,343.807498422,757.95801102
2003,6,21359047.214,8323586625.31,2003-06-01,2,389.698404705,859.129103012
2003,7,25179635.492,10555538662.0,2003-07-01,3,419.209351357,924.188936001
2003,8,25829141.036,11289602864.8,2003-08-01,3,437.087816781,963.603800876
2003,9,21954958.478,8645383580.67,2003-09-01,3,393.778179509,868.123374547
2003,10,21195935.146,8595174725.07,2003-10-01,4,405.510521988,893.988496774
