year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),index (lb/MWh)
2006,1,86131193.747,55505640809.7,2006-01-01,1,644.431342409,1420.71333748
2006,2,79822122.067,52778324815.3,2006-02-01,1,661.199219572,1457.67979947
2006,3,81988709.836,54854086299.0,2006-03-01,1,669.044389267,1474.97526058
2006,4,72275387.2041,46858514276.0,2006-04-01,2,648.332940005,1429.31479953
2006,5,79343559.171,50184137031.5,2006-05-01,2,632.491629514,1394.39104643
2006,6,86452341.71,55584968138.0,2006-06-01,2,642.955032085,1417.45866373
2006,7,99309873.745,65151565027.3,2006-07-01,3,656.043176478,1446.31278686
2006,8,98792289.1141,65488985276.2,2006-08-01,3,662.895716492,1461.41989658
2006,9,78344420.3541,50273368633.3,2006-09-01,3,641.696861194,1414.68490019
2006,10,79856966.3349,52384969550.5,2006-10-01,4,655.984968559,1446.18446169
2006,11,79035807.744,50492080662.6,2006-11-01,4,638.850694437,1408.41024095
2006,12,85433985.959,54118029408.4,2006-12-01,4,633.448490094,1396.50054126
2007,1,87656516.815,56194182478.1,2007-01-01,1,641.072501166,1413.30843607
2007,2,83940847.708,55031157687.7,2007-02-01,1,655.594495295,1445.32362433
2007,3,81962158.879,53140979636.6,2007-03-01,1,648.359930527,1429.37430284
2007,4,74714720.506,47951469736.7,2007-04-01,2,641.794139254,1414.8993594
2007,5,78829458.712,50626540549.6,2007-05-01,2,642.228696947,1415.85738529
2007,6,87683359.694,57964410900.9,2007-06-01,2,661.065122313,1457.38416865
2007,7,93957414.154,62344034109.4,2007-07-01,3,663.535013929,1462.82929171
2007,8,101201394.068,66799030821.2,2007-08-01,3,660.060381938,1455.16911802
2007,9,85273256.166,56610888630.1,2007-09-01,3,663.876239461,1463.58155752
2007,10,81139393.584,55385636273.2,2007-10-01,4,682.598597633,1504.85686834
2007,11,79398486.328,51452241646.7,2007-11-01,4,648.025472855,1428.63695746
2007,12,87588604.658,56758039056.8,2007-12-01,4,648.007115519,1428.59648687
2008,1,92413884.124,60836647421.5,2008-01-01,1,658.306357299,1451.3021953
2008,2,84094099.489,55478438500.7,2008-02-01,1,659.718563345,1454.41554475
2008,3,82611547.574,53826184665.9,2008-03-01,1,651.557636269,1436.42396492
2008,4,74789423.527,47926835838.3,2008-04-01,2,640.823709798,1412.75995062
2008,5,75147728.322,47406213065.4,2008-05-01,2,630.840267882,1390.75045457
2008,6,89149330.537,57956650621.2,2008-06-01,2,650.107524892,1433.22704938
2008,7,96418656.242,63740154546.1,2008-07-01,3,661.076984792,1457.41032067
2008,8,90608085.393,60165836029.4,2008-08-01,3,664.022816159,1463.9047005
2008,9,80437361.782,51861242530.1,2008-09-01,3,644.74071975,1421.39539076
2008,10,76150710.598,48968859015.9,2008-10-01,4,643.051898418,1417.67221525
2008,11,77467385.376,49081519886.7,2008-11-01,4,633.576564492,1396.78289408
2008,12,85847640.697,55045509399.8,2008-12-01,4,641.20002545,1413.58957611
2009,1,89084069.527,57902382197.6,2009-01-01,1,649.974597086,1432.93399674
2009,2,74684158.72,46985332140.6,2009-02-01,1,629.120458018,1386.95896175
2009,3,75176821.273,46544741528.3,2009-03-01,1,619.136866127,1364.94913506
2009,4,67900625.619,44088588904.8,2009-04-01,2,649.31049608,1431.46991966
2009,5,69059085.073,41887219173.5,2009-05-01,2,606.541762453,1337.1819695
2009,6,77678280.589,48650180803.5,2009-06-01,2,626.303523129,1380.74874709
2009,7,81534357.698,51627747688.5,2009-07-01,3,633.202359669,1395.95792213
2009,8,87700941.61,55890179880.6,2009-08-01,3,637.281411745,1404.95060033
2009,9,72708721.725,43921527229.6,2009-09-01,3,604.075084634,1331.74393158
2009,10,72874234.619,45850368693.8,2009-10-01,4,629.171186957,1387.07079876
2009,11,71591473.132,44409973471.0,2009-11-01,4,620.324900831,1367.56827637
2009,12,85532735.083,54111935546.6,2009-12-01,4,632.64591614,1394.73118672
2010,1,89523854.034,57088182437.5,2010-01-01,1,637.686827198,1405.84437924
2010,2,78768275.654,50580225316.6,2010-02-01,1,642.139552969,1415.66085847
2010,3,74822748.194,47564807846.6,2010-03-01,1,635.699823846,1401.46383165
2010,4,68770024.915,41389071829.7,2010-04-01,2,601.847561941,1326.83313506
2010,5,75809874.715,45864342038.3,2010-05-01,2,604.991661189,1333.76461626
2010,6,87419252.157,56816360700.6,2010-06-01,2,649.929612742,1432.83482425
2010,7,97600917.989,64016985403.0,2010-07-01,3,655.905566485,1446.00941187
2010,8,95304659.835,62335834564.3,2010-08-01,3,654.069115531,1441.9607721
2010,9,78185144.693,48368301563.2,2010-09-01,3,618.638000264,1363.84933538
