year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,24913664.149,15122356869.7,2001-01-01,1,606.990476362,0.0346372595789,1338.17120419
2001,2,20546996.982,12561090543.3,2001-02-01,1,611.334617621,0.0420420057534,1347.74829801
2001,3,21689696.765,13579062457.7,2001-03-01,1,626.060502588,0.0671428102298,1380.212984
2001,4,21622356.342,13175350212.7,2001-04-01,2,609.339241491,0.0386408148413,1343.34929179
2001,5,25261060.812,15275306311.3,2001-05-01,2,604.697737161,0.0307292025402,1333.11663135
2001,6,27862396.261,16909137920.9,2001-06-01,2,606.880246856,0.0344493693916,1337.92819222
2001,7,32059601.29,19544306276.4,2001-07-01,3,609.624121636,0.0391264033718,1343.97733856
2001,8,31732288.604,19632012739.3,2001-08-01,3,618.676231782,0.0545560530936,1363.93362059
2001,9,26063424.898,15547422961.2,2001-09-01,3,596.522637451,0.0167944488817,1315.09380652
2001,10,22388728.616,13456023379.4,2001-10-01,4,601.017753627,0.0244565372727,1325.00373965
2001,11,21573713.339,12783851601.4,2001-11-01,4,592.566119728,0.010050421069,1306.37126755
2001,12,22633747.764,13961932977.3,2001-12-01,4,616.863505014,0.0514661946374,1359.93728315
2002,1,24036439.936,14470026109.9,2002-01-01,1,602.003713878,0.0261371422427,1327.17738761
2002,2,21692130.697,12874175274.3,2002-02-01,1,593.495192062,0.0116340585258,1308.41950042
2002,3,22439606.846,12997310186.3,2002-03-01,1,579.21291917,-0.0127105930983,1276.9328016
2002,4,23044234.335,14065392759.8,2002-04-01,2,610.364942282,0.0403891590043,1345.61055176
2002,5,25824920.251,15572382716.0,2002-05-01,2,602.998288653,0.0278324309836,1329.37002717
2002,6,28391000.427,17287259389.1,2002-06-01,2,608.8992684,0.0378908647676,1342.37932711
2002,7,30887726.748,18662671919.9,2002-07-01,3,604.20995278,0.0298977563887,1332.0412619
2002,8,32219637.252,19292064711.7,2002-08-01,3,598.767284708,0.0206205314604,1320.04235587
2002,9,27450792.273,16532537604.7,2002-09-01,3,602.26085427,0.026575447359,1327.74427932
2002,10,23462256.991,14847511097.5,2002-10-01,4,632.825354492,0.078673745406,1395.12677651
2002,11,21232006.945,13461064860.5,2002-11-01,4,633.99870278,0.0806737600764,1397.71354015
2002,12,23449512.85,14797014134.5,2002-12-01,4,631.015843661,0.0755893686321,1391.13752893
2003,1,24505517.018,15686715249.2,2003-01-01,1,640.12994452,0.0911246837714,1411.23047569
2003,2,21479007.389,13664594423.1,2003-02-01,1,636.183701396,0.0843981693857,1402.5305881
2003,3,21514677.867,13303380759.9,2003-03-01,1,618.339760517,0.053982525631,1363.19183604
2003,4,21881847.034,14019424790.5,2003-04-01,2,640.687450592,0.0920749730704,1412.45955358
2003,5,26524351.72,17305774856.1,2003-05-01,2,652.448551383,0.1121221955,1438.38807638
2003,6,27531190.868,17847187163.2,2003-06-01,2,648.253366471,0.104971350817,1429.13937172
2003,7,29748246.579,18651493870.2,2003-07-01,3,626.977923579,0.0687065875492,1382.23553032
2003,8,31605518.807,19104664256.9,2003-08-01,3,604.472414249,0.0303451314718,1332.61988445
2003,9,25615245.478,15503457773.3,2003-09-01,3,605.243380807,0.0316592719039,1334.31955733
2003,10,23602706.632,14980765066.1,2003-10-01,4,634.705387803,0.0818783303039,1399.27149795
2003,11,21736074.844,13423936000.5,2003-11-01,4,617.587862427,0.052700888093,1361.53420151
2003,12,22782285.836,14243241463.5,2003-12-01,4,625.189305673,0.0656578235235,1378.29234329
2004,1,24089219.2873,14563314275.4,2004-01-01,1,604.557337526,0.0304898862745,1332.80710631
2004,2,23165806.0369,13734214694.2,2004-02-01,1,592.86582441,0.0105612785594,1307.03199649
2004,3,22611478.4029,12584568454.9,2004-03-01,1,556.556640422,-0.0513290411119,1226.98476947
2004,4,22068931.8688,13326973543.2,2004-04-01,2,603.879409411,0.0293343332394,1331.31254599
2004,5,26936942.6719,15576670622.3,2004-05-01,2,578.264237782,-0.0143276548967,1274.84133861
2004,6,28458230.5831,16359362410.1,2004-06-01,2,574.855220262,-0.0201384487762,1267.32581859
2004,7,31379182.5755,18157024084.9,2004-07-01,3,578.632793931,-0.0136994375862,1275.6538575
2004,8,31219200.515,18132943426.5,2004-08-01,3,580.826642814,-0.00995994267748,1280.49041675
2004,9,28651185.1227,16557670454.1,2004-09-01,3,577.90525534,-0.0149395534756,1274.04992592
2004,10,26594860.7289,15348041665.4,2004-10-01,4,577.105547641,-0.0163026842238,1272.28689033
2004,11,22564094.9809,12833415601.2,2004-11-01,4,568.753837108,-0.0305384774288,1253.87470929
2004,12,25394723.6328,15046983213.4,2004-12-01,4,592.523999509,0.00997862563015,1306.27840932
2005,1,25183833.999,14909885160.6,2005-01-01,1,592.041909153,0.00915688515138,1305.21559292
2005,2,22099137.724,13021307761.9,2005-02-01,1,589.222435937,0.00435099089879,1298.99978227
2005,3,23261264.564,13542905996.7,2005-03-01,1,582.208502011,-0.00760451360944,1283.53686353
2005,4,22680971.448,13172339193.5,2005-04-01,2,580.766093891,-0.0100631505109,1280.35693059
2005,5,27110552.865,15885193359.6,2005-05-01,2,585.941328408,-0.00124177576591,1291.76625261
2005,6,31531152.615,18077644863.8,2005-06-01,2,573.326483954,-0.0227442352019,1263.95556653
2005,7,32821247.099,18958634280.5,2005-07-01,3,577.632965112,-0.0154036820351,1273.44963489
2005,8,33874489.537,19325936750.2,2005-08-01,3,570.515955054,-0.0275348835433,1257.75947451
2005,9,30533642.175,17826104332.2,2005-09-01,3,583.818472425,-0.00486026070535,1287.08620431
2005,10,25330118.776,15600272783.7,2005-10-01,4,615.87839053,0.0497870313073,1357.76549976
2005,11,23719744.825,14423460757.1,2005-11-01,4,608.078242981,0.0364913971934,1340.56929448
2005,12,25529044.119,15146792666.0,2005-12-01,4,593.316091091,0.0113287744311,1308.02465442
2006,1,23313484.695,14313054890.5,2006-01-01,1,613.938888921,0.0464810805429,1353.48967452
2006,2,22290973.661,13156209068.2,2006-02-01,1,590.203428002,0.00602312741719,1301.16247737
2006,3,23962871.996,13443385177.0,2006-03-01,1,561.008929949,-0.0437399522965,1236.80028697
2006,4,25111626.793,13714690851.4,2006-04-01,2,546.149039424,-0.0690691741028,1204.04017231
2006,5,29010910.021,16178923845.2,2006-05-01,2,557.684120679,-0.0494072101616,1229.47041245
2006,6,31159398.381,17709914474.1,2006-06-01,2,568.365096705,-0.03120109953,1253.0176922
2006,7,33923790.618,19420094370.4,2006-07-01,3,572.462393399,-0.0242171088605,1262.05059249
2006,8,35827922.697,20352752688.7,2006-08-01,3,568.069571347,-0.0317048332102,1252.36617699
2006,9,28984241.303,16884670384.3,2006-09-01,3,582.546571007,-0.00702826275562,1284.28217044
2006,10,26196112.389,16070998960.9,2006-10-01,4,613.487937532,0.0457124175605,1352.49550708
2006,11,23478399.942,13583530616.1,2006-11-01,4,578.55435846,-0.0138331336891,1275.48093866
2006,12,25116953.883,14594631299.7,2006-12-01,4,581.066930637,-0.00955036337776,1281.02015528
2007,1,28318905.228,16258878016.4,2007-01-01,1,574.135118767,-0.0213658878641,1265.73828283
2007,2,23441302.68,13366654261.5,2007-02-01,1,570.218065266,-0.0280426474806,1257.10274669
2007,3,23866664.921,13411570510.6,2007-03-01,1,561.937352997,-0.0421574215718,1238.84708842
2007,4,23237398.786,13835741101.0,2007-04-01,2,595.408342751,0.0148950931916,1312.63723243
2007,5,26899482.498,15295736602.3,2007-05-01,2,568.625682795,-0.0307569210978,1253.59218029
2007,6,29875358.682,17041060886.2,2007-06-01,2,570.405231535,-0.0277236157941,1257.51537344
2007,7,31463669.944,17976888817.8,2007-07-01,3,571.353845556,-0.0261066688255,1259.60668791
2007,8,35033711.367,19607380242.7,2007-08-01,3,559.671798324,-0.0460191415983,1233.85244659
2007,9,30564570.373,17262945889.3,2007-09-01,3,564.802504294,-0.0372736673759,1245.16360097
2007,10,27803012.782,15690740805.7,2007-10-01,4,564.353975907,-0.0380382002625,1244.17477528
2007,11,24847628.516,14448544606.2,2007-11-01,4,581.485858776,-0.00883628518526,1281.94372426
2007,12,26107256.895,15155026178.1,2007-12-01,4,580.490943153,-0.0105321549124,1279.75033328
2008,1,27503554.598,15675691118.3,2008-01-01,1,569.951460726,-0.0284970845791,1256.51499032
2008,2,23683660.138,13380839004.0,2008-02-01,1,564.981887344,-0.0369679024677,1245.55906884
2008,3,25168903.575,13519338013.9,2008-03-01,1,537.144495532,-0.0844177454224,1184.18875485
2008,4,24509988.005,14991314661.3,2008-04-01,2,611.641044388,0.0425643212793,1348.42384646
2008,5,29496034.646,16989164079.6,2008-05-01,2,575.981289808,-0.0182190224343,1269.80835151
2008,6,33337309.255,19253042885.4,2008-06-01,2,577.522401049,-0.0155921424871,1273.20588535
2008,7,34692644.513,20205591209.9,2008-07-01,3,582.417151923,-0.00724886227344,1283.99685313
2008,8,33913509.299,19784688755.7,2008-08-01,3,583.386655189,-0.00559630882984,1286.13422003
