year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),index (lb/MWh)
2001,1,148481740.261,1.11313986983e+11,2001-01-01,1,749.681319652,1652.7474373
2001,2,123869349.635,91881373266.4,2001-02-01,1,741.760359097,1635.28488767
2001,3,130034886.907,95566251107.2,2001-03-01,1,734.927782692,1620.22178972
2001,4,122202364.495,89373790550.5,2001-04-01,2,731.358930081,1612.35389726
2001,5,134134681.294,98685666556.2,2001-05-01,2,735.720736831,1621.96993642
2001,6,146013678.568,1.07159601692e+11,2001-06-01,2,733.901116272,1617.95840093
2001,7,161682517.316,1.20593695869e+11,2001-07-01,3,745.867258072,1644.33895715
2001,8,165027547.434,1.23600974882e+11,2001-08-01,3,748.971773524,1651.18317191
2001,9,135583116.284,1.00253621506e+11,2001-09-01,3,739.425558682,1630.13758667
2001,10,128965570.846,92777060920.1,2001-10-01,4,719.394023626,1585.97606449
2001,11,121275226.745,87193561439.9,2001-11-01,4,718.972569915,1585.04692763
2001,12,133457524.123,96144402877.5,2001-12-01,4,720.41200756,1588.22031187
2002,1,318492407.196,1.93609766669e+11,2002-01-01,1,607.894449898,1340.16410424
2002,2,280577322.87,1.69502144603e+11,2002-02-01,1,604.119188498,1331.84116296
2002,3,301045310.168,1.83746069588e+11,2002-03-01,1,610.360179619,1345.60005199
2002,4,288235922.999,1.73974523178e+11,2002-04-01,2,603.583763493,1330.660765
2002,5,306157289.731,1.85101729743e+11,2002-05-01,2,604.596839441,1332.89419223
2002,6,339249272.831,2.06877425295e+11,2002-06-01,2,609.809487781,1344.38599676
2002,7,379285033.906,2.36910231e+11,2002-07-01,3,624.623198443,1377.04430329
2002,8,372203785.617,2.34152649812e+11,2002-08-01,3,629.097980356,1386.90940749
2002,9,329244623.38,2.08024361773e+11,2002-09-01,3,631.823109631,1392.91722749
2002,10,305210305.768,1.93697019754e+11,2002-10-01,4,634.634598154,1399.11543509
2002,11,294689461.449,1.83263531568e+11,2002-11-01,4,621.886954038,1371.01197887
2002,12,323193622.744,2.01202239152e+11,2002-12-01,4,622.543964338,1372.46042378
2003,1,337334031.192,2.14397776818e+11,2003-01-01,1,635.565217244,1401.16707794
2003,2,295223750.87,1.85974702986e+11,2003-02-01,1,629.94492292,1388.77657707
2003,3,300511013.179,1.85923755874e+11,2003-03-01,1,618.691987051,1363.96835465
2003,4,282142222.055,1.6926862085e+11,2003-04-01,2,599.940766103,1322.62941295
2003,5,303863880.823,1.82415722733e+11,2003-05-01,2,600.320519301,1323.46661685
2003,6,324436655.606,1.99012857027e+11,2003-06-01,2,613.410518166,1352.32482835
2003,7,369956112.551,2.31573238224e+11,2003-07-01,3,625.947863457,1379.96465978
2003,8,377589607.679,2.37162861531e+11,2003-08-01,3,628.096898612,1384.70242268
2003,9,318754787.046,2.003959717e+11,2003-09-01,3,628.683802861,1385.99631179
2003,10,301949790.086,1.9165020344e+11,2003-10-01,4,634.708848067,1399.27912645
2003,11,293404739.697,1.84831690925e+11,2003-11-01,4,629.954686882,1388.7981027
2003,12,327275028.883,2.04080351099e+11,2003-12-01,4,623.57446517,1374.73226591
2004,1,345050961.107,2.13769328158e+11,2004-01-01,1,619.529728224,1365.81523884
2004,2,312642720.001,1.90472036533e+11,2004-02-01,1,609.232278084,1343.11348026
2004,3,307225826.669,1.82974147012e+11,2004-03-01,1,595.568897954,1312.99119243
2004,4,288956988.076,1.70043677493e+11,2004-04-01,2,588.474010008,1297.34980246
2004,5,325728377.221,1.93416424497e+11,2004-05-01,2,593.796666251,1309.08413042
2004,6,343463058.893,2.05053575118e+11,2004-06-01,2,597.017844594,1316.18554019
2004,7,375668437.546,2.26498744492e+11,2004-07-01,3,602.921943539,1329.20171673
2004,8,366750036.053,2.21834282927e+11,2004-08-01,3,604.865060995,1333.48551347
2004,9,334108884.332,2.00963976228e+11,2004-09-01,3,601.492464442,1326.05028711
2004,10,310992300.845,1.88213060283e+11,2004-10-01,4,605.20167146,1334.2276049
2004,11,300309960.317,1.83377491583e+11,2004-11-01,4,610.627404398,1346.18917574
2004,12,340159639.199,2.0601908251e+11,2004-12-01,4,605.654106982,1335.22504425
2005,1,342684869.526,2.08309984161e+11,2005-01-01,1,607.876222983,1340.12392119
2005,2,298159264.258,1.79480411645e+11,2005-02-01,1,601.961545925,1327.08442415
2005,3,317037431.282,1.9069658672e+11,2005-03-01,1,601.49549518,1326.05696867
2005,4,289119355.31,1.6844875225e+11,2005-04-01,2,582.627033287,1284.45955759
2005,5,314634313.023,1.82353238005e+11,2005-05-01,2,579.571999801,1277.72443076
2005,6,363128981.642,2.16703970966e+11,2005-06-01,2,596.768591662,1315.63603718
2005,7,401819062.057,2.41228175223e+11,2005-07-01,3,600.340297417,1323.51021969
2005,8,404515798.29,2.44983558613e+11,2005-08-01,3,605.621732572,1335.15367163
2005,9,349766168.469,2.13885448153e+11,2005-09-01,3,611.50982409,1348.13455819
2005,10,316015688.655,1.94193403262e+11,2005-10-01,4,614.50557752,1354.7389962
2005,11,305690964.195,1.84256545183e+11,2005-11-01,4,602.754306684,1328.83214452
2005,12,347652242.748,2.09758852053e+11,2005-12-01,4,603.358259376,1330.16361862
2006,1,328650692.432,1.92050470908e+11,2006-01-01,1,584.360463344,1288.28107749
2006,2,307326954.823,1.8124987927e+11,2006-02-01,1,589.762389618,1300.19016415
2006,3,318722846.314,1.8689267725e+11,2006-03-01,1,586.379920396,1292.7331725
2006,4,297852026.246,1.67655766179e+11,2006-04-01,2,562.882745142,1240.93129994
2006,5,330608656.658,1.87998479137e+11,2006-05-01,2,568.643546838,1253.63156336
2006,6,364252526.451,2.09523525014e+11,2006-06-01,2,575.215021994,1268.11903749
2006,7,410413045.432,2.43171780945e+11,2006-07-01,3,592.504998688,1306.23652011
2006,8,407754826.206,2.43984649868e+11,2006-08-01,3,598.361157704,1319.14700827
2006,9,331970800.893,1.96574112102e+11,2006-09-01,3,592.142777536,1305.43796736
2006,10,321559106.002,1.94067399495e+11,2006-10-01,4,603.520148777,1330.52051999
2006,11,309095663.567,1.84993349988e+11,2006-11-01,4,598.498690835,1319.45021381
2006,12,336220367.588,1.9873094119e+11,2006-12-01,4,591.073475457,1303.08058399
2007,1,353471307.432,2.04944596003e+11,2007-01-01,1,579.80546566,1278.23912959
2007,2,323213328.343,1.92528875999e+11,2007-02-01,1,595.671215003,1313.2167606
2007,3,320454575.422,1.86599165847e+11,2007-03-01,1,582.295214855,1283.72803067
2007,4,303043827.149,1.75225403821e+11,2007-04-01,2,578.218026973,1274.73946227
2007,5,330183928.475,1.90953599407e+11,2007-05-01,2,578.324936314,1274.9751546
2007,6,362630850.809,2.13999473923e+11,2007-06-01,2,590.130358311,1301.00138793
2007,7,393201631.3,2.33086711362e+11,2007-07-01,3,592.791821822,1306.86885039
2007,8,421763996.895,2.51092773104e+11,2007-08-01,3,595.339514404,1312.48549345
2007,9,355371976.916,2.12606152886e+11,2007-09-01,3,598.263697468,1318.93214744
2007,10,332474602.409,1.99767969853e+11,2007-10-01,4,600.851819675,1324.63792165
2007,11,313984880.705,1.8587604841e+11,2007-11-01,4,591.990442318,1305.10212913
2007,12,346133223.677,2.04685777594e+11,2007-12-01,4,591.34969888,1303.68954615
2008,1,362954091.181,2.14454393686e+11,2008-01-01,1,590.858179856,1302.60594331
2008,2,325095825.395,1.92788986554e+11,2008-02-01,1,593.022030719,1307.37636892
2008,3,324619475.564,1.88162964741e+11,2008-03-01,1,579.641638612,1277.87795648
2008,4,305856385.912,1.75446814346e+11,2008-04-01,2,573.624820103,1264.6132784
2008,5,325235125.836,1.85688055206e+11,2008-05-01,2,570.934811327,1258.68288505
2008,6,373097878.394,2.13227606173e+11,2008-06-01,2,571.505812605,1259.94171447
2008,7,402888797.512,2.3553594998e+11,2008-07-01,3,584.617769059,1288.84833367
2008,8,388975950.026,2.28962526131e+11,2008-08-01,3,588.629004223,1297.69150271
2008,9,338047179.44,1.99735120762e+11,2008-09-01,3,590.849836678,1302.58754994
2008,10,318540741.434,1.85610464176e+11,2008-10-01,4,582.689873014,1284.59809405
2008,11,310040439.621,1.80478967895e+11,2008-11-01,4,582.114281982,1283.32914606
2008,12,343890873.035,1.97034308843e+11,2008-12-01,4,572.955912159,1263.13860394
2009,1,354989942.53,2.02324034431e+11,2009-01-01,1,569.94300455,1256.49634783
2009,2,300885142.542,1.68224900687e+11,2009-02-01,1,559.100058134,1232.59198816
2009,3,310600208.786,1.672522964e+11,2009-03-01,1,538.480952908,1187.13510878
2009,4,289534149.189,1.54229007229e+11,2009-04-01,2,532.679850239,1174.34599784
2009,5,311302787.355,1.63975901749e+11,2009-05-01,2,526.740872263,1161.25292699
2009,6,347655331.355,1.88377897189e+11,2009-06-01,2,541.852461905,1194.56793752
2009,7,372501346.362,2.06367069323e+11,2009-07-01,3,554.003552842,1221.3562326
2009,8,381184895.2,2.14986130467e+11,2009-08-01,3,563.994358576,1243.38196292
2009,9,327333696.846,1.80110865208e+11,2009-09-01,3,550.236248035,1213.05083242
2009,10,306947341.531,1.72891608587e+11,2009-10-01,4,563.261462781,1241.76622085
2009,11,296590073.782,1.64609544864e+11,2009-11-01,4,555.006925098,1223.56826707
