year,nerc,month,final co2 (kg),generation (mwh),index,datetime
2001,ASCC,1,278675112.92999995,518671.80799999996,537.2860229372636,2001-01-01
2001,ASCC,2,270548863.89000005,465585.412,581.0939452072008,2001-02-01
2001,ASCC,3,295563098.7599999,502360.773,588.3482840329173,2001-03-01
2001,ASCC,4,236316425.20000005,424283.69800000003,556.977386390179,2001-04-01
2001,ASCC,5,231217890.02999994,416352.432,555.3417543865817,2001-05-01
2001,ASCC,6,215345967.70999998,401533.954,536.3082388544406,2001-06-01
2001,ASCC,7,235329800.16999996,433237.039,543.1894759349049,2001-07-01
2001,ASCC,8,259319232.86,446533.039,580.7391843630187,2001-08-01
2001,ASCC,9,245907160.63000003,517426.75700000004,475.2501823750874,2001-09-01
2001,ASCC,10,256980308.66999993,473908.4149999999,542.2573234324188,2001-10-01
2001,ASCC,11,269627048.24,480892.73800000007,560.6802243705331,2001-11-01
2001,ASCC,12,285609816.54999995,543180.818,525.8098354828134,2001-12-01
2001,FRCC,1,10581247603.438877,16093465.662999999,657.4871954252777,2001-01-01
2001,FRCC,2,7964147451.015205,12210569.959999997,652.2338823744152,2001-02-01
2001,FRCC,3,8301311403.713935,13424554.968000002,618.3677167326366,2001-03-01
2001,FRCC,4,9063254544.69053,14106705.865,642.4784518388008,2001-04-01
2001,FRCC,5,10143259749.43073,15051686.993,673.8952088326045,2001-05-01
2001,FRCC,6,11143075399.169981,17158000.164,649.4390542407026,2001-06-01
2001,FRCC,7,11778841506.686829,17467963.783,674.3110790136923,2001-07-01
2001,FRCC,8,12600351685.759295,18847581.283,668.5394532360747,2001-08-01
2001,FRCC,9,10294295417.968102,16553553.571,621.878279718898,2001-09-01
2001,FRCC,10,10022419261.104097,14909839.044000002,672.2017073106706,2001-10-01
2001,FRCC,11,7648811179.896155,12878337.587000001,593.9284576308378,2001-11-01
2001,FRCC,12,8575085244.599217,13557801.564,632.4834601037843,2001-12-01
2001,HICC,1,725072044.7901998,915857.408,791.6866080425914,2001-01-01
2001,HICC,2,626256266.9843,790168.305,792.5606013573273,2001-02-01
2001,HICC,3,694173640.9858,854549.5700000001,812.3269443407478,2001-03-01
2001,HICC,4,632883190.2400999,814390.496,777.1249705744355,2001-04-01
2001,HICC,5,684094860.5865,866499.9870000001,789.4920609923794,2001-05-01
2001,HICC,6,680619139.1507,853812.241,797.1531754493784,2001-06-01
2001,HICC,7,729692312.2451,917785.1060000001,795.0579144014786,2001-07-01
2001,HICC,8,745338041.0336001,937608.5290000001,794.9352186765358,2001-08-01
2001,HICC,9,714137805.8864001,880724.8960000001,810.8522980669778,2001-09-01
2001,HICC,10,704641439.3931999,895094.2350000002,787.2259834107855,2001-10-01
2001,HICC,11,674337927.9642001,848303.008,794.925777233835,2001-11-01
2001,HICC,12,682832078.4492999,856768.2479999999,796.9857426944468,2001-12-01
2001,MRO,1,14677893257.63433,17334925.413000003,846.7237618817165,2001-01-01
2001,MRO,2,12874750131.84173,15068133.167999998,854.435648284797,2001-02-01
2001,MRO,3,13698398466.049812,15333368.857000003,893.3717432745517,2001-03-01
2001,MRO,4,11694776158.924456,13995227.022,835.6260416884044,2001-04-01
2001,MRO,5,11983254276.666744,14161354.470999999,846.1940770712557,2001-05-01
2001,MRO,6,13222370096.671333,15709410.990000002,841.684650372199,2001-06-01
2001,MRO,7,15292090747.202257,17953190.260999996,851.7756746789183,2001-07-01
2001,MRO,8,15645468922.135353,17912785.41,873.4246832098545,2001-08-01
2001,MRO,9,12703349619.08579,15311772.093999999,829.6459443818177,2001-09-01
2001,MRO,10,12985995299.532974,15630865.135,830.7918459647675,2001-10-01
2001,MRO,11,13105977309.750278,14762794.968000002,887.7707329918853,2001-11-01
2001,MRO,12,14200805239.902676,16379589.144000001,866.9817731725319,2001-12-01
2001,NPCC,1,10775869463.59623,22385117.323000006,481.3854360514949,2001-01-01
2001,NPCC,2,8814823148.769617,19862712.299999997,443.7874855978062,2001-02-01
2001,NPCC,3,9644686755.077423,21316684.370999996,452.4477909987921,2001-03-01
2001,NPCC,4,7285170183.251059,18807799.593999997,387.34835230672866,2001-04-01
2001,NPCC,5,7938006824.383503,19503053.513999995,407.013538607445,2001-05-01
2001,NPCC,6,9347196942.74054,22932388.437,407.598055842252,2001-06-01
2001,NPCC,7,9672039016.68861,23134283.968000002,418.08248874558853,2001-07-01
2001,NPCC,8,11778953900.673037,26001973.188,453.0023093058593,2001-08-01
2001,NPCC,9,8060313718.050687,21386145.062000003,376.8941852158604,2001-09-01
2001,NPCC,10,8069490663.539623,21143366.050000004,381.6559125191715,2001-10-01
2001,NPCC,11,7278735322.211795,19733493.467,368.85183732844393,2001-11-01
2001,NPCC,12,8131218765.863601,21550407.952000003,377.31159354266316,2001-12-01
2001,RFC,1,58347267193.316505,86496927.504,674.5588413024067,2001-01-01
2001,RFC,2,50551728175.34333,74238551.376,680.9363496239475,2001-02-01
2001,RFC,3,53119105094.30601,78955665.38899998,672.7712930110586,2001-03-01
2001,RFC,4,47353618035.021965,69107081.28000002,685.220923209882,2001-04-01
2001,RFC,5,49014695986.79261,73005269.15900001,671.385730803105,2001-05-01
2001,RFC,6,53960833517.43739,79613333.31400001,677.7863866673245,2001-06-01
2001,RFC,7,60074724060.6261,86210882.569,696.8345790050869,2001-07-01
2001,RFC,8,63394741549.61025,90513258.53299999,700.3917721788497,2001-08-01
2001,RFC,9,50301430155.275635,72355441.061,695.1989984121373,2001-09-01
2001,RFC,10,47900470895.98347,72505110.80899997,660.6495785127141,2001-10-01
2001,RFC,11,45550358899.81835,70434467.59,646.7055187378943,2001-11-01
2001,RFC,12,48985332831.393906,76496596.02700001,640.3596418081687,2001-12-01
2001,SERC,1,58682925801.885704,88894360.84799999,660.1422772162942,2001-01-01
2001,SERC,2,46789719860.09335,73902807.865,633.1250626575006,2001-02-01
2001,SERC,3,49486852169.2527,78902855.80199996,627.187085514823,2001-03-01
2001,SERC,4,47163619943.10468,73987831.262,637.4510394296126,2001-04-01
2001,SERC,5,51257104992.681244,80263759.80699998,638.6083223105005,2001-05-01
2001,SERC,6,56157376221.25778,88622507.58899997,633.6694565414008,2001-06-01
2001,SERC,7,63024443928.64974,97744490.68000002,644.7876856300963,2001-07-01
