fuel category,year,nerc,month,generation (mwh)
Coal,2001,ASCC,1,26493.302
Coal,2001,ASCC,2,31263.703999999998
Coal,2001,ASCC,3,28459.894
Coal,2001,ASCC,4,20455.924000000003
Coal,2001,ASCC,5,24096.733999999997
Coal,2001,ASCC,6,22252.216
Coal,2001,ASCC,7,31302.854
Coal,2001,ASCC,8,36761.45
Coal,2001,ASCC,9,34227.36
Coal,2001,ASCC,10,20401.771
Coal,2001,ASCC,11,22520.932
Coal,2001,ASCC,12,21963.742
Coal,2001,FRCC,1,6032942.902
Coal,2001,FRCC,2,4883584.096
Coal,2001,FRCC,3,4619165.57
Coal,2001,FRCC,4,4550133.318
Coal,2001,FRCC,5,5224463.822
Coal,2001,FRCC,6,5432599.345
Coal,2001,FRCC,7,5530287.327
Coal,2001,FRCC,8,5668470.34
Coal,2001,FRCC,9,5197500.518
Coal,2001,FRCC,10,5108772.3
Coal,2001,FRCC,11,4207407.199
Coal,2001,FRCC,12,4796177.238
Coal,2001,HICC,1,139755.807
Coal,2001,HICC,2,135663.482
Coal,2001,HICC,3,141195.727
Coal,2001,HICC,4,115734.622
Coal,2001,HICC,5,146137.072
Coal,2001,HICC,6,142428.412
Coal,2001,HICC,7,143754.937
Coal,2001,HICC,8,145429.536
Coal,2001,HICC,9,141780.955
Coal,2001,HICC,10,139223.692
Coal,2001,HICC,11,145474.177
Coal,2001,HICC,12,134503.86
Coal,2001,MRO,1,13271172.800000004
Coal,2001,MRO,2,11596351.785999998
Coal,2001,MRO,3,12141297.966000002
Coal,2001,MRO,4,10551502.682
Coal,2001,MRO,5,10604087.805
Coal,2001,MRO,6,11615174.371000001
Coal,2001,MRO,7,13322709.849999996
Coal,2001,MRO,8,13582660.803000003
Coal,2001,MRO,9,11274432.643
Coal,2001,MRO,10,11768345.303
Coal,2001,MRO,11,11808074.957
Coal,2001,MRO,12,12882822.347
Coal,2001,NPCC,1,4381678.906
Coal,2001,NPCC,2,3883445.545
Coal,2001,NPCC,3,4134938.632
Coal,2001,NPCC,4,3401159.318
Coal,2001,NPCC,5,2844429.0039999997
Coal,2001,NPCC,6,3593813.2259999993
Coal,2001,NPCC,7,3951251.1739999996
Coal,2001,NPCC,8,4147473.6870000004
Coal,2001,NPCC,9,2797469.6660000007
Coal,2001,NPCC,10,3283184.9220000003
Coal,2001,NPCC,11,3035533.545
Coal,2001,NPCC,12,3468204.435
Coal,2001,RFC,1,57887014.692999996
Coal,2001,RFC,2,49171694.325
Coal,2001,RFC,3,51038428.627
Coal,2001,RFC,4,45011793.52700001
Coal,2001,RFC,5,47121807.036000006
Coal,2001,RFC,6,50542900.567
Coal,2001,RFC,7,56178758.01399999
Coal,2001,RFC,8,58435809.64
Coal,2001,RFC,9,47981002.639
Coal,2001,RFC,10,46378465.39699997
Coal,2001,RFC,11,45058958.474
Coal,2001,RFC,12,48899932.289000005
Coal,2001,SERC,1,53856566.56699997
Coal,2001,SERC,2,43469331.029
Coal,2001,SERC,3,46668462.37799996
Coal,2001,SERC,4,43111672.312
Coal,2001,SERC,5,46580363.69399998
Coal,2001,SERC,6,51133405.36399998
Coal,2001,SERC,7,56131263.14800003
Coal,2001,SERC,8,57419270.66599998
Coal,2001,SERC,9,47896621.10700003
Coal,2001,SERC,10,44543411.07100002
Coal,2001,SERC,11,42209943.333
Coal,2001,SERC,12,46955260.321999975
Coal,2001,SPP,1,11469797.997
Coal,2001,SPP,2,9205406.704000002
Coal,2001,SPP,3,8730614.054000001
Coal,2001,SPP,4,8621578.024
Coal,2001,SPP,5,10667188.376
Coal,2001,SPP,6,11166437.731999999
Coal,2001,SPP,7,12057586.92
Coal,2001,SPP,8,12398015.550999999
Coal,2001,SPP,9,10859818.42
Coal,2001,SPP,10,9981381.691
Coal,2001,SPP,11,9708711.803
Coal,2001,SPP,12,11155818.535
Coal,2001,TRE,1,9038277.794
Coal,2001,TRE,2,8077505.608
Coal,2001,TRE,3,8556658.421
Coal,2001,TRE,4,7707946.645
Coal,2001,TRE,5,8817549.816
Coal,2001,TRE,6,9584170.332
Coal,2001,TRE,7,10210176.253
Coal,2001,TRE,8,9814530.7
Coal,2001,TRE,9,8946426.429
Coal,2001,TRE,10,7536235.147
Coal,2001,TRE,11,7960876.879
Coal,2001,TRE,12,8819886.731
Coal,2001,WECC,1,20365409.477000006
Coal,2001,WECC,2,18541425.517999995
Coal,2001,WECC,3,18255139.737000003
Coal,2001,WECC,4,16973954.644
Coal,2001,WECC,5,18920213.395
Coal,2001,WECC,6,18887513.091000006
Coal,2001,WECC,7,21056395.133
Coal,2001,WECC,8,20839815.440999996
Coal,2001,WECC,9,18408979.828
Coal,2001,WECC,10,19741785.139999997
Coal,2001,WECC,11,19457581.711000003
Coal,2001,WECC,12,19873678.120000005
Coal,2002,ASCC,1,51623.345
Coal,2002,ASCC,2,44698.28
Coal,2002,ASCC,3,48946.119000000006
Coal,2002,ASCC,4,43484.12299999999
Coal,2002,ASCC,5,48711.393
Coal,2002,ASCC,6,35819.225
Coal,2002,ASCC,7,44647.755000000005
Coal,2002,ASCC,8,46430.037
Coal,2002,ASCC,9,52500.02
Coal,2002,ASCC,10,54481.905
Coal,2002,ASCC,11,49368.397
Coal,2002,ASCC,12,54577.242
Coal,2002,FRCC,1,5250583.0
Coal,2002,FRCC,2,4462184.0
Coal,2002,FRCC,3,4116495.0
Coal,2002,FRCC,4,4129753.0
Coal,2002,FRCC,5,5011016.0
Coal,2002,FRCC,6,5049701.0
Coal,2002,FRCC,7,5765275.0
Coal,2002,FRCC,8,5797523.0
Coal,2002,FRCC,9,5103575.0
Coal,2002,FRCC,10,4983924.0
Coal,2002,FRCC,11,4388584.0
Coal,2002,FRCC,12,5303978.0
Coal,2002,HICC,1,139593.29
Coal,2002,HICC,2,120018.547
Coal,2002,HICC,3,132057.55
Coal,2002,HICC,4,134872.797
Coal,2002,HICC,5,145079.244
Coal,2002,HICC,6,137604.547
Coal,2002,HICC,7,144695.41999999998
Coal,2002,HICC,8,133833.068
Coal,2002,HICC,9,139028.014
Coal,2002,HICC,10,109873.098
Coal,2002,HICC,11,136722.974
Coal,2002,HICC,12,135217.986
Coal,2002,MRO,1,13078454.768000003
Coal,2002,MRO,2,11702745.274999999
Coal,2002,MRO,3,12181337.488000002
Coal,2002,MRO,4,10510727.092999997
Coal,2002,MRO,5,11082847.474999998
Coal,2002,MRO,6,12140164.536000004
Coal,2002,MRO,7,13930485.332999997
Coal,2002,MRO,8,13180573.603000002
Coal,2002,MRO,9,11714233.124
Coal,2002,MRO,10,11937559.319999998
Coal,2002,MRO,11,12325459.878999999
Coal,2002,MRO,12,13392199.228999998
Coal,2002,NPCC,1,3691844.685
Coal,2002,NPCC,2,3144393.574
Coal,2002,NPCC,3,3296329.1640000003
Coal,2002,NPCC,4,3113405.2229999998
Coal,2002,NPCC,5,2787265.381
Coal,2002,NPCC,6,3510922.186
Coal,2002,NPCC,7,3837617.9200000004
Coal,2002,NPCC,8,3920517.3850000002
Coal,2002,NPCC,9,3536830.1049999995
Coal,2002,NPCC,10,3720665.319
Coal,2002,NPCC,11,3981622.275
Coal,2002,NPCC,12,4223604.4399999995
Coal,2002,RFC,1,53710558.364
Coal,2002,RFC,2,46999340.446
Coal,2002,RFC,3,50225115.58200002
Coal,2002,RFC,4,46560049.81900002
Coal,2002,RFC,5,48543093.06999999
Coal,2002,RFC,6,54091749.54699998
Coal,2002,RFC,7,60963855.491999984
Coal,2002,RFC,8,59757666.45000001
Coal,2002,RFC,9,53032014.303999975
Coal,2002,RFC,10,51638928.21300001
Coal,2002,RFC,11,51410405.235
Coal,2002,RFC,12,56151390.816
Coal,2002,SERC,1,47650044.55000001
Coal,2002,SERC,2,41416849.515999995
Coal,2002,SERC,3,45236398.27199999
Coal,2002,SERC,4,43003227.116000004
Coal,2002,SERC,5,45061945.062
Coal,2002,SERC,6,51080049.61000001
Coal,2002,SERC,7,56422551.523
Coal,2002,SERC,8,54900526.003999986
Coal,2002,SERC,9,51516191.12300002
Coal,2002,SERC,10,48055839.288
