fuel category,year,nerc,month,generation (mwh)
Coal,2001,-,1,4984145.332
Coal,2001,-,2,4022096.2650000006
Coal,2001,-,3,3791937.999
Coal,2001,-,4,4118597.0609999998
Coal,2001,-,5,4489386.853999999
Coal,2001,-,6,4732567.993
Coal,2001,-,7,5238023.472
Coal,2001,-,8,5387826.289000001
Coal,2001,-,9,4449061.995000001
Coal,2001,-,10,4234624.831
Coal,2001,-,11,4600808.151000001
Coal,2001,-,12,4662212.316000001
Coal,2001,FRCC,1,5667653.902
Coal,2001,FRCC,2,4515816.096
Coal,2001,FRCC,3,4309194.57
Coal,2001,FRCC,4,4374880.318
Coal,2001,FRCC,5,5044914.822
Coal,2001,FRCC,6,5198710.345
Coal,2001,FRCC,7,5309263.327
Coal,2001,FRCC,8,5290161.34
Coal,2001,FRCC,9,4730025.518
Coal,2001,FRCC,10,4725067.3
Coal,2001,FRCC,11,3790958.199
Coal,2001,FRCC,12,4409732.238
Coal,2001,MRO,1,11358282.423000002
Coal,2001,MRO,2,10151711.396999998
Coal,2001,MRO,3,10261533.706
Coal,2001,MRO,4,9137889.899999999
Coal,2001,MRO,5,9389362.167
Coal,2001,MRO,6,10003070.845000003
Coal,2001,MRO,7,11361357.593999997
Coal,2001,MRO,8,11563042.812000005
Coal,2001,MRO,9,9695969.348000001
Coal,2001,MRO,10,10107971.089
Coal,2001,MRO,11,10040394.029000001
Coal,2001,MRO,12,11026621.05
Coal,2001,NPCC,1,4033043.5889999997
Coal,2001,NPCC,2,3572956.9149999996
Coal,2001,NPCC,3,3794961.1410000003
Coal,2001,NPCC,4,3126129.638
Coal,2001,NPCC,5,2558320.843
Coal,2001,NPCC,6,3251614.0779999993
Coal,2001,NPCC,7,3612484.13
Coal,2001,NPCC,8,3777903.2910000007
Coal,2001,NPCC,9,2475502.0890000006
Coal,2001,NPCC,10,3003327.353
Coal,2001,NPCC,11,2752096.302
Coal,2001,NPCC,12,3107165.165
Coal,2001,RFC,1,51873678.526999995
Coal,2001,RFC,2,44019733.45499999
Coal,2001,RFC,3,45363977.249
Coal,2001,RFC,4,40482175.93300001
Coal,2001,RFC,5,42151053.326000005
Coal,2001,RFC,6,45454576.57700001
Coal,2001,RFC,7,50263529.89199999
Coal,2001,RFC,8,52075433.449
Coal,2001,RFC,9,42908958.603999995
Coal,2001,RFC,10,41777932.175999984
Coal,2001,RFC,11,40152124.59799999
Coal,2001,RFC,12,44195906.641
Coal,2001,SERC,1,55114521.877999984
Coal,2001,SERC,2,44661244.095000006
Coal,2001,SERC,3,48178812.927999966
Coal,2001,SERC,4,43918804.56999999
Coal,2001,SERC,5,47408070.19699998
Coal,2001,SERC,6,52024870.440999985
Coal,2001,SERC,7,57644827.39300003
Coal,2001,SERC,8,59098543.62099997
Coal,2001,SERC,9,49381896.957000025
Coal,2001,SERC,10,45982595.72500002
Coal,2001,SERC,11,43776780.05699999
Coal,2001,SERC,12,48461895.25699997
Coal,2001,SPP,1,7706026.297
Coal,2001,SPP,2,5910225.794
Coal,2001,SPP,3,5715713.926
Coal,2001,SPP,4,5220755.181
Coal,2001,SPP,5,7271384.405
Coal,2001,SPP,6,7152759.54
Coal,2001,SPP,7,7604382.077
Coal,2001,SPP,8,7866256.696
Coal,2001,SPP,9,7098120.128
Coal,2001,SPP,10,6681765.177
Coal,2001,SPP,11,6180473.921
Coal,2001,SPP,12,7319841.966
Coal,2001,TRE,1,8634004.794
Coal,2001,TRE,2,7623702.608
Coal,2001,TRE,3,8527768.421
Coal,2001,TRE,4,7696859.645
Coal,2001,TRE,5,8264013.816
Coal,2001,TRE,6,9312120.332
Coal,2001,TRE,7,9858708.253
Coal,2001,TRE,8,9448208.7
Coal,2001,TRE,9,8618454.429
Coal,2001,TRE,10,6934628.147
Coal,2001,TRE,11,7312785.879
Coal,2001,TRE,12,8476958.731
Coal,2001,WECC,1,20378421.477000006
Coal,2001,WECC,2,18558364.517999995
Coal,2001,WECC,3,18276100.737000003
Coal,2001,WECC,4,16984857.644
Coal,2001,WECC,5,18942316.395
Coal,2001,WECC,6,18905342.091000006
Coal,2001,WECC,7,21072901.133
Coal,2001,WECC,8,20856051.440999996
Coal,2001,WECC,9,18418363.828
Coal,2001,WECC,10,19760360.139999997
Coal,2001,WECC,11,19471001.711000003
Coal,2001,WECC,12,19889473.120000005
Coal,2002,-,1,4580830.497
Coal,2002,-,2,3579966.884
Coal,2002,-,3,3857799.708
Coal,2002,-,4,3799648.351
Coal,2002,-,5,4471758.604
Coal,2002,-,6,4733713.328
Coal,2002,-,7,5338065.02
Coal,2002,-,8,5111128.587
Coal,2002,-,9,4635742.531
Coal,2002,-,10,4783819.84
Coal,2002,-,11,4882714.762
Coal,2002,-,12,5392183.888
Coal,2002,FRCC,1,4789282.0
Coal,2002,FRCC,2,4099528.0
Coal,2002,FRCC,3,3579481.0
Coal,2002,FRCC,4,3726620.0
Coal,2002,FRCC,5,4572961.0
Coal,2002,FRCC,6,4734554.0
Coal,2002,FRCC,7,5496075.0
Coal,2002,FRCC,8,5591543.0
Coal,2002,FRCC,9,4982676.0
Coal,2002,FRCC,10,4882343.0
Coal,2002,FRCC,11,4236789.0
Coal,2002,FRCC,12,5075994.0
Coal,2002,MRO,1,11347940.796000004
Coal,2002,MRO,2,10032314.449
Coal,2002,MRO,3,10895314.184
Coal,2002,MRO,4,9281536.710999997
Coal,2002,MRO,5,9359411.154999997
Coal,2002,MRO,6,10378431.120000003
Coal,2002,MRO,7,11846965.494999995
Coal,2002,MRO,8,11294971.032000002
Coal,2002,MRO,9,9946359.714
Coal,2002,MRO,10,9965533.820999999
Coal,2002,MRO,11,10389977.359
Coal,2002,MRO,12,11422508.703999998
Coal,2002,NPCC,1,3351757.685
Coal,2002,NPCC,2,2830995.574
Coal,2002,NPCC,3,2996549.1640000003
Coal,2002,NPCC,4,2833667.2229999998
Coal,2002,NPCC,5,2437529.381
Coal,2002,NPCC,6,3194053.186
Coal,2002,NPCC,7,3492565.9200000004
Coal,2002,NPCC,8,3580491.3850000002
Coal,2002,NPCC,9,3216946.1049999995
Coal,2002,NPCC,10,3426920.319
Coal,2002,NPCC,11,3620694.275
Coal,2002,NPCC,12,3847351.44
Coal,2002,RFC,1,48553203.895
Coal,2002,RFC,2,42238762.33499999
Coal,2002,RFC,3,44992959.29600001
Coal,2002,RFC,4,41428789.05400002
Coal,2002,RFC,5,43438046.65099999
Coal,2002,RFC,6,48066966.36199999
Coal,2002,RFC,7,53808793.99699999
Coal,2002,RFC,8,52826093.261999995
Coal,2002,RFC,9,47137433.108999975
Coal,2002,RFC,10,46194161.33900001
Coal,2002,RFC,11,46243845.465
Coal,2002,RFC,12,50579876.697000004
Coal,2002,SERC,1,49508982.174
Coal,2002,SERC,2,42965535.85700001
Coal,2002,SERC,3,47080436.176
Coal,2002,SERC,4,44695565.89700001
Coal,2002,SERC,5,46724417.811000004
Coal,2002,SERC,6,53235555.109
Coal,2002,SERC,7,58853546.96299999
Coal,2002,SERC,8,57284291.66199999
Coal,2002,SERC,9,53521015.39500001
Coal,2002,SERC,10,50282810.37999999
Coal,2002,SERC,11,47073832.139000006
Coal,2002,SERC,12,52698873.96900002
Coal,2002,SPP,1,7588179.0
Coal,2002,SPP,2,6584806.0
Coal,2002,SPP,3,5884166.0
Coal,2002,SPP,4,6057679.0
Coal,2002,SPP,5,7347139.0
Coal,2002,SPP,6,7666424.0
Coal,2002,SPP,7,8005582.0
Coal,2002,SPP,8,8173756.0
Coal,2002,SPP,9,7359860.487
Coal,2002,SPP,10,6850170.0
Coal,2002,SPP,11,7176775.0
Coal,2002,SPP,12,7767152.172
Coal,2002,TRE,1,8947838.0
Coal,2002,TRE,2,8083425.37
Coal,2002,TRE,3,7835365.364
Coal,2002,TRE,4,7848574.574
Coal,2002,TRE,5,8848074.505
Coal,2002,TRE,6,9264161.925
Coal,2002,TRE,7,9614489.925
Coal,2002,TRE,8,9574060.063
Coal,2002,TRE,9,9029276.509
Coal,2002,TRE,10,8007997.007
Coal,2002,TRE,11,7604511.0
Coal,2002,TRE,12,9293387.838
Coal,2002,WECC,1,19790742.877000004
Coal,2002,WECC,2,17300071.942
Coal,2002,WECC,3,18596016.216000002
Coal,2002,WECC,4,16924445.036
Coal,2002,WECC,5,18190441.321
Coal,2002,WECC,6,16940280.336999997
Coal,2002,WECC,7,19099851.468999997
Coal,2002,WECC,8,19241837.813
Coal,2002,WECC,9,19334268.402
Coal,2002,WECC,10,19148483.398000002
Coal,2002,WECC,11,19020529.469000004
Coal,2002,WECC,12,20089754.734000005
Coal,2003,-,1,5065967.0
Coal,2003,-,2,4547011.0
Coal,2003,-,3,4808040.0
Coal,2003,-,4,4089072.0
Coal,2003,-,5,4373994.0
Coal,2003,-,6,5087231.0
Coal,2003,-,7,5580678.0
Coal,2003,-,8,5371529.0
Coal,2003,-,9,4582249.0
Coal,2003,-,10,4668725.0
Coal,2003,-,11,4893555.0
Coal,2003,-,12,5264086.0
Coal,2003,FRCC,1,5535759.0
Coal,2003,FRCC,2,4502512.0
Coal,2003,FRCC,3,3951255.0
Coal,2003,FRCC,4,3981259.663
Coal,2003,FRCC,5,5237910.044
Coal,2003,FRCC,6,5061382.031
Coal,2003,FRCC,7,5527698.067
Coal,2003,FRCC,8,5415622.186
Coal,2003,FRCC,9,4947980.676
Coal,2003,FRCC,10,3733167.899
Coal,2003,FRCC,11,4260769.947000001
Coal,2003,FRCC,12,4910216.77
Coal,2003,MRO,1,11763599.056
Coal,2003,MRO,2,10140478.588000003
Coal,2003,MRO,3,10858669.661999999
Coal,2003,MRO,4,9747167.498000003
Coal,2003,MRO,5,9503084.753000002
Coal,2003,MRO,6,10101930.394000003
Coal,2003,MRO,7,11705855.828000002
Coal,2003,MRO,8,11866870.970999995
Coal,2003,MRO,9,10668875.873
Coal,2003,MRO,10,10820604.597
Coal,2003,MRO,11,10602383.992000002
Coal,2003,MRO,12,11199716.507
Coal,2003,NPCC,1,3762710.363
Coal,2003,NPCC,2,3532146.505
Coal,2003,NPCC,3,3438749.793
Coal,2003,NPCC,4,3033732.41
Coal,2003,NPCC,5,2791315.2180000003
Coal,2003,NPCC,6,2969170.85
Coal,2003,NPCC,7,3641772.0460000006
Coal,2003,NPCC,8,3641419.9379999996
Coal,2003,NPCC,9,3210674.0689999997
Coal,2003,NPCC,10,3314451.259
Coal,2003,NPCC,11,3150276.1489999997
Coal,2003,NPCC,12,3277549.768
Coal,2003,RFC,1,53298225.357
Coal,2003,RFC,2,47115796.95999999
Coal,2003,RFC,3,46098314.47200001
Coal,2003,RFC,4,43223253.616999984
Coal,2003,RFC,5,43011888.54599999
Coal,2003,RFC,6,45368400.630000025
Coal,2003,RFC,7,51474558.999999985
Coal,2003,RFC,8,53033775.817
Coal,2003,RFC,9,46768926.653
Coal,2003,RFC,10,45821143.955
Coal,2003,RFC,11,46109950.624
Coal,2003,RFC,12,50561827.903
Coal,2003,SERC,1,56062337.808
Coal,2003,SERC,2,48829343.91199999
Coal,2003,SERC,3,47704151.585000016
Coal,2003,SERC,4,41110089.78800003
Coal,2003,SERC,5,45318048.96
Coal,2003,SERC,6,51411063.006
Coal,2003,SERC,7,57931839.754000016
Coal,2003,SERC,8,60439481.057
Coal,2003,SERC,9,52892777.227
Coal,2003,SERC,10,48562666.32400001
Coal,2003,SERC,11,48111152.896
Coal,2003,SERC,12,56320930.47299999
Coal,2003,SPP,1,8259803.0
Coal,2003,SPP,2,6484933.0
Coal,2003,SPP,3,6694255.0
Coal,2003,SPP,4,6139548.0
Coal,2003,SPP,5,7250902.0
Coal,2003,SPP,6,7362538.0
Coal,2003,SPP,7,8219977.0
Coal,2003,SPP,8,8139616.0
Coal,2003,SPP,9,7326736.0
Coal,2003,SPP,10,7137812.0
Coal,2003,SPP,11,7112324.0
Coal,2003,SPP,12,8140769.0
Coal,2003,TRE,1,10160641.0
Coal,2003,TRE,2,7834988.7190000005
Coal,2003,TRE,3,7517710.437
Coal,2003,TRE,4,8256845.88
Coal,2003,TRE,5,9313544.852
Coal,2003,TRE,6,9658767.74
Coal,2003,TRE,7,9839352.014
Coal,2003,TRE,8,9996603.997
Coal,2003,TRE,9,9323711.534
Coal,2003,TRE,10,9374785.908
Coal,2003,TRE,11,8599518.427
Coal,2003,TRE,12,9394155.979
Coal,2003,WECC,1,20857942.934000004
Coal,2003,WECC,2,17818052.533999998
Coal,2003,WECC,3,18272821.183000002
Coal,2003,WECC,4,16794783.145999998
Coal,2003,WECC,5,17826453.441999998
Coal,2003,WECC,6,19376218.286
Coal,2003,WECC,7,21316835.604
Coal,2003,WECC,8,20962119.262999997
Coal,2003,WECC,9,19345156.285000004
Coal,2003,WECC,10,19710723.880999997
Coal,2003,WECC,11,19610223.658999994
Coal,2003,WECC,12,21101134.823999997
Coal,2004,-,1,5200818.14552
Coal,2004,-,2,4693356.009500001
Coal,2004,-,3,4208160.61745
Coal,2004,-,4,3631994.7430600002
Coal,2004,-,5,3353328.3170700003
Coal,2004,-,6,4326534.68679
Coal,2004,-,7,5301330.191380001
Coal,2004,-,8,5094288.458740001
Coal,2004,-,9,4871842.865300001
Coal,2004,-,10,4311480.36903
Coal,2004,-,11,4756952.62402
Coal,2004,-,12,4921914.63988
Coal,2004,FRCC,1,4821330.08626
Coal,2004,FRCC,2,3867712.66194
Coal,2004,FRCC,3,3580645.5539399995
Coal,2004,FRCC,4,3346743.85605
Coal,2004,FRCC,5,4494921.943849999
Coal,2004,FRCC,6,4908848.12264
Coal,2004,FRCC,7,4834734.6956400005
Coal,2004,FRCC,8,4787114.11172
Coal,2004,FRCC,9,4001223.7718399996
Coal,2004,FRCC,10,4053800.5120400004
Coal,2004,FRCC,11,4167940.3611999997
Coal,2004,FRCC,12,4823999.5335099995
Coal,2004,MRO,1,11565193.091200002
Coal,2004,MRO,2,10731888.75075
Coal,2004,MRO,3,10171612.156089999
Coal,2004,MRO,4,8773520.550319998
Coal,2004,MRO,5,9305588.642000005
Coal,2004,MRO,6,10062963.966410004
Coal,2004,MRO,7,11237559.091969995
Coal,2004,MRO,8,11338297.7192
Coal,2004,MRO,9,10558775.819060003
Coal,2004,MRO,10,10634497.000400001
Coal,2004,MRO,11,10598529.839429999
Coal,2004,MRO,12,11302431.04371
Coal,2004,NPCC,1,3491279.1316699996
Coal,2004,NPCC,2,3549705.1084499997
Coal,2004,NPCC,3,3445902.54017
Coal,2004,NPCC,4,2972496.798839999
Coal,2004,NPCC,5,2739821.4169900003
Coal,2004,NPCC,6,3228574.9858300006
Coal,2004,NPCC,7,3645399.1605700003
Coal,2004,NPCC,8,3515408.4378700005
Coal,2004,NPCC,9,3125280.569640001
Coal,2004,NPCC,10,2786877.4281800007
Coal,2004,NPCC,11,2860895.80556
Coal,2004,NPCC,12,3259305.5910299993
Coal,2004,RFC,1,53148716.54111997
Coal,2004,RFC,2,46749027.71063001
Coal,2004,RFC,3,46203238.085310005
Coal,2004,RFC,4,41806481.479659975
Coal,2004,RFC,5,42963584.43722998
Coal,2004,RFC,6,47514866.55934997
Coal,2004,RFC,7,51299843.141129985
Coal,2004,RFC,8,49753179.38119002
Coal,2004,RFC,9,46557054.4099
Coal,2004,RFC,10,44560247.570379995
Coal,2004,RFC,11,45492651.75127998
Coal,2004,RFC,12,51765822.40131998
Coal,2004,SERC,1,57418992.74960001
Coal,2004,SERC,2,51471903.63320002
Coal,2004,SERC,3,47781547.35282002
Coal,2004,SERC,4,44468429.47546
Coal,2004,SERC,5,53261998.473140016
Coal,2004,SERC,6,55407043.06770001
Coal,2004,SERC,7,60056303.98806998
Coal,2004,SERC,8,57406119.415199995
Coal,2004,SERC,9,50945984.06432
Coal,2004,SERC,10,48794073.71055002
Coal,2004,SERC,11,48077807.15040999
Coal,2004,SERC,12,54411026.23709
Coal,2004,SPP,1,7955870.8357299995
Coal,2004,SPP,2,6998199.086290001
Coal,2004,SPP,3,6083510.762010001
Coal,2004,SPP,4,5708630.180729999
Coal,2004,SPP,5,7718113.15064
Coal,2004,SPP,6,7616500.93607
Coal,2004,SPP,7,8271356.86396
Coal,2004,SPP,8,8101865.311660001
Coal,2004,SPP,9,7914484.629110001
Coal,2004,SPP,10,7027282.228430001
Coal,2004,SPP,11,7381212.97631
Coal,2004,SPP,12,8287917.43559
Coal,2004,TRE,1,9962242.0
Coal,2004,TRE,2,9135484.0
Coal,2004,TRE,3,7661865.0
Coal,2004,TRE,4,8243483.0
Coal,2004,TRE,5,9683598.0
Coal,2004,TRE,6,9431696.0
Coal,2004,TRE,7,10096378.0
Coal,2004,TRE,8,10156163.0
Coal,2004,TRE,9,9642934.0
Coal,2004,TRE,10,9001931.0
Coal,2004,TRE,11,7831643.0
Coal,2004,TRE,12,9975419.0
Coal,2004,WECC,1,20824882.123829994
Coal,2004,WECC,2,18615117.43990001
Coal,2004,WECC,3,19268991.870080005
Coal,2004,WECC,4,17460368.64409999
Coal,2004,WECC,5,17727815.565910004
Coal,2004,WECC,6,19346649.706989996
Coal,2004,WECC,7,20159269.632
Coal,2004,WECC,8,21334057.26879
Coal,2004,WECC,9,20636129.11474
Coal,2004,WECC,10,20432263.62822
Coal,2004,WECC,11,19973359.744169995
Coal,2004,WECC,12,21191046.211620003
Coal,2005,-,1,5207289.62392
Coal,2005,-,2,4143635.96858
Coal,2005,-,3,4191199.0869199997
Coal,2005,-,4,3959101.46372
Coal,2005,-,5,4649650.5609
Coal,2005,-,6,5018773.62799
Coal,2005,-,7,5420893.48579
Coal,2005,-,8,5249612.39702
Coal,2005,-,9,4578498.9569999995
Coal,2005,-,10,4493751.56872
Coal,2005,-,11,4325646.674190001
Coal,2005,-,12,4793033.828570001
Coal,2005,FRCC,1,4643800.05722
Coal,2005,FRCC,2,3674776.3930200003
Coal,2005,FRCC,3,3290979.2744100005
Coal,2005,FRCC,4,3248316.56784
Coal,2005,FRCC,5,4403882.05588
Coal,2005,FRCC,6,4554387.16443
Coal,2005,FRCC,7,4753056.623620001
Coal,2005,FRCC,8,4834826.3906499995
Coal,2005,FRCC,9,4712184.474629999
Coal,2005,FRCC,10,4510084.2455
Coal,2005,FRCC,11,4716271.23804
Coal,2005,FRCC,12,5021258.03473
Coal,2005,MRO,1,11698156.515199991
Coal,2005,MRO,2,10260364.798290001
Coal,2005,MRO,3,11267553.247940002
Coal,2005,MRO,4,9631108.426439995
Coal,2005,MRO,5,9921689.109329997
Coal,2005,MRO,6,10785609.148880003
Coal,2005,MRO,7,11782905.515180001
Coal,2005,MRO,8,11672395.691659994
Coal,2005,MRO,9,10356097.84981
Coal,2005,MRO,10,10276638.247440001
Coal,2005,MRO,11,10125473.491880003
Coal,2005,MRO,12,11271702.347339997
Coal,2005,NPCC,1,3231022.27743
Coal,2005,NPCC,2,3022261.5741300005
Coal,2005,NPCC,3,3254906.64651
Coal,2005,NPCC,4,2802944.8197400006
Coal,2005,NPCC,5,2213781.50488
Coal,2005,NPCC,6,3213641.88249
Coal,2005,NPCC,7,3627330.3059900003
Coal,2005,NPCC,8,3476852.01498
Coal,2005,NPCC,9,3358505.93479
Coal,2005,NPCC,10,2997527.07951
Coal,2005,NPCC,11,3047127.00739
Coal,2005,NPCC,12,3539167.9989599995
Coal,2005,RFC,1,51736091.06088999
Coal,2005,RFC,2,46506401.681120016
Coal,2005,RFC,3,50137490.78424999
Coal,2005,RFC,4,41459847.89399
Coal,2005,RFC,5,42214514.78199998
Coal,2005,RFC,6,50735018.721350014
Coal,2005,RFC,7,54646081.72207999
Coal,2005,RFC,8,55728324.887409985
Coal,2005,RFC,9,49814321.195970014
Coal,2005,RFC,10,46866212.087319985
Coal,2005,RFC,11,46680419.659710005
Coal,2005,RFC,12,52022100.92531998
Coal,2005,SERC,1,54993161.32797997
Coal,2005,SERC,2,49272199.43167002
Coal,2005,SERC,3,51237506.252399996
Coal,2005,SERC,4,45896453.88921998
Coal,2005,SERC,5,50794001.912030004
Coal,2005,SERC,6,56338208.74048004
Coal,2005,SERC,7,59734306.29205001
Coal,2005,SERC,8,60506826.80614002
Coal,2005,SERC,9,56170809.943299964
Coal,2005,SERC,10,51876898.62407
Coal,2005,SERC,11,48886198.871130005
Coal,2005,SERC,12,56445759.95976
Coal,2005,SPP,1,8537641.649650002
Coal,2005,SPP,2,6858406.38725
Coal,2005,SPP,3,6906562.71411
Coal,2005,SPP,4,5870330.908100001
Coal,2005,SPP,5,6860929.42205
Coal,2005,SPP,6,7799520.5257
Coal,2005,SPP,7,8195379.698539999
Coal,2005,SPP,8,8321481.27203
Coal,2005,SPP,9,7590406.172900001
Coal,2005,SPP,10,7202797.054330001
Coal,2005,SPP,11,7492989.0163199995
Coal,2005,SPP,12,8206633.969510001
Coal,2005,TRE,1,9935578.0
Coal,2005,TRE,2,8445767.0
Coal,2005,TRE,3,8609455.0
Coal,2005,TRE,4,7689010.0
Coal,2005,TRE,5,9577347.0
Coal,2005,TRE,6,9729365.0
Coal,2005,TRE,7,10045883.0
Coal,2005,TRE,8,10002240.0
Coal,2005,TRE,9,9588166.0
Coal,2005,TRE,10,8406243.0
Coal,2005,TRE,11,8763988.0
Coal,2005,TRE,12,9499010.0
Coal,2005,WECC,1,20878129.301500004
Coal,2005,WECC,2,18002599.162619997
Coal,2005,WECC,3,19266200.817950007
Coal,2005,WECC,4,17668600.308100004
Coal,2005,WECC,5,18109086.659599993
Coal,2005,WECC,6,20267880.09122
Coal,2005,WECC,7,21219353.43851
Coal,2005,WECC,8,21390448.661679998
Coal,2005,WECC,9,20017344.428929996
Coal,2005,WECC,10,20419736.831770003
Coal,2005,WECC,11,19402959.220230006
Coal,2005,WECC,12,20863029.48566
Coal,2006,-,1,4105192.7054399997
Coal,2006,-,2,4185093.08238
Coal,2006,-,3,4867202.43832
Coal,2006,-,4,3847568.34312
