fuel category,year,quarter,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),year_quarter
Coal,2002,1,473334,3280260.0,145267.744,2020525.0,969.159375,-2217.695259,318841272.0,196395030.0,318841272.0,196395030.0,2002 Q1
Coal,2002,2,473334,2909310.0,128014.741,1779961.0,969.159375,-2217.695259,282784932.0,173012209.2,282784932.0,173012209.2,2002 Q2
Coal,2002,3,473334,3253293.0,143577.812,2016144.0,969.159375,-2217.695259,316220079.6,195969196.8,316220079.6,195969196.8,2002 Q3
Coal,2002,4,473334,3642722.0,158427.544,2189365.0,969.159375,-2217.695259,354072578.4,212806278.0,354072578.4,212806278.0,2002 Q4
Coal,2003,1,322410,2695785.0,130001.689,1979682.0,774.682572,-1774.749378,262030302.0,192425090.4,262030302.0,192425090.4,2003 Q1
Coal,2003,2,322410,2192195.0,105137.496,1593337.0,774.682572,-1774.749378,213081354.0,154872356.4,213081354.0,154872356.4,2003 Q2
Coal,2003,3,322410,1877756.0,86504.938,1265626.0,774.682572,-1774.749378,182517883.2,123018847.2,182517883.2,123018847.2,2003 Q3
Coal,2003,4,322410,2756837.0,135103.857,2026747.0,774.682572,-1774.749378,267964556.4,196999808.4,267964556.4,196999808.4,2003 Q4
Coal,2004,1,473334,3867683.9,165525.60369,1967513.04,969.159375,-2217.695259,375938875.08,191242267.488,375938875.08,191242267.488,2004 Q1
Coal,2004,2,473334,3081750.45,156928.48063,1931801.46,969.159375,-2217.695259,299546143.74,187771101.912,299546143.74,187771101.912,2004 Q2
Coal,2004,3,473334,2942522.26,155299.43708,1866937.59,969.159375,-2217.695259,286013163.672,181466333.748,286013163.672,181466333.748,2004 Q3
Coal,2004,4,473334,3674443.22,171226.17645,2049326.01,969.159375,-2217.695259,357155880.984,199194488.172,357155880.984,199194488.172,2004 Q4
Coal,2005,1,487602,6703676.66,441132.61454,4919335.09,1204.904175,-2665.513659,639855770.325,466417769.721,639855770.325,466417769.721,2005 Q1
Coal,2005,2,487602,4869039.76,314571.36377,3623635.57,1204.904175,-2665.513659,465735995.283,344682708.015,465735995.283,344682708.015,2005 Q2
Coal,2005,3,487602,8080310.47,657163.45781,6935325.34,1204.904175,-2665.513659,766829856.492,655537301.856,766829856.492,655537301.856,2005 Q3
Coal,2005,4,487602,7385484.96,507414.35139,5720393.2,1204.904175,-2665.513659,705139494.549,543292575.477,705139494.549,543292575.477,2005 Q4
Coal,2006,1,473334,3830998.47,162494.13999,1958563.33,969.159375,-2217.695259,372373051.284,190372355.676,372373051.284,190372355.676,2006 Q1
Coal,2006,2,473334,2904128.95,140393.04434,1696974.7,969.159375,-2217.695259,282281333.94,164945940.84,282281333.94,164945940.84,2006 Q2
Coal,2006,3,473334,2967637.39,153762.42749,1874666.24,969.159375,-2217.695259,288454354.308,182217558.528,288454354.308,182217558.528,2006 Q3
Coal,2006,4,473334,3664153.61,160769.41895,1894061.29,969.159375,-2217.695259,356155730.892,184102757.388,356155730.892,184102757.388,2006 Q4
Coal,2007,1,473334,3948307.0,171429.078,2029302.0,969.159375,-2217.695259,383775440.4,197248154.4,383775440.4,197248154.4,2007 Q1
Coal,2007,2,473334,2858038.0,149178.16,1766182.0,969.159375,-2217.695259,277801293.6,171672890.4,277801293.6,171672890.4,2007 Q2
Coal,2007,3,473334,2868263.0,153023.211,1757081.0,969.159375,-2217.695259,278795163.6,170788273.2,278795163.6,170788273.2,2007 Q3
