fuel category,year,quarter,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),year_quarter
Coal,2001,1,30348,101206333.0,10322938.0,101206333.0,600.469134,-1719.271899,9442550868.9,9442550868.9,9442550868.9,9442550868.9,2001 Q1
Coal,2001,2,30348,101359037.0,10037583.0,101359037.0,600.469134,-1719.271899,9456798152.1,9456798152.1,9456798152.1,9456798152.1,2001 Q2
Coal,2001,3,30348,112714450.0,10704298.0,112714450.0,600.469134,-1719.271899,10516258185.0,10516258185.0,10516258185.0,10516258185.0,2001 Q3
Coal,2001,4,30348,97200752.0,9547642.0,97200752.0,600.469134,-1719.271899,9068830161.6,9068830161.6,9068830161.6,9068830161.6,2001 Q4
Coal,2002,1,434525,145733645.0,13829262.0,143773178.0,1278.079255,-3612.512947,13596949078.5,13414037507.4,13596949078.5,13414037507.4,2002 Q1
Coal,2002,2,435192,152188347.0,14190470.0,150276400.0,1308.496455,-3694.065447,14199172775.1,14020788120.0,14199172775.1,14020788120.0,2002 Q2
Coal,2002,3,435192,178271597.0,16666373.0,176020663.0,1308.496455,-3694.065447,16632740000.1,16422727857.9,16632740000.1,16422727857.9,2002 Q3
Coal,2002,4,435192,150192891.0,14676486.0,147751082.0,1308.496455,-3694.065447,14012996730.3,13785175950.6,14012996730.3,13785175950.6,2002 Q4
Coal,2003,1,284589,154152226.0,14822089.0,152548332.0,1306.491702,-3682.553433,14382402685.8,14232759375.6,14382402685.8,14232759375.6,2003 Q1
Coal,2003,2,284589,154415167.0,15043382.738,152985485.0,1306.491702,-3682.553433,14406935081.1,14273545750.5,14406935081.1,14273545750.5,2003 Q2
Coal,2003,3,285210,168845327.0,16190440.929,167548189.0,1397.784102,-3927.205833,15753269009.1,15632246033.7,15753269009.1,15632246033.7,2003 Q3
Coal,2003,4,285210,127983750.0,12732891.616,126945158.0,1397.784102,-3927.205833,11940883875.0,11843983241.4,11940883875.0,11843983241.4,2003 Q4
Coal,2004,1,468237,133900530.52,13063701.8177,129355138.22,1580.255523,-4428.435381,12492919497.5,12068834395.9,12492919497.5,12068834395.9,2004 Q1
Coal,2004,2,468237,141474384.74,13588249.6626,136329059.09,1580.255523,-4428.435381,13199560096.2,12719501213.1,13199560096.2,12719501213.1,2004 Q2
Coal,2004,3,468237,148951618.72,14116585.8861,143786668.86,1580.255523,-4428.435381,13897186026.6,13415296204.6,13897186026.6,13415296204.6,2004 Q3
Coal,2004,4,468237,136303930.01,13219962.4951,131017191.68,1580.255523,-4428.435381,12717156669.9,12223903983.7,12717156669.9,12223903983.7,2004 Q4
Coal,2005,1,281862,129429832.96,12546950.1854,124558640.11,1314.840405,-3679.483707,12075803415.2,11621321122.3,12075803415.2,11621321122.3,2005 Q1
Coal,2005,2,281862,137217576.69,13068353.6293,133158091.95,1314.840405,-3679.483707,12802399905.2,12423649978.9,12802399905.2,12423649978.9,2005 Q2
Coal,2005,3,281862,156219501.6,15052635.8045,151567179.6,1314.840405,-3679.483707,14575279499.3,14141217856.7,14575279499.3,14141217856.7,2005 Q3
Coal,2005,4,281862,145819442.51,14045244.2751,141838561.54,1314.840405,-3679.483707,13604953986.2,13233537791.7,13604953986.2,13233537791.7,2005 Q4
Coal,2006,1,434283,134902686.34,13084317.9411,130628708.63,1405.266357,-3936.347016,12586420635.5,12187658515.2,12586420635.5,12187658515.2,2006 Q1
Coal,2006,2,434283,141122679.96,13739891.3416,137199333.98,1405.266357,-3936.347016,13166746040.3,12800697860.3,13166746040.3,12800697860.3,2006 Q2
Coal,2006,3,434283,160795929.76,15658824.6213,156509648.08,1405.266357,-3936.347016,15002260246.6,14602350165.9,15002260246.6,14602350165.9,2006 Q3
Coal,2006,4,434283,141662514.95,13732678.5243,137463352.5,1405.266357,-3936.347016,13217112644.8,12825330788.2,13217112644.8,12825330788.2,2006 Q4
Coal,2007,1,434283,145177883.0,14216276.07,141277724.0,1405.266357,-3936.347016,13545096483.9,13181211649.2,13545096483.9,13181211649.2,2007 Q1
