fuel category,year,quarter,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),year_quarter
Coal,2006,1,9455681,1699185855.11,165240710.671,1669497489.48,29615.767985,-60185.805523,1.59940031489e+11,1.57164695145e+11,1.59940031489e+11,1.57164695145e+11,2006 Q1
Coal,2006,2,9456669,1575725001.34,152313278.597,1547855518.54,29654.849385,-60270.664923,1.48352598502e+11,1.45747549215e+11,1.48352598502e+11,1.45747549215e+11,2006 Q2
Coal,2006,3,9456669,1815329150.92,174170057.826,1785148019.1,29654.849385,-60270.664923,1.70863937836e+11,1.68043169683e+11,1.70863937836e+11,1.68043169683e+11,2006 Q3
Coal,2006,4,9456669,1646600942.89,159658214.501,1617408714.37,29654.849385,-60270.664923,1.54978011362e+11,1.52248980111e+11,1.54978011362e+11,1.52248980111e+11,2006 Q4
Coal,2007,1,9282407,1715274821.0,165395339.111,1675885757.0,29783.934536,-60139.444298,1.61530573203e+11,1.57855532074e+11,1.61530573203e+11,1.57855532074e+11,2007 Q1
Coal,2007,2,9282262,1595486420.0,152945621.07,1560609119.0,29869.090105,-60303.798565,1.5026975291e+11,1.47015619938e+11,1.5026975291e+11,1.47015619938e+11,2007 Q2
Coal,2007,3,9202599,1856219419.0,177230661.013,1821529612.0,29943.567911,-60486.266303,1.74856673089e+11,1.71620063236e+11,1.74856673089e+11,1.71620063236e+11,2007 Q3
Coal,2007,4,9256674,1688191035.0,162228329.024,1652141144.0,30024.486519,-60643.35268,1.59009703102e+11,1.55646235191e+11,1.59009703102e+11,1.55646235191e+11,2007 Q4
Coal,2008,1,9738325,1778191468.0,171247711.141,1739310732.0,31760.44523,-64077.397382,1.67583506325e+11,1.63955892273e+11,1.67583506325e+11,1.63955892273e+11,2008 Q1
Coal,2008,2,9729894,1578871443.0,150404362.806,1543436906.0,31636.32823,-63832.177582,1.48915721025e+11,1.45609653416e+11,1.48915721025e+11,1.45609653416e+11,2008 Q2
Coal,2008,3,9735564,1760855781.0,167159552.165,1724925533.0,31720.14543,-63993.716982,1.66152290032e+11,1.62799337168e+11,1.66152290032e+11,1.62799337168e+11,2008 Q3
Coal,2008,4,9729894,1594327809.0,152592043.694,1559299812.0,31636.32823,-63832.177582,1.50535479312e+11,1.4726719177e+11,1.50535479312e+11,1.4726719177e+11,2008 Q4
Coal,2009,1,9657928,1547686973.0,147699178.62,1508686438.0,30228.162914,-61003.3474,1.45937423825e+11,1.42298606865e+11,1.45937423825e+11,1.42298606865e+11,2009 Q1
Coal,2009,2,9642792,1361572149.0,128524276.588,1329515317.0,30023.015241,-60600.744999,1.28524874622e+11,1.25533950695e+11,1.28524874622e+11,1.25533950695e+11,2009 Q2
Coal,2009,3,9639956,1494740833.0,141067669.317,1459338000.0,29981.510788,-60518.69038,1.41093370567e+11,1.37789794021e+11,1.41093370567e+11,1.37789794021e+11,2009 Q3
Coal,2009,4,9685258,1481887913.0,141110301.654,1446215243.0,29939.770982,-60434.394542,1.39848151751e+11,1.36516824169e+11,1.39848151751e+11,1.36516824169e+11,2009 Q4
Coal,2010,1,9426982,1599321425.0,152661394.775,1561523547.0,30260.200028,-61094.150718,1.50807919794e+11,1.47279395785e+11,1.50807919794e+11,1.47279395785e+11,2010 Q1
Coal,2010,2,9483050,1440703067.0,135334076.867,1392783197.0,30303.049228,-61181.984318,1.35808616534e+11,1.31337074579e+11,1.35808616534e+11,1.31337074579e+11,2010 Q2
Coal,2010,3,9480189,1683298535.0,158112244.727,1645444622.0,30261.8823,-61101.236628,1.58786341691e+11,1.55249279998e+11,1.58786341691e+11,1.55249279998e+11,2010 Q3
Coal,2010,4,9535849,1428515587.0,135848787.659,1392136505.0,30387.388928,-61348.032718,1.34824426069e+11,1.31427171336e+11,1.34824426069e+11,1.31427171336e+11,2010 Q4
Coal,2011,1,9973252,1464311962.0,139039434.812,1425434194.0,29903.852934,-60475.960332,1.38061480086e+11,1.34430869831e+11,1.38061480086e+11,1.34430869831e+11,2011 Q1
Coal,2011,2,9973252,1359233876.0,127449740.918,1323239149.0,29903.852934,-60475.960332,1.28122023132e+11,1.24758979492e+11,1.28122023132e+11,1.24758979492e+11,2011 Q2
Coal,2011,3,10011576,1624218643.0,152393439.485,1586639437.0,30104.235447,-60871.158531,1.53177547183e+11,1.49666464812e+11,1.53177547183e+11,1.49666464812e+11,2011 Q3
Coal,2011,4,10062015,1242850617.0,116587246.468,1208006734.0,30063.162696,-60789.164205,1.17335694569e+11,1.14081485065e+11,1.17335694569e+11,1.14081485065e+11,2011 Q4
Coal,2012,1,11093740,1130061479.0,105722797.643,1098042016.0,30780.311132,-62194.814317,1.06616862561e+11,1.03625094021e+11,1.06616862561e+11,1.03625094021e+11,2012 Q1
Coal,2012,2,11093722,1123906610.0,105194714.91,1095980686.0,30780.034932,-62194.534317,1.0595418264e+11,1.03344605077e+11,1.0595418264e+11,1.03344605077e+11,2012 Q2
Coal,2012,3,11263279,1424877359.0,132799049.853,1394615775.0,30848.955619,-62353.825572,1.34361310521e+11,1.31533715018e+11,1.34361310521e+11,1.31533715018e+11,2012 Q3
Coal,2012,4,11208933,1211123612.0,113744856.247,1180985068.0,30210.201393,-61059.190052,1.1421433362e+11,1.1139815627e+11,1.1421433362e+11,1.1139815627e+11,2012 Q4
Coal,2013,1,11570888,1289663642.0,122196633.356,1258662560.0,30276.041862,-61185.045511,1.21534448055e+11,1.18638356179e+11,1.21534448055e+11,1.18638356179e+11,2013 Q1
Coal,2013,2,11572606,1190670528.0,112129144.788,1163107058.0,30353.523262,-61361.127411,1.12197197507e+11,1.0962380735e+11,1.12197197507e+11,1.0962380735e+11,2013 Q2
