fuel category,year,quarter,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),year_quarter
Coal,2001,1,417534,272880037.0,25668091.823,272880037.0,1674.393033,-5215.139925,26540771182.9,26540771182.9,26540771182.9,26540771182.9,2001 Q1
Coal,2001,2,417534,284785309.0,26105610.793,284785309.0,1674.393033,-5215.139925,27701342711.3,27701342711.3,27701342711.3,27701342711.3,2001 Q2
Coal,2001,3,417534,318341498.0,28966571.382,318341498.0,1674.393033,-5215.139925,30965573405.0,30965573405.0,30965573405.0,30965573405.0,2001 Q3
Coal,2001,4,417534,266155112.0,24313115.757,266155112.0,1674.393033,-5215.139925,25901049187.4,25901049187.4,25901049187.4,25901049187.4,2001 Q4
Coal,2002,1,407043,265491158.0,25114441.734,265491158.0,1578.931233,-4926.976725,25758885680.7,25758885680.7,25758885680.7,25758885680.7,2002 Q1
Coal,2002,2,407043,292840714.0,27442093.004,292840714.0,1578.931233,-4926.976725,28449164557.3,28449164557.3,28449164557.3,28449164557.3,2002 Q2
Coal,2002,3,407043,312296931.0,29039020.497,312296931.0,1578.931233,-4926.976725,30329757298.9,30329757298.9,30329757298.9,30329757298.9,2002 Q3
Coal,2002,4,407043,279273411.0,26133680.845,279273411.0,1578.931233,-4926.976725,27141264068.8,27141264068.8,27141264068.8,27141264068.8,2002 Q4
Coal,2003,1,436962,277785052.0,25909469.156,277785052.0,1854.797133,-5795.539926,27062200739.4,27062200739.4,27062200739.4,27062200739.4,2003 Q1
Coal,2003,2,436962,308003890.0,28892552.472,308003890.0,1854.797133,-5795.539926,30009274026.5,30009274026.5,30009274026.5,30009274026.5,2003 Q2
Coal,2003,3,436962,330975583.0,30830300.545,330975583.0,1854.797133,-5795.539926,32249905528.6,32249905528.6,32249905528.6,32249905528.6,2003 Q3
Coal,2003,4,436962,314883421.0,29608062.314,314883421.0,1854.797133,-5795.539926,30679485682.2,30679485682.2,30679485682.2,30679485682.2,2003 Q4
Coal,2004,1,436962,300649941.0,28193676.0,300649941.0,1854.797133,-5795.539926,29285164769.7,29285164769.7,29285164769.7,29285164769.7,2004 Q1
Coal,2004,2,436962,311238721.0,28790890.0,311238721.0,1854.797133,-5795.539926,30317287299.7,30317287299.7,30317287299.7,30317287299.7,2004 Q2
Coal,2004,3,436962,342727277.0,31836503.0,342727277.0,1854.797133,-5795.539926,33388116627.4,33388116627.4,33388116627.4,33388116627.4,2004 Q3
Coal,2004,4,436962,308277399.0,28829682.0,308277399.0,1854.797133,-5795.539926,30031326128.8,30031326128.8,30031326128.8,30031326128.8,2004 Q4
Coal,2005,1,476598,308755300.01,28736797.0,308755300.01,2052.644799,-6367.695225,30076230123.1,30076230123.1,30076230123.1,30076230123.1,2005 Q1
Coal,2005,2,476598,311352350.02,29226879.0,311352350.02,2052.644799,-6367.695225,30327176680.8,30327176680.8,30327176680.8,30327176680.8,2005 Q2
Coal,2005,3,476598,343161934.46,31685689.0,343161934.46,2052.644799,-6367.695225,33427816241.0,33427816241.0,33427816241.0,33427816241.0,2005 Q3
