year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,46626016.729,41244082934.1,884.572301636,2001 Q1,0.058630853431,1950.12809619
2001,2,42748696.231,36893735024.3,863.037666106,2001 Q2,0.0328588169937,1902.6528387
2001,3,50130734.522,43632739407.1,870.379016448,2001 Q3,0.0416447352988,1918.83757966
2001,4,46419649.535,40285382695.5,867.851935528,2001 Q4,0.0386203970673,1913.26637707
2002,1,48015322.7,40871147600.7,851.210515778,2002 Q1,0.0187044214481,1876.57870308
2002,2,45673637.32,37524191456.8,821.57221668,2002 Q2,-0.0167658479808,1811.23810889
2002,3,52165139.046,44201710772.6,847.341952517,2002 Q3,0.0140746354842,1868.05006852
2002,4,49600622.544,42217000904.6,851.1385289,2002 Q4,0.0186182696099,1876.42000081
2003,1,48810673.843,42646047269.6,873.703309379,2003 Q1,0.0456231540851,1926.16631586
2003,2,44932658.787,38421613318.4,855.093251893,2003 Q2,0.023351169079,1885.13858312
2003,3,52970399.397,45312202567.7,855.42497477,2003 Q3,0.0237481655391,1885.86989938
2003,4,49483453.764,42910034713.4,867.159251212,2003 Q4,0.0377914122717,1911.73928522
2004,1,50325282.2976,42435784301.6,843.229930646,2004 Q1,0.00915348521288,1858.9847051
2004,2,44878058.669,36516080778.6,813.673359801,2004 Q2,-0.0262189741791,1793.82428902
2004,3,51279307.9916,42901433453.5,836.622706774,2004 Q3,0.00124614848802,1844.41841935
2004,4,49346144.6995,42134974917.5,853.865589179,2004 Q4,0.0218819374244,1882.4320779
2005,1,48796024.4749,41633506889.5,853.215140732,2005 Q1,0.0211034993096,1880.99809926
2005,2,46774231.334,39091131379.6,835.740754358,2005 Q2,0.000190653038792,1842.47406706
2005,3,54048936.269,45248866871.1,837.183300813,2005 Q3,0.00191705141374,1845.65430497
2005,4,50219079.7201,41007647417.8,816.575047698,2005 Q4,-0.0227463170216,1800.22135015
2006,1,49048095.1349,40043423986.8,816.411399397,2006 Q1,-0.0229421666319,1799.86057111
2006,2,47284012.103,38242584186.0,808.784671291,2006 Q2,-0.03206961689,1783.04668633
2006,3,53750286.7001,43390987727.4,807.269884336,2006 Q3,-0.0338824706319,1779.70718701
2006,4,49496591.039,41597936889.0,840.420239369,2006 Q4,0.00579092698079,1852.79045971
2007,1,51100935.53,41229543446.5,806.825609334,2007 Q1,-0.034414166259,1778.72773834
2007,2,47404736.516,37830690409.9,798.036086482,2007 Q2,-0.0449332160428,1759.35035626
2007,3,55837845.229,44881434067.8,803.781626668,2007 Q3,-0.0380571177298,1772.01697415
2007,4,51086561.459,39732605513.2,777.750633013,2007 Q4,-0.0692102670862,1714.62904554
2008,1,54074204.441,43242665579.8,799.691202613,2008 Q1,-0.0429524203534,1762.99922528
2008,2,48602324.048,38500140393.0,792.146078344,2008 Q2,-0.051982209472,1746.36524432
2008,3,55406637.335,44042378513.5,794.893547631,2008 Q3,-0.0486941167396,1752.42231511
2008,4,54872036.651,41260861318.8,751.9469631,2008 Q4,-0.100091361883,1657.74227485
2009,1,54056901.355,41286561771.4,763.761161601,2009 Q1,-0.0859524667149,1683.78785686
2009,2,48698821.258,35349667907.8,725.883440188,2009 Q2,-0.131283441324,1600.28263224
2009,3,53775540.731,39959583701.0,743.081020809,2009 Q3,-0.110701868267,1638.19641848
2009,4,54581441.953,41790480749.6,765.653659088,2009 Q4,-0.0836875798015,1687.96005682
2010,1,56988799.211,42318717610.7,742.579562942,2010 Q1,-0.111301998713,1637.09090446
2010,2,53345133.814,38067212707.7,713.602347318,2010 Q2,-0.145981102331,1573.2077349
2010,3,60237821.466,42971476087.4,713.363714717,2010 Q3,-0.146266691009,1572.68164547
2010,4,54553772.889,37473148770.6,686.90297272,2010 Q4,-0.177934150899,1514.34629366
2011,1,57135981.372,40830556131.1,714.620719739,2011 Q1,-0.144762343318,1575.45283874
2011,2,51477455.203,35443103826.0,688.51701558,2011 Q2,-0.176002510528,1517.90461255
2011,3,59341579.635,43006622673.6,724.729994351,2011 Q3,-0.132663852341,1597.73974555
2011,4,53785527.441,35317177651.2,656.629753979,2011 Q4,-0.214164274015,1447.60595562
2012,1,53368688.856,34825718154.1,652.549629766,2012 Q1,-0.21904725008,1438.61091378
2012,2,51122008.136,31467980028.0,615.546633933,2012 Q2,-0.263331378111,1357.03410917
2012,3,59540058.177,41726278812.2,700.810178723,2012 Q3,-0.161290404162,1545.00612001
2012,4,54227892.874,37565233829.6,692.728996809,2012 Q4,-0.170961731753,1527.19034636
2013,1,56982172.724,37879848083.8,664.766650217,2013 Q1,-0.204426269113,1465.54455707
2013,2,50529515.377,32856517325.4,650.244061915,2013 Q2,-0.221806487801,1433.5280589
2013,3,57920945.988,41095651134.0,709.512775266,2013 Q3,-0.150875385301,1564.19186435
2013,4,55422696.938,36804202222.1,664.063718576,2013 Q4,-0.205267517615,1463.99487397
2014,1,60938456.997,39717612806.3,651.765974452,2014 Q1,-0.219985106366,1436.88326728
2014,2,51940276.596,31281209912.7,602.25343342,2014 Q2,-0.279240300625,1327.72791932
2014,3,56768860.793,38230370422.9,673.439098282,2014 Q3,-0.194047331089,1484.66383607
2014,4,57204286.328,36238853729.0,633.498922113,2014 Q4,-0.241846592615,1396.61172369
2015,1,59583370.46,36382521441.8,610.615364001,2015 Q1,-0.269232981053,1346.16263148
2015,2,51730361.388,31549341009.8,609.88054526,2015 Q2,-0.270112391124,1344.54265008
2015,3,60389888.568,38929992666.8,644.64422091,2015 Q3,-0.228508217498,1421.18264942
2015,4,53621549.612,30145639495.7,562.192620577,2015 Q4,-0.327183936675,1239.40985132
2016,1,51462777.19,29496074230.2,573.153565368,2016 Q1,-0.314066191164,1263.57435021
2016,2,47225107.302,25423025009.3,538.337051238,2016 Q2,-0.355733600373,1186.81786316
2016,3,56875146.462,37183979883.5,653.782578095,2016 Q3,-0.217571692752,1441.32907167
2016,4,51159104.077,30307010560.1,592.40698419,2016 Q4,-0.291024249695,1306.02043735
2017,1,39103314.728,28932555853.8,739.90033978,2017 Q1,-0.114508416433,1631.18428908
