year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,index (lb/MWh)
2001,1,26589439.017,26194292386.4,985.138963241,2001 Q1,2171.83735836
2001,2,29035854.575,27578054693.8,949.7931126,2001 Q2,2093.91389604
2001,3,36575894.642,34187768378.8,934.707645936,2001 Q3,2060.65647623
2001,4,27536232.767,27310830843.7,991.814351469,2001 Q4,2186.55391925
2002,1,48773424.637,42550538262.5,872.412355277,2002 Q1,1923.32027844
2002,2,52465731.034,44608767581.4,850.245802398,2002 Q2,1874.45189597
2002,3,65080106.862,53875535284.5,827.834155201,2002 Q3,1825.04317856
2002,4,49492960.154,44351704442.1,896.121474733,2002 Q4,1975.5894032
2003,1,51013889.675,45556454813.6,893.020608775,2003 Q1,1968.75323411
2003,2,51777326.632,44296596632.0,855.521123113,2003 Q2,1886.08186802
2003,3,63046984.125,53058853185.7,841.576388181,2003 Q3,1855.33930538
2003,4,48633457.414,45004312453.4,925.377607236,2003 Q4,2040.08747291
2004,1,52604385.55,44295845884.9,842.056140792,2004 Q1,1856.39696799
2004,2,53409918.727,42863043584.7,802.529653786,2004 Q2,1769.25687474
2004,3,63124804.689,51144872293.3,810.218305551,2004 Q3,1786.20727642
2004,4,52104605.55,44399012765.3,852.113019504,2004 Q4,1878.5683628
2005,1,53546451.724,44676580844.6,834.351846036,2005 Q1,1839.41207977
2005,2,55119205.4141,43745870202.9,793.659303945,2005 Q2,1749.70130148
2005,3,68074664.1149,53115023781.6,780.246578843,2005 Q3,1720.13160772
2005,4,52674215.793,43104452168.2,818.321668758,2005 Q4,1804.07195094
2006,1,46912778.592,37101441199.8,790.860023928,2006 Q1,1743.53000875
2006,2,55369132.591,41228510909.5,744.611825762,2006 Q2,1641.57123108
2006,3,65069719.012,49536969370.5,761.290660582,2006 Q3,1678.34139032
2006,4,51083007.096,40912072821.1,800.89397917,2006 Q4,1765.65086648
2007,1,50144285.116,38068482004.6,759.178875849,2007 Q1,1673.6857497
2007,2,52039311.808,38897725299.2,747.468095711,2007 Q2,1647.8681638
2007,3,64481418.454,47451136958.2,735.888541162,2007 Q3,1622.33987785
2007,4,50652471.971,38877239064.3,767.528958636,2007 Q4,1692.09434221
2008,1,51694992.589,39252690152.2,759.31319817,2008 Q1,1673.98187669
2008,2,53441551.051,38837468286.7,726.727939645,2008 Q2,1602.14441574
2008,3,63905923.464,47293777586.7,740.053112813,2008 Q3,1631.52109251
2008,4,51248408.168,38083338524.0,743.112613356,2008 Q4,1638.2660674
2009,1,50558578.525,36869876544.1,729.25065577,2009 Q1,1607.70599571
2009,2,53661754.028,38363999573.5,714.922578817,2009 Q2,1576.11831726
2009,3,61623613.592,45310237556.4,735.273946387,2009 Q3,1620.9849422
2009,4,48873258.516,36729524883.6,751.526008269,2009 Q4,1656.81423783
2010,1,51786035.269,37821181656.9,730.335532743,2010 Q1,1610.09771549
2010,2,55220519.741,39599103327.4,717.108486359,2010 Q2,1580.93736903
2010,3,67570371.193,49065425166.8,726.138162341,2010 Q3,1600.8441927
2010,4,49445779.142,37909165896.0,766.681535892,2010 Q4,1690.22611403
2011,1,52802633.499,40136737408.4,760.127568432,2011 Q1,1675.77723737
2011,2,56965897.454,43607841989.4,765.507855372,2011 Q2,1687.63861795
2011,3,69682951.701,51392123470.4,737.513584253,2011 Q3,1625.92244784
2011,4,51303492.915,37928800236.1,739.302493477,2011 Q4,1629.86627712
2012,1,52025516.212,37732506477.3,725.269237572,2012 Q1,1598.92856115
2012,2,60983887.871,40498270996.2,664.081487915,2012 Q2,1464.03404826
2012,3,70040821.453,50383597185.0,719.346177555,2012 Q3,1585.87058304
2012,4,51932328.57,37346987748.9,719.147182059,2012 Q4,1585.43187757
2013,1,52300199.971,38427949328.0,734.757216021,2013 Q1,1619.84575844
2013,2,56563417.104,38073858766.4,673.118080833,2013 Q2,1483.956121
2013,3,67611398.494,48825206474.3,722.144602269,2013 Q3,1592.03999016
2013,4,54534568.297,38002910151.7,696.859099437,2013 Q4,1536.29557062
2014,1,56626361.132,39008680963.0,688.878469024,2014 Q1,1518.70147281
2014,2,54245618.85,36486365250.4,672.614047437,2014 Q2,1482.84492898
2014,3,64206264.478,45603572442.6,710.266713277,2014 Q3,1565.85399609
2014,4,51662581.548,33815091958.5,654.537402995,2014 Q4,1442.99315864
2015,1,55130776.852,36209731649.8,656.797050892,2015 Q1,1447.9747784
2015,2,54707476.995,34096725387.2,623.25530732,2015 Q2,1374.02865052
2015,3,67566611.4,44775901836.3,662.692725128,2015 Q3,1460.97238182
2015,4,51807347.017,29692346918.9,573.13004098,2015 Q4,1263.52248834
