year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,67150357.896,41262509870.7,614.479373804,2001 Q1,0.0474023566083,1354.68122749
2001,2,74745813.415,45359794444.9,606.853981146,2001 Q2,0.0344045985367,1337.87028683
2001,3,89855314.792,54723741976.9,609.020647289,2001 Q3,0.0380977594807,1342.64691901
2001,4,66596189.719,40201807958.1,603.665286673,2001 Q4,0.0289693532753,1330.840491
2002,1,68168177.479,40341511570.4,591.793899475,2002 Q1,0.00873414366949,1304.66883078
2002,2,77260155.013,46925034864.9,607.363975092,2002 Q2,0.035273901697,1338.99461949
2002,3,90558156.273,54487274236.3,601.682680818,2002 Q3,0.0255899297611,1326.46963813
2002,4,68143776.786,43105590092.5,632.568256789,2002 Q4,0.0782355130563,1394.55997892
2003,1,67499202.274,42654690432.1,631.928807973,2003 Q1,0.0771455493805,1393.15025006
2003,2,75937389.622,49172386809.7,647.5385453,2003 Q2,0.10375291223,1427.56347697
2003,3,86969010.864,53259615900.4,612.397627284,2003 Q3,0.0438539442387,1350.09180911
2003,4,68121067.312,42647942530.0,626.060985431,2003 Q4,0.0671436332544,1380.21404848
2004,1,69866503.7271,40882097424.5,585.145888854,2004 Q1,-0.00259763130744,1290.01262657
2004,2,77464105.1238,45263006575.7,584.309423098,2004 Q2,-0.00402341749461,1288.16855416
2004,3,91249568.2132,52847637965.5,579.154937392,2004 Q3,-0.0128094251396,1276.80497497
2004,4,74553679.3426,43228440480.0,579.829739607,2004 Q4,-0.011659200314,1278.29264394
2005,1,70544236.287,41474098919.1,587.916194179,2005 Q1,0.00212445449333,1296.12004169
2005,2,81322676.928,47135177416.9,579.606810762,2005 Q2,-0.0120391906072,1277.80117501
2005,3,97229378.811,56110675362.8,577.09589477,2005 Q3,-0.0163191378928,1272.26560961
2005,4,74578907.72,45170526206.8,605.674279602,2005 Q4,0.0323937545129,1335.26951681
2006,1,69567330.352,40912649135.7,588.101468444,2006 Q1,0.00244026119164,1296.52849733
2006,2,85281935.195,47603529170.6,558.190067589,2006 Q2,-0.0485448053221,1230.58582301
2006,3,98735954.618,56657517443.4,573.828628716,2006 Q3,-0.0218883112615,1265.06259487
2006,4,74791466.214,44249160876.7,591.633820229,2006 Q4,0.00846128279461,1304.31592008
2007,1,75626872.829,43037102788.5,569.071563832,2007 Q1,-0.0299969007153,1254.57516962
2007,2,80012239.966,46172538589.5,577.068441142,2007 Q2,-0.0163659335957,1272.20508534
2007,3,97061951.684,54847214949.9,565.074305619,2007 Q3,-0.0368103721691,1245.76281417
2007,4,78757898.193,45294311590.0,575.108181265,2007 Q4,-0.0197072675809,1267.88349642
2008,1,76356118.311,42575868136.1,557.596026067,2008 Q1,-0.0495573706197,1229.27619907
2008,2,87343331.906,51233521626.4,586.576221772,2008 Q2,-0.000159577024118,1293.16593852
2008,3,95372461.248,56060854130.8,587.809661167,2008 Q3,0.00194286511506,1295.88517901
2008,4,73869342.281,42628727325.0,577.082806056,2008 Q4,-0.0163414480793,1272.23675423
2009,1,69951350.033,36732539106.2,525.115513695,2009 Q1,-0.1049215808,1157.66966149
2009,2,83211340.15,44464366169.3,534.354645522,2009 Q2,-0.0891731458454,1178.03825152
2009,3,97864661.273,52666906094.8,538.160612929,2009 Q3,-0.082685736502,1186.42888726
2009,4,74390174.944,41222786805.7,554.142893692,2009 Q4,-0.0554433598688,1221.66342343
2010,1,76287117.611,40315696524.6,528.473191636,2010 Q1,-0.0991982970924,1165.07199828
2010,2,85532325.045,46327987002.2,541.643021838,2010 Q2,-0.076749844342,1194.10620594
2010,3,101339006.828,57489772237.0,567.301516331,2010 Q3,-0.0330140108141,1250.6729229
2010,4,75961431.484,42174222311.5,555.205733852,2010 Q4,-0.0536317103065,1224.00656085
2011,1,77449124.752,43564935994.1,562.49746054,2011 Q1,-0.0412026979709,1240.08190151
2011,2,91805888.763,51172150486.0,557.395077543,2011 Q2,-0.0498998946602,1228.83318795
2011,3,109930106.548,62001024903.4,564.004046301,2011 Q3,-0.0386346679542,1243.40332048
2011,4,79004471.673,42577653046.3,538.92712836,2011 Q4,-0.0813791831782,1188.11874718
2012,1,76036059.161,37501069038.2,493.20111342,2012 Q1,-0.159320832399,1087.31117465
2012,2,90350364.404,45243230433.4,500.753159457,2012 Q2,-0.1464480963,1103.96041534
2012,3,104581199.21,57246684386.3,547.389825501,2012 Q3,-0.0669542092782,1206.7756093
2012,4,79764634.893,42974912770.3,538.771509804,2012 Q4,-0.0816444406441,1187.77567051
2013,1,76027972.573,39031592563.3,513.384629925,2013 Q1,-0.124917297223,1131.80775513
2013,2,89057289.092,46633882135.4,523.639138479,2013 Q2,-0.107438115848,1154.41484469
2013,3,106905267.723,59887320020.8,560.190543425,2013 Q3,-0.0451349217777,1234.99607204
2013,4,85722722.952,45362347755.2,529.175301402,2013 Q4,-0.0980015255575,1166.61986947
2014,1,85372972.841,44627886768.3,522.740221913,2014 Q1,-0.108970351704,1152.43309323
2014,2,89356519.624,47141143542.1,527.562440216,2014 Q2,-0.100750705887,1163.0641557
2014,3,107633935.719,58797687330.5,546.274619968,2014 Q3,-0.0688551175164,1204.31702718
2014,4,84899547.355,42117497935.1,496.086248363,2014 Q4,-0.154403015353,1093.67174314
2015,1,84476587.684,39008844774.8,461.7710758,2015 Q1,-0.212894470301,1018.02051371
2015,2,92335011.756,44583382978.4,482.843746165,2015 Q2,-0.176975340156,1064.47732279
2015,3,113326150.773,58610633260.3,517.185423316,2015 Q3,-0.118438707176,1140.18698424
2015,4,85080209.601,39551645103.2,464.87479625,2015 Q4,-0.207604066341,1024.86297581
2016,1,80625876.99,31915950473.0,395.85244421,2016 Q1,-0.325255166227,872.696298505
2016,2,91800108.88,42808291229.9,466.320702145,2016 Q2,-0.205139467355,1028.05061995
2016,3,113510376.49,58445939143.5,514.895121933,2016 Q3,-0.122342608865,1135.13778581
2016,4,87320586.02,42792749219.1,490.064842319,2016 Q4,-0.164666720124,1080.39695138
2017,1,70102723.25,35173270968.6,501.739010098,2017 Q1,-0.144767678164,1106.13382166
