fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,24764471.0,266398000.0,263686000.0,25374409500.0,25116091500.0,25812814163.5,1042.33254825,2297.92633587
Coal,2002,23098369.0,250332000.0,247413000.0,23844123000.0,23566088250.0,24208649228.5,1048.06747301,2310.569551
Coal,2003,23504166.0,246819000.0,244330000.0,23509509750.0,23272432500.0,24641522002.9,1048.38954945,2311.27960072
Coal,2004,25353562.68,263772740.0,260717350.0,25124353485.0,24833327587.5,26001970730.2,1025.57463258,2260.98183499
Coal,2005,23037143.64,241074600.0,238460570.0,22962355650.0,22713369292.5,23616491787.4,1025.14843665,2260.04224344
Coal,2006,24183049.86,251288940.0,248353080.0,23935271535.0,23655630870.0,24566968481.5,1015.87552537,2239.59918322
Coal,2007,25744179.87,269754560.0,265849120.0,25694121840.0,25322128680.0,26135359141.5,1015.19486243,2238.09859371
Coal,2008,26114654.07,273362160.0,270016430.0,26037745740.0,25719064957.5,25950936804.8,993.730827728,2190.77898281
Coal,2009,25075250.29,259685550.0,257191750.0,24735048637.5,24497514187.5,24591329861.2,980.701272242,2162.05402478
Coal,2010,28152445.09,289990190.0,287090790.0,27621565597.5,27345397747.5,27347285405.8,971.400008717,2141.54845922
Coal,2011,29418195.45,303828620.0,301154900.0,28939676055.0,28685004225.0,29093844072.0,988.974463829,2180.29310296
Coal,2012,28430929.94,294821000.0,292174960.0,28081700250.0,27829664940.0,29169467810.4,1025.97656397,2261.86793293
Coal,2013,31889234.56,324978970.0,322557150.0,30954246892.5,30723568537.5,31563508974.1,989.785719527,2182.08159727
Coal,2014,33220754.79,335850810.0,334098580.0,31989789652.5,31822889745.0,32072651975.0,965.440194773,2128.4094534
Coal,2015,21740032.79,224109110.0,222565380.0,21346392727.5,21199352445.0,21295322786.0,979.544188901,2159.50311885
Coal,2016,23800070.29,243304780.0,241911790.0,23174780295.0,23042097997.5,23293929079.3,978.733625382,2157.71615052
Coal,2017,6182614.15,63029570.0,62654390.0,6003566542.5,5967830647.5,6025656040.3,974.612986369,2148.63178975
Natural Gas,2001,2706900.0,35085000.0,29070000.0,1861960950.0,1542744900.0,1585540783.9,585.740435146,1291.32336332
